team,espn_name,twitter,url,ncaa_id,stats_name,private,team_state,conference,division
Boston College,Boston College,bc_wbb,https://bceagles.com/sports/womens-basketball,67,Boston College,NA,MA,ACC,I
Boston,Boston U,terrierwbb,https://goterriers.com/sports/womens-basketball,68,Boston U.,NA,MA,Patriot,I
Bowdoin,Bowdoin,BowdoinWBB,https://athletics.bowdoin.edu/sports/womens-basketball,69,Bowdoin,NA,ME,NESCAC,III
Bowie St.,Bowie St.,BowieStatewbb,https://bsubulldogs.com/sports/womens-basketball,70,Bowie St.,NA,MD,CIAA,II
Bowling Green,Bowling Green,bgsuwbb,https://bgsufalcons.com/sports/womens-basketball,71,Bowling Green,NA,KY,MAC,I
Bradley,Bradley,bradleywbb,https://bradleybraves.com/sports/womens-basketball,72,Bradley,NA,IL,MVC,I
Brandeis,Brandeis,BrandeisWBB,https://www.brandeisjudges.com/sports/wbkb/index,73,Brandeis,NA,MA,UAA,III
Bridgeport,Bridgeport,ub_wbb,https://www.ubknights.com/sports/wbkb/index,74,NA,NA,CT,CACC,II
Bridgewater (VA),Bridgewater (VA),BridgewaterWBB,https://bridgewatereagles.com/sports/womens-basketball/roster,75,NA,NA,VA,ODAC,III
Brigham Young,BYU,byuwbb,https://byucougars.com/home/w-basketball,77,Byu,NA,UT,Big 12,I
Brockport,Brockport,Brockport_WBB,https://gobrockport.com/sports/womens-basketball,78,NA,NA,NY,SUNYAC,III
Brown,Brown,BrownU_WBB,https://brownbears.com/sports/womens-basketball,80,Brown,NA,RI,Ivy League,I
Bryant,Bryant,bryantwbball,https://www.bryantbulldogs.com/sports/wbkb/index,81,Bryant,NA,RI,America East,I
Bucknell,Bucknell,bucknell_wbb,https://bucknellbison.com/sports/womens-basketball,83,Bucknell,NA,PA,Patriot,I
Buena Vista,Buena Vista,BVU_WBBALL,https://bvuathletics.com/sports/womens-basketball,84,NA,NA,IA,American Rivers,III
Buffalo,Buffalo,UBwomenshoops,https://ubbulls.com/sports/womens-basketball,86,Buffalo,NA,NY,MAC,I
Butler,Butler,butleruwbb,https://butlersports.com/sports/womens-basketball,87,Butler,NA,IN,Big East,I
Cabrini,Cabrini,_cwbb,https://cabriniathletics.com/sports/womens-basketball,88,NA,NA,PA,Atlantic East,III
Caltech,Caltech,caltechwbb,https://www.gocaltech.com/sports/wbkb/index,89,NA,NA,CA,SCIAC,III
Cal Poly,Cal Poly,calpolywbb,https://gopoly.com/sports/womens-basketball,90,Cal Poly,NA,CA,Big West,I
Cal Poly Pomona,Cal Poly Pomona,cppwbb,https://broncoathletics.com/sports/womens-basketball,91,Cal Poly Pomona,NA,CA,CCAA,II
Cal St. Dom. Hills,Cal St. Dom. Hills,CSUDHwbb,https://gotoros.com/sports/womens-basketball,92,NA,NA,CA,CCAA,II
Cal St. San Bernardino,Cal St. San Bernardino,CSUSBWBB,https://www.csusbathletics.com/sports/womens-basketball,93,NA,NA,CA,CCAA,II
Cal State Bakersfield,Bakersfield,csub_wbb,https://gorunners.com/sports/womens-basketball,94,CSU Bakersfield,NA,CA,Big West,I
Chico St.,Chico St.,ChicoWbb,https://chicowildcats.com/sports/womens-basketball,95,Chico St.,NA,CA,CCAA,II
Fresno State,Fresno St,fresnostatewbb,https://gobulldogs.com/sports/womens-basketball,96,Fresno St.,NA,CA,Mountain West,I
Cal State Fullerton,Fullerton,fullertonwbb,https://www.fullertontitans.com/sports/w-baskbl/index,97,Cal St. Fullerton,NA,CA,Big West,I
Cal St. East Bay,Cal St. East Bay,EastBayWBB,https://eastbaypioneers.com/sports/womens-basketball,98,NA,NA,CA,CCAA,II
Long Beach State,Long Beach St,LBSUWBB,https://longbeachstate.com/sports/womens-basketball,99,Long Beach St.,NA,CA,Big West,I
Cal State LA,Cal State LA,CalStateLAWBB1,https://lagoldeneagles.com/sports/womens-basketball,100,Cal State LA,NA,CA,CCAA,II
CSUN,CSU Northridge,CSUNWBB,https://gomatadors.com/sports/womens-basketball,101,Csun,NA,CA,Big West,I
Sacramento State,Sacramento St,sacstatewbb,https://www.hornetsports.com/sports/wbkb/index,102,Sacramento St.,NA,CA,Big Sky,I
UC Santa Barbara,Santa Barbara,ucsb_wbb,https://www.ucsbgauchos.com/sports/w-baskbl/index,104,UC Santa Barbara,NA,CA,Big West,I
Cal U (PA),Cal U (PA),CALU_wbb,https://calvulcans.com/sports/womens-basketball,106,Cal U (PA),NA,PA,PSAC,II
California,California,calwbball,https://calbears.com/sports/womens-basketball,107,California,NA,CA,ACC,I
UC Davis,UC Davis,ucdaviswbb,https://ucdavisaggies.com/sports/womens-basketball,108,UC Davis,NA,CA,Big West,I
UC Irvine,UC Irvine,uciwbb,https://ucirvinesports.com/sports/womens-basketball,109,UC Irvine,NA,CA,Big West,I
UCLA,UCLA,UCLAWBB,https://uclabruins.com/sports/womens-basketball,110,Ucla,NA,CA,Big Ten,I
