team,espn_name,twitter,url,ncaa_id,stats_name,private,team_state,conference,division
Grove City,Grove City,GCC_WBB,https://athletics.gcc.edu/sports/womens-basketball,265,Grove City,NA,PA,PAC,III
Gust. Adolphus,Gust. Adolphus,GustavusWBB,https://gustavus.edu/athletics/wbb/,266,NA,NA,MN,MIAC,III
Hamilton,Hamilton,HamCollWBBall,https://athletics.hamilton.edu/sports/womens-basketball,267,Hamilton College,NA,NY,NESCAC,III
Hamline,Hamline,HamlineWBB,https://hamlineathletics.com/sports/womens-basketball,268,Hamline University,NA,MN,MIAC,III
Hampton,Hampton,ladypirateswbb,https://hamptonpirates.com/sports/womens-basketball,270,Hampton University,NA,VA,CAA,I
Hardin-Simmons,Hardin-Simmons,cowgirl_bball,https://www.hsuathletics.com/sports/w-baskbl/index,271,NA,NA,TX,ASC,III
Hartford,Hartford,hartfordwbb,https://www.hartfordhawks.com/index.aspx?path=wbball,272,Hartford,NA,CT,DI Independent,I
Hartwick,Hartwick,hartwickwbb,https://www.hartwickhawks.com/sports/womens-basketball,273,NA,NA,NY,Empire 8,III
Harvard,Harvard,harvardwbb,https://gocrimson.com/sports/womens-basketball,275,Harvard,NA,MA,Ivy League,I
Hawaii,Hawaii,hawaiiwbb,https://hawaiiathletics.com/sports/womens-basketball,277,Hawaii,NA,HI,Big West,I
Heidelberg,Heidelberg,bergwbb,https://www.bergathletics.com/sports/womens-basketball,278,NA,NA,OH,OAC,III
Hillsdale,Hillsdale,ChargersWBB,https://www.hillsdalechargers.com/sports/wbkb/index,280,Hillsdale,NA,MI,G-MAC,II
Hiram,Hiram,HiramCollegeWBB,https://hiramterriers.com/sports/womens-basketball,281,Hiram,NA,OH,NCAC,III
Hofstra,Hofstra,hofstrawbb,https://gohofstra.com/sports/womens-basketball,283,Hofstra,NA,NY,CAA,I
Hollins,Hollins,HollinsHoops,https://hollinssports.com/sports/womens-basketball,284,NA,NA,VA,ODAC,III
Holy Cross,Holy Cross,hcrosswbb,https://goholycross.com/sports/womens-basketball,285,Holy Cross,NA,MA,Patriot,I
Hope,Hope,HopeCollegeWBB,https://athletics.hope.edu/sports/wbkb/index,286,NA,NA,MI,Michigan Intercol. Ath. Assn.,III
Houston Christian,Hou Christian,HCUWBB,https://hcuhuskies.com/sports/womens-basketball,287,NA,NA,TX,Southland,I
Houston,Houston,uhcougarwbb,https://uhcougars.com/sports/womens-basketball,288,Houston,NA,TX,Big 12,I
Howard,Howard,Howard_WBB,https://hubison.com/sports/womens-basketball,290,Howard,NA,DC,MEAC,I
Cal Poly Humboldt,Cal Poly Humboldt,humboldtwbb,https://humboldtathletics.com/sports/womens-basketball,291,Humboldt St.,NA,CA,CCAA,II
Hunter,Hunter,HunterCollegeW1,https://www.huntercollegeathletics.com/sports/womens-basketball,292,Hunter College,NA,NY,CUNYAC,III
Idaho St.,Idaho St.,HeartofaBengal,https://isubengals.com/sports/womens-basketball,294,Idaho St.,NA,ID,Big Sky,I
