team_id,team_short_display_name,n_wins,entropy,entropy_norm,primary_archetype,n_archetypes_used,arch_share_1,arch_share_2,arch_share_3,arch_share_4,arch_share_5
61,Georgia,21,1.5921444566807037,0.9892549718011537,5,5,0.23075592287075894,0.15029918157465735,0.24817673946145108,0.20362919722243747,0.16713895887069513
183,Syracuse,21,1.5864268044901315,0.98570239475149,5,5,0.23681498055416805,0.15158873268265854,0.21889017088721976,0.24559571804685626,0.14711039782909752
120,Maryland,22,1.5550078879312654,0.966180724287453,5,5,0.2283312943171388,0.1970480215550123,0.08641966898611873,0.2680085650073967,0.22019245013433347
333,Alabama,21,1.5417995684223464,0.9579739339497364,3,5,0.2442044552773292,0.23865891331482622,0.2813141540709879,0.1428894975593373,0.09293297977751948
2198,E Kentucky,22,1.5267218125774287,0.9486055975085286,3,5,0.17137088721906263,0.1864516085499848,0.31622928568120673,0.2457960089591013,0.08015220959064459
130,Michigan,22,1.5198862406918447,0.9443584178983219,4,5,0.1616094698949586,0.1097310912983632,0.22540142895775053,0.3590330953470426,0.14422491450188504
127,Michigan St,22,1.5141079424712631,0.9407681593515708,3,5,0.25871007958129594,0.19673086329728132,0.3296213012370597,0.09822407213741643,0.11671368374694674
97,Louisville,24,1.5048190634641914,0.9349966543215797,3,5,0.0768137539638901,0.26636392420762395,0.3335931671931918,0.16021066137768755,0.16301849325760664
349,Army,21,1.5035545937544927,0.9342109951172515,2,5,0.1947509947855236,0.2792990601685463,0.2698564465837198,0.20614585934542073,0.04994763911678953
163,Princeton,21,1.4923514138082365,0.9272500680384849,3,5,0.19274129158716577,0.2559017393509804,0.3106726512178307,0.192679126995444,0.048005190848579134
66,Iowa State,21,1.478509083131686,0.9186493444134178,3,5,0.23179431294908232,0.1736979654932764,0.3883562739198022,0.0990719981654147,0.10707944947242444
222,Villanova,22,1.4775399436657453,0.9180471842067685,2,5,0.12357415534296576,0.3148312301720428,0.3255182287997495,0.15894644002050254,0.07712994566473938
2641,Texas Tech,24,1.4667555921151954,0.9113464898418396,4,5,0.2524211096809678,0.1615062414717078,0.13595807141806965,0.38030348741370545,0.06981109001554917
194,Ohio State,23,1.4410953620108167,0.89540289244915094,3,5,0.17002691286919402,0.12123741233566411,0.35837434788513667,0.29739187075619977,0.05296945615380538
2449,N Dakota St,25,1.4392184754177497,0.8942367172406719,1,5,0.28369332505858935,0.03488319329571553,0.2741044714626633,0.29043554429416574,0.11688346588886604
197,Oklahoma St,21,1.4320433442412053,0.889778557580637,2,5,0.16159099002185956,0.4238374931522313,0.053031792092116066,0.19010812018986634,0.17143160454392675
147,Montana St,20,1.423072433760654,0.8842046175042635,4,5,0.051498671566275835,0.24849902799504411,0.1487739400803524,0.41105303304718344,0.1401753273111442
300,UC Irvine,23,1.4139797399329215,0.8785550091798388,1,5,0.3227035127738428,0.18131845100047742,0.30827695063804256,0.1681944367818633,0.019506648805773824
233,South Dakota,21,1.4111674437639985,0.8768076313237587,3,5,0.2803502999176244,0.039406484212102716,0.3248332479402124,0.2714644265621801,0.08394554136788052
26,UCLA,27,1.4045549250936367,0.8726990424684352,5,5,0.12605930335365584,0.11080094792579584,0.44500835138413647,0.07613172954732272,0.24199966778908902
2050,Ball State,22,1.4002945582725024,0.8700519277284259,2,5,0.3890972050058317,0.3140593434442652,0.10338506170938187,0.13692260727947841,0.05653578256104279
259,Virginia Tech,21,1.384289671868959,0.8601075326822462,3,5,0.271692752047403,0.0394952722624819,0.38007023093393144,0.2329298206630755,0.07581192409310819
150,Duke,20,1.379856815075313,0.8573532438964541,3,5,0.2290165345240028,0.0558803470411828,0.45363860785481464,0.09579488064202765,0.1656696299379721
96,Kentucky,20,1.3768745020500168,0.8555002286280453,3,5,0.07872563084772213,0.1742528411898547,0.489613226733676,0.15422149222476847,0.10318680900397864
153,North Carolina,23,1.3631676117473837,0.846983658838843,3,5,0.1687902319995142,0.11465157585144405,0.4814190945415629,0.05044305783893528,0.18469603976854349
201,Oklahoma,21,1.352378500803614,0.8402800072966394,3,5,0.24400167736200107,0.0367027221631923,0.4594720785721729,0.13943757393248507,0.12038594797014864
