team_id,team_short_display_name,off_mahal_mean,off_mahal_median,off_mahal_sd,off_mahal_max,off_gen_var_ratio,def_mahal_mean,def_mahal_median,def_mahal_sd,def_mahal_max,def_gen_var_ratio,n_wins,conference_short_name,conf_tier,off_def_gap,total_mahal
2199,E Michigan,5.181289198900084,3.2547965100773277,6.699848858088771,26.171946482296942,0.15643730936919095,5.94980568745846,4.9951148164697035,4.310906859500066,17.417615023102154,3.832344489944666,12,NA,NA,-0.768516488558376,11.131094886358545
2448,NC A&T,8.042580701521356,6.78369375801519,5.079726369931832,18.432525466652653,0.2022739512151466,2.9792998324415927,2.8363968163820745,1.9162586086720452,6.422223481159327,0.053020154257377106,10,CAA,Mid/Low Major,5.0632808690797635,11.021880533962948
2698,West Georgia,5.958193395006825,5.278768259579807,3.7778940088386914,14.51064299945383,0.5318018644869786,4.5899734268631915,2.5305266852162127,4.279184944846672,18.144348186203498,0.6862269870500592,17,NA,NA,1.3682199681436336,10.548166821870016
277,West Virginia,5.066311022057306,5.230095845361525,2.61791676334746,9.028409358516893,0.7766369885501901,4.788082442767377,3.7552788950616707,3.68310277774026,17.669340296413683,1.4130821649178984,22,Big 12,Power 4,0.2782285792899293,9.854393464824682
2466,N'Western St,5.738484620479769,5.310233746394752,3.0690986798906894,12.125069225611883,1.3296230515838294,4.090927086159236,3.577458574785352,3.0997822151077874,12.1075552118486,0.41694347927608283,14,NA,NA,1.6475575343205326,9.829411706639004
2803,Bryant,5.497109801846139,4.889325397844569,3.083302044025935,11.053742034517063,1.02235136141666,4.268632671900681,3.044393083484258,4.89686220916777,21.151716855926086,0.2984173948272099,18,America East,Mid/Low Major,1.2284771299454578,9.765742473746819
2430,UNC Greensboro,4.835592069983704,4.717836578135587,2.9501979860086993,10.279646181055297,0.29320647432568947,4.7967698815848125,4.336552644659496,2.5779928821265234,9.2836335602465,0.5429971528636452,13,SoCon,Mid/Low Major,0.03882218839889173,9.632361951568516
2900,St Thomas (MN),5.3241756985906115,3.4088820811898786,3.9767893756285755,15.510430573018285,0.784122792318348,4.302375644427178,2.786106833467197,4.782015997596046,19.99585103209348,0.27765303033056105,14,Summit League,Mid/Low Major,1.0218000541634336,9.62655134301779
2534,Sam Houston,4.373957450139435,4.159147439647912,3.2806857692573925,11.182753506032894,0.08227773993554803,5.1547100967026385,4.156236510669431,3.6829005202811116,15.638981860764432,2.029661442265173,16,NA,NA,-0.7807526465632035,9.528667546842073
526,FGCU,6.163325800114936,4.3438958384409405,4.33805389459015,18.766822559293892,0.7786791520772309,3.2954169656660723,2.632060841572009,2.2104161071897654,8.353189411900487,0.3183608778841068,13,NA,NA,2.8679088344488632,9.458742765781007
2000,Abilene Chrstn,5.1808309310460325,4.8364613037419675,3.414112231157317,13.288979089854699,0.5618884954328226,4.250455216276419,3.708735031091103,2.9452188918175084,12.243806758989306,1.0798790325956296,19,NA,NA,0.9303757147696139,9.431286147322451
