team_id,team_short_display_name,n_wins,entropy,entropy_norm,hhi,dominance_ratio,primary_archetype,n_archetypes_used,hhi_norm,spread_score,arch_share_2,arch_share_3,arch_share_4,arch_share_5,arch_share_1,cv_composite_core,cv_Shooting,cv_Ball_Care,cv_Rebounding,cv_Free_Throws,cv_Scoring_Mix,cv_Def_Quality,scale_5,scale_10,scale_20,scale_50,scale_Inf,rank_change,conference_short_name,conf_tier,versatility_score,n_games,win_pct
232,Charleston,23,1.5780191444902572,0.9804784218756686,0.21312104422094524,1.3200724793079592,3,5,0.01640130527618154,0.9835986947238184,0.17563805310715955,0.2897084266077169,0.21946403030808947,0.1734799295812682,0.14170956039576585,0.23074923205336523,0.21707326617874828,0.20500410964680488,0.17698107449232472,0.24605030909959436,0.338027956075304,0.3086374008493539,0.9817337952255234,0.9804784218756686,0.9767806721052912,0.9701840475492283,0.9535274401940106,0,CAA,Mid/Low Major,0.9820385582997435,28,0.8214285714285714
227,Rhode Island,25,1.578259318490911,0.9806276503726478,0.21360768841426608,1.5260162600268274,3,5,0.01700961051783259,0.9829903894821674,0.1762656156025777,0.30081537591139684,0.1971246203537232,0.15517957892462744,0.17061480920767466,0.26407573168246806,0.2433416117114429,0.2990428863621061,0.1975247130590557,0.2522728599728645,0.2939806142050632,0.3281965873068711,0.9860447369196609,0.9806276503726478,0.9730459369387007,0.9623067734315754,0.944698053293454,2,Atlantic 10,High Major,0.9818090199274077,29,0.8620689655172413
2244,George Mason,21,1.5655392564386876,0.9727242314498353,0.21717380794030186,1.0532768323023758,3,5,0.021467259925377312,0.9785327400746227,0.17672926027114302,0.27374708858564206,0.25990041762074423,0.17232590593757108,0.1172973275848995,0.2613386028229198,0.17986413318408478,0.2664691945077802,0.18243291141545015,0.35670835751190916,0.4000531992343308,0.32121841749537466,0.9671577492660106,0.9727242314498353,0.9779016083617101,0.9832241784083242,0.9898279823399508,2,Atlantic 10,High Major,0.975628485762229,29,0.7241379310344828
2198,E Kentucky,24,1.5248328587604993,0.9474319245123007,0.23100573139936464,1.037129328528934,1,5,0.03875716424920579,0.9612428357507942,0.10634504232081456,0.2573408433333895,0.26269462792398585,0.10117118335484869,0.2724483030669616,0.26553024918075496,0.20502862593837373,0.2184590991585234,0.19044999069270033,0.3704632239014121,0.376373324296568,0.34325030621276537,0.9444018970557255,0.9474319245123007,0.9478984754608445,0.9460431208614338,0.9398009074013691,1,ASUN,Mid/Low Major,0.9543373801315475,32,0.75
349,Army,23,1.5063505864159428,0.9359482430345827,0.24313718574924678,1.4353703908528948,4,5,0.05392148218655846,0.9460785178134415,0.16082564273313749,0.1332311458881871,0.3572322112735847,0.09983293103657821,0.24887806906851265,0.2355717647540711,0.18040937417959887,0.21425523211294054,0.20227349836034053,0.2784457071105232,0.4023159902799551,0.30247501200695237,0.9399817479456487,0.9359482430345827,0.9308956324114701,0.9254024183891035,0.9203009775994396,3,Patriot,Mid/Low Major,0.9410133804240122,29,0.7931034482758621
88,So Indiana,21,1.4953708793563318,0.9291261674672157,0.24068494940201315,1.089239016111297,5,5,0.05085618675251643,0.9491438132474835,0.2803172792405919,0.30533251743901807,0.13264116278202107,0.21703048869370165,0.06467855184466734,0.2381201690945378,0.18859439687950474,0.3030027868242186,0.19308306856947396,0.26767667196669975,0.29849361945132763,0.23824392123279192,0.9164379986931689,0.9291261674672157,0.935819172598986,0.937793341746621,0.9333296267537046,3,OVC,Mid/Low Major,0.9391349903573496,30,0.7
2348,Louisiana Tech,23,1.4972982941777109,0.9303237376291265,0.25174344577368246,1.9899059786171278,4,5,0.06467930721710306,0.935320692782897,0.13961999040619785,0.14247890783977482,0.3966832806173072,0.12187007059979267,0.1993477505369272,0.2391019985770946,0.18168561692898405,0.19193039245089918,0.22986465891394536,0.2957747931083951,0.3131926288071721,0.2962545314832494,0.9549801549572571,0.9303237376291265,0.9019560813934155,0.8719072569150205,0.8380911980701227,27,C-USA,Mid/Low Major,0.9328222152060117,28,0.8214285714285714
127,Michigan St,22,1.4831046025983408,0.9215047012004992,0.24728155232057292,1.259089330281952,4,5,0.05910194040071613,0.9408980595992839,0.09066300133999398,0.26422423371205317,0.3326819134687709,0.22608513591728296,0.08634571556189902,0.23503026413234382,0.21233779682753628,0.3149296506232879,0.19374244187359566,0.1673705202839021,0.29287780420786846,0.2867709110533972,0.9147024399302937,0.9215047012004992,0.921670141633036,0.9113405144588095,0.8716049151835775,14,Big Ten,Power 4,0.9312013803998915,30,0.7333333333333333
197,Oklahoma St,23,1.473278965137855,0.9153996893919818,0.24562712419826024,1.0202179928941968,1,5,0.05703390524782529,0.9429660947521747,0.13767870522028466,0.2904344719829238,0.22875644539637938,0.04682390332670779,0.29630647407370436,0.24738346364155667,0.18024032835031223,0.20753167426833724,0.23217931311524215,0.28263010272104006,0.4265176972499019,0.3343358997528516,0.9094762026325406,0.9153996893919818,0.9179440847514436,0.9164321568888449,0.9058144432416708,4,Big 12,Power 4,0.9291828920720783,31,0.7419354838709677
333,Alabama,23,1.4694245575502605,0.9130048113057777,0.24392190503301828,1.102163494048959,1,5,0.05490238129127283,0.9450976187087272,0.1732695690106142,0.3025150560685637,0.2139294341570172,0.03581209209981912,0.2744738486639857,0.25721211240363384,0.18257150102024233,0.3190223780032967,0.19911554333553536,0.29163759637404607,0.4167260096319765,0.29371354328504873,0.9031817009616269,0.9130048113057777,0.9195275720297201,0.9244322601051193,0.927126788655251,8,SEC,Power 4,0.9290512150072525,32,0.71875
2294,Iowa,24,1.4732640429434136,0.915390417711275,0.24655918289298656,1.1232267421787574,2,5,0.05819897861623319,0.9418010213837669,0.2578735149794536,0.30175806527810045,0.1181457936665261,0.2686528498179904,0.05356977625792926,0.24119672614909235,0.22074797178229166,0.20654227753196686,0.20345709211575247,0.26846390276567617,0.38227628525047397,0.3067723865497746,0.9092483088008749,0.915390417711275,0.9192111585296764,0.921161010381826,0.9217925694913788,3,Big Ten,Power 4,0.928595719547521,29,0.8275862068965517
167,New Mexico,22,1.469405201710842,0.9129927848465593,0.24896631979113942,1.123144972154873,4,5,0.061207899738924265,0.9387921002610757,0.27245747669991016,0.10170382494187799,0.30600924508150756,0.06091352082080393,0.25891593245590067,0.23473315429943445,0.18994567014414848,0.23323511319561815,0.15640061930929716,0.3004247973968009,0.5058130374609164,0.2936595714513075,0.9077483823932363,0.9129927848465593,0.9141187944529354,0.9113255637206225,0.9031155706047626,4,Mountain West,High Major,0.9258924425538175,31,0.7096774193548387
97,Louisville,25,1.4690827930059138,0.9127924610549812,0.2548553659948475,1.0255155646639178,2,5,0.06856920749355934,0.9314307925064407,0.3280390994040986,0.11438786405906223,0.31987725072861634,0.16121552786175694,0.07648025794646603,0.22431452709065566,0.16874163067261982,0.2268089108297197,0.18657469627504042,0.26491057776312366,0.3573789749549808,0.2745368199127747,0.9307703357927813,0.9127924610549812,0.8907062849900192,0.8620114574541416,0.8198860487565437,29,ACC,Power 4,0.922111626780711,31,0.8064516129032258
2426,Navy,21,1.470387033428087,0.9136028311923423,0.25828099035825763,1.4050103858343006,3,5,0.07285123794782203,0.927148762052178,0.12225647182296136,0.37840575969945406,0.1390292324313688,0.09098258407130912,0.2693259519749067,0.2620462174024268,0.17338361195123211,0.2562389339552874,0.18630113849726668,0.3515009809476006,0.36874361910715237,0.3428064216607471,0.9046747240045552,0.9136028311923423,0.9197750705426438,0.9237402730432853,0.9253239745212894,6,Patriot,Mid/Low Major,0.9203757966222601,28,0.75
242,Rice,27,1.4529331860892623,0.9027581460982601,0.25879763870766187,1.8859256849342287,3,5,0.07349704838457732,0.9265029516154226,0.17066659650300378,0.3842943584559205,0.19600338017358368,0.04526604577493316,0.20376961909255867,0.22772581478645515,0.1868974245740214,0.23236332178117497,0.20215007366960505,0.2681514433651424,0.3583678863962967,0.24906681054233193,0.8956958987970076,0.9027581460982601,0.9061934933441587,0.9077425917802291,0.9089169098800703,3,C-USA,Mid/Low Major,0.9146305488568414,30,0.9
153,North Carolina,25,1.4505384986494678,0.9012702431345647,0.2637630501069605,1.5689635916931137,1,5,0.0797038126337006,0.9202961873662994,0.14240537635500822,0.15706247693137337,0.24934327119724464,0.059978361174234655,0.39121051434213916,0.25532300227225185,0.2113665609287224,0.20876089887675595,0.19956209186500815,0.30616046536353725,0.36150107008864923,0.3507649943272355,0.8910423621146234,0.9012702431345647,0.9089508104593939,0.9147127190128802,0.91891764193141,7,ACC,Power 4,0.910783215250432,31,0.8064516129032258
171,Columbia,20,1.4446493991640632,0.8976111398911858,0.2656020498791412,1.6261762404748017,4,5,0.0820025623489265,0.9179974376510736,0.08769415215379295,0.23947351791465407,0.20785429994332733,0.38942614505572715,0.07555188493249852,0.2643378198163524,0.21127055734109204,0.2165458006881602,0.19062255191009214,0.40864733437396894,0.2933289850316236,0.29460285476844855,0.8875132783217378,0.8976111398911858,0.8989515916743553,0.8916941529576845,0.8695511625810319,6,Ivy League,Mid/Low Major,0.9078042887711297,26,0.7692307692307693
