team_id,team_short_display_name,n_wins,off_mahal_mean,def_mahal_mean,off_def_gap,total_mahal,conference_short_name,conf_tier,cv_composite_core,cv_Shooting,cv_Ball_Care,cv_Rebounding,cv_Free_Throws,cv_Scoring_Mix,cv_Def_Quality
2199,E Michigan,12,5.181289198900084,5.94980568745846,-0.768516488558376,11.131094886358545,NA,NA,0.27553963333751463,0.17582785313567378,0.19044825140356397,0.23478130376921988,0.3593879549089086,0.3325285390753252,0.41725280347020677
2448,NC A&T,10,8.042580701521356,2.9792998324415927,5.0632808690797635,11.021880533962948,CAA,Mid/Low Major,0.2698359349740353,0.20113780215387383,0.3066864487147769,0.18857370201920334,0.3398072469252588,0.26478724542060994,0.31297447505706366
2698,West Georgia,17,5.958193395006825,4.5899734268631915,1.3682199681436336,10.548166821870016,NA,NA,0.2550508182420388,0.19511643035127155,0.22324670336574115,0.25246684874909725,0.23795111900156685,0.25816826767250456,0.3664729897425173
277,West Virginia,22,5.066311022057306,4.788082442767377,0.2782285792899293,9.854393464824682,Big 12,Power 4,0.26880303168521735,0.22044779835906714,0.26713357316192765,0.1888696179894674,0.3034836675724123,0.35290856593019615,0.3640805013432124
2466,N'Western St,14,5.738484620479769,4.090927086159236,1.6475575343205326,9.829411706639004,NA,NA,0.273759440277749,0.23356439070864432,0.27433301252089964,0.21530685494853702,0.2589821974363585,0.4313553616125264,0.3866107457743056
2803,Bryant,18,5.497109801846139,4.268632671900681,1.2284771299454578,9.765742473746819,America East,Mid/Low Major,0.27030807186011785,0.22486816798797463,0.256752481979615,0.20835588205374328,0.3368987742636957,0.36318644140703826,0.32466505301556065
2430,UNC Greensboro,13,4.835592069983704,4.7967698815848125,0.03882218839889173,9.632361951568516,SoCon,Mid/Low Major,0.2720449935770365,0.20555593071414624,0.25630113513803626,0.21539012635700377,0.322050514050132,0.41377071647699215,0.3609272616258642
2900,St Thomas (MN),14,5.3241756985906115,4.302375644427178,1.0218000541634336,9.62655134301779,Summit League,Mid/Low Major,0.25592091319988264,0.1963734057692355,0.26591981859167185,0.1893168235792816,0.283832109130706,0.4633158272017652,0.34416240892851835
2534,Sam Houston,16,4.373957450139435,5.1547100967026385,-0.7807526465632035,9.528667546842073,NA,NA,0.24559894062487647,0.1900319950310514,0.2527339220910134,0.24985732131518262,0.24860250189362443,0.2786086716469929,0.2867689627935105
526,FGCU,13,6.163325800114936,3.2954169656660723,2.8679088344488632,9.458742765781007,NA,NA,0.3003685280517583,0.16462121966262364,0.3107676886489974,0.3446330747094343,0.35743341251786115,0.5149146564451504,0.32438724471987507
