"event","year","team1","team2","team1_score","team2_score","game_date","winner","margin"
"afrobasket",2017,"Senegal","Guinea",105,39,"2017-08-18","Senegal",66
"afrobasket",2017,"Egypt","Dem.Rep. of Congo",99,72,"2017-08-18","Egypt",27
"afrobasket",2017,"Cote d'Ivoire","CAF",104,57,"2017-08-18","Cote d'Ivoire",47
"afrobasket",2017,"Angola","Cameroon",78,56,"2017-08-18","Angola",22
"afrobasket",2017,"Mali","Tunisia",86,48,"2017-08-18","Mali",38
"afrobasket",2017,"Nigeria","Mozambique",80,69,"2017-08-18","Nigeria",11
"afrobasket",2017,"Tunisia","CAF",96,51,"2017-08-19","Tunisia",45
"afrobasket",2017,"Egypt","Guinea",109,78,"2017-08-19","Egypt",31
"afrobasket",2017,"Cote d'Ivoire","Cameroon",57,54,"2017-08-19","Cote d'Ivoire",3
"afrobasket",2017,"Nigeria","Dem.Rep. of Congo",84,47,"2017-08-19","Nigeria",37
"afrobasket",2017,"Angola","Mali",68,59,"2017-08-19","Angola",9
"afrobasket",2017,"Senegal","Mozambique",76,67,"2017-08-19","Senegal",9
"afrobasket",2017,"Nigeria","Egypt",106,72,"2017-08-20","Nigeria",34
"afrobasket",2017,"Mozambique","Guinea",88,47,"2017-08-20","Mozambique",41
"afrobasket",2017,"Angola","Tunisia",62,55,"2017-08-20","Angola",7
"afrobasket",2017,"Senegal","Dem.Rep. of Congo",70,63,"2017-08-20","Senegal",7
"afrobasket",2017,"Mali","Cote d'Ivoire",61,39,"2017-08-20","Mali",22
"afrobasket",2017,"Cameroon","CAF",94,42,"2017-08-20","Cameroon",52
"afrobasket",2017,"Senegal","Egypt",93,61,"2017-08-22","Senegal",32
"afrobasket",2017,"Nigeria","Guinea",106,33,"2017-08-22","Nigeria",73
"afrobasket",2017,"Mozambique","Dem.Rep. of Congo",52,42,"2017-08-22","Mozambique",10
"afrobasket",2017,"Cameroon","Tunisia",64,49,"2017-08-22","Cameroon",15
"afrobasket",2017,"Mali","CAF",97,38,"2017-08-22","Mali",59
"afrobasket",2017,"Angola","Cote d'Ivoire",70,62,"2017-08-22","Angola",8
"afrobasket",2017,"Dem.Rep. of Congo","Guinea",84,37,"2017-08-23","Dem.Rep. of Congo",47
"afrobasket",2017,"Egypt","Mozambique",91,70,"2017-08-23","Egypt",21
"afrobasket",2017,"Angola","CAF",96,58,"2017-08-23","Angola",38
"afrobasket",2017,"Tunisia","Cote d'Ivoire",69,64,"2017-08-23","Tunisia",5
"afrobasket",2017,"Mali","Cameroon",69,35,"2017-08-23","Mali",34
"afrobasket",2017,"Nigeria","Senegal",58,54,"2017-08-23","Nigeria",4
"afrobasket",2017,"Guinea","Tunisia",60,56,"2017-08-25","Guinea",4
"afrobasket",2017,"Dem.Rep. of Congo","CAF",101,40,"2017-08-25","Dem.Rep. of Congo",61
"afrobasket",2017,"Nigeria","Cote d'Ivoire",98,43,"2017-08-25","Nigeria",55
"afrobasket",2017,"Mozambique","Angola",61,47,"2017-08-25","Mozambique",14
"afrobasket",2017,"Mali","Egypt",90,50,"2017-08-25","Mali",40
"afrobasket",2017,"Senegal","Cameroon",71,58,"2017-08-25","Senegal",13
"afrobasket",2017,"Tunisia","CAF",73,63,"2017-08-26","Tunisia",10
"afrobasket",2017,"Dem.Rep. of Congo","Guinea",69,38,"2017-08-26","Dem.Rep. of Congo",31
"afrobasket",2017,"Angola","Cameroon",66,54,"2017-08-26","Angola",12
"afrobasket",2017,"Cote d'Ivoire","Egypt",73,70,"2017-08-26","Cote d'Ivoire",3
"afrobasket",2017,"Nigeria","Mali",48,47,"2017-08-26","Nigeria",1
"afrobasket",2017,"Senegal","Mozambique",72,52,"2017-08-26","Senegal",20
"afrobasket",2017,"Egypt","Cameroon",86,83,"2017-08-27","Egypt",3
"afrobasket",2017,"Cote d'Ivoire","Angola",61,56,"2017-08-27","Cote d'Ivoire",5
"afrobasket",2017,"Mali","Mozambique",75,52,"2017-08-27","Mali",23
"afrobasket",2017,"Nigeria","Senegal",65,48,"2017-08-27","Nigeria",17
"afrobasket",2019,"Nigeria","Tunisia",75,26,"2019-08-10","Nigeria",49
"afrobasket",2019,"Mozambique","Kenya",55,39,"2019-08-10","Mozambique",16
"afrobasket",2019,"Mali","Angola",71,63,"2019-08-10","Mali",8
"afrobasket",2019,"Senegal","Cote d'Ivoire",77,36,"2019-08-10","Senegal",41
"afrobasket",2019,"Cape Verde","Kenya",64,57,"2019-08-11","Cape Verde",7
"afrobasket",2019,"Cameroon","Tunisia",95,53,"2019-08-11","Cameroon",42
"afrobasket",2019,"Cote d'Ivoire","Egypt",71,67,"2019-08-11","Cote d'Ivoire",4
