Game ID,Game Name,Game Number,Status Code,Team A ID,Team A Organisation ID,Team A Code,Team A Official Name,Team A Short Name,Team B ID,Team B Organisation ID,Team B Code,Team B Official Name,Team B Short Name,Team A Score,Team B Score,Is Live,Current Period,Chrono,Live Game Status,Current Period Status,Host City,Host Country,Host Country Code,Venue ID,Venue Name,Game Date Time,Game Date Time UTC,Has Time Game Date Time,IANA Time Zone,UTC Offset,Is Postponed,Is Played Behind Closed Doors,Venue Capacity,Spectators,Statistic System,Group ID,Group Pairing Code,Round ID,Round Code,Round Name,Round Number,Round Type,Round Status Code,Competition ID,Competition Code,Competition Official Name,Competition Start,Competition End,Competition Status,Competition Age Category,Competition Gender,Competition FIBA Zone,Competition Zone Code,Competition Type,Competition Category Code,Competition Category Name
103004,25664-A-1,1,VALID,276335,70340,,Los Angeles Sparks,Los Angeles Sparks,276334,70339,,Indiana Fever,Indiana Fever,26,32,False,Q1,,5,,,Bahamas,BAH,0,,2017-07-06T00:00:00,2017-07-06T00:00:00,False,,,False,False,0,0,,38180,A,25664,GP,Group Phase,1,G,COMPL,208256,BWBW-AM,BWB Americas 2017 Women,2017-07-05,2017-07-08,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
103005,25664-A-2,2,VALID,276335,70340,,Los Angeles Sparks,Los Angeles Sparks,276334,70339,,Indiana Fever,Indiana Fever,38,34,False,Q1,,5,,,Bahamas,BAH,0,,2017-07-07T00:00:00,2017-07-07T00:00:00,False,,,False,False,0,0,,38180,A,25664,GP,Group Phase,1,G,COMPL,208256,BWBW-AM,BWB Americas 2017 Women,2017-07-05,2017-07-08,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
102906,25666-3-B,B,VALID,276334,70339,,Indiana Fever,Indiana Fever,276335,70340,,Los Angeles Sparks,Los Angeles Sparks,35,37,False,Q1,,5,,,Bahamas,BAH,0,,2017-07-08T00:00:00,2017-07-08T00:00:00,False,,,False,False,0,0,,38159,3,25666,F,Final,2,NG,COMPL,208256,BWBW-AM,BWB Americas 2017 Women,2017-07-05,2017-07-08,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
77989,10809-10-A,A,VALID,266143,736,UZB,Uzbekistan,Uzbekistan,266152,136,SGP,Singapore,Singapore,84,79,False,Q4,,999,,Bengaluru,India,IND,57684,Koramangala Indoor Stadium,2017-07-27T15:00:00,2017-07-27T09:30:00,True,Asia/Kolkata,5.5,False,False,0,0,FLS,21661,10,10809,QF,Quarter Final,3,NG,COMPL,10778,ASMW-B,FIBA Women's Asia Cup Division B,2017-07-23,2017-07-29,Closed,Senior,Women,FIBA Asia,AS,National Teams,CC-B,Continental Cup Div B
77993,10810-14-A,A,VALID,266170,139,SRI,Sri Lanka,Sri Lanka,266179,57,FIJ,Fiji,Fiji,64,65,False,Q4,,999,,Bengaluru,India,IND,57684,Koramangala Indoor Stadium,2017-07-28T15:00:00,2017-07-28T09:30:00,True,Asia/Kolkata,5.5,False,False,0,0,FLS,21665,14,10810,CL5-8,Classification (5-8),4,NG,COMPL,10778,ASMW-B,FIBA Women's Asia Cup Division B,2017-07-23,2017-07-29,Closed,Senior,Women,FIBA Asia,AS,National Teams,CC-B,Continental Cup Div B
77999,10814-20-A,A,VALID,266188,739,KAZ,Kazakhstan,Kazakhstan,266277,77,IND,India,India,73,75,False,Q4,,999,,Bengaluru,India,IND,57659,Sree Kanteerava Indoor Stadium,2017-07-29T17:45:00,2017-07-29T12:15:00,True,Asia/Kolkata,5.5,False,False,0,0,FLS,21671,20,10814,F,Final,8,NG,COMPL,10778,ASMW-B,FIBA Women's Asia Cup Division B,2017-07-23,2017-07-29,Closed,Senior,Women,FIBA Asia,AS,National Teams,CC-B,Continental Cup Div B
102982,25659-A-1,1,VALID,276327,70339,,Los Angeles Sparks,Los Angeles Sparks,276328,70340,,Minnesota Lynx,Minnesota Lynx,14,28,False,Q1,,5,,,South Africa,RSA,0,,2017-08-03T00:00:00,2017-08-03T00:00:00,False,,,False,False,0,0,,38178,A,25659,GP,Group Phase,1,G,COMPL,208254,BWBW-AF,BWB Africa 2017 Women,2017-08-02,2017-08-05,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
103018,25670-A-1,1,VALID,276340,70339,,Los Angeles Sparks,Los Angeles Sparks,276341,70340,,New York Liberty,New York Liberty,38,30,False,Q1,,5,,,Israel,ISR,0,,2017-08-14T00:00:00,2017-08-14T00:00:00,False,,,False,False,0,0,,38182,A,25670,GP,Group Phase,1,G,COMPL,208258,BWBW-EUR,BWB Europe 2017 Women,2017-08-13,2017-08-16,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
102983,25659-A-2,2,VALID,276328,70340,,Minnesota Lynx,Minnesota Lynx,276329,70341,,Washington Mystics,Washington Mystics,14,10,False,Q1,,5,,,South Africa,RSA,0,,2017-08-03T00:00:00,2017-08-03T00:00:00,False,,,False,False,0,0,,38178,A,25659,GP,Group Phase,1,G,COMPL,208254,BWBW-AF,BWB Africa 2017 Women,2017-08-02,2017-08-05,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
102984,25659-A-3,3,VALID,276327,70339,,Los Angeles Sparks,Los Angeles Sparks,276329,70341,,Washington Mystics,Washington Mystics,30,21,False,Q1,,5,,,South Africa,RSA,0,,2017-08-03T00:00:00,2017-08-03T00:00:00,False,,,False,False,0,0,,38178,A,25659,GP,Group Phase,1,G,COMPL,208254,BWBW-AF,BWB Africa 2017 Women,2017-08-02,2017-08-05,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
103020,25670-A-3,3,VALID,276340,70339,,Los Angeles Sparks,Los Angeles Sparks,276341,70340,,New York Liberty,New York Liberty,36,30,False,Q1,,5,,,Israel,ISR,0,,2017-08-16T00:00:00,2017-08-16T00:00:00,False,,,False,False,0,0,,38182,A,25670,GP,Group Phase,1,G,COMPL,208258,BWBW-EUR,BWB Europe 2017 Women,2017-08-13,2017-08-16,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
102985,25659-A-4,4,VALID,276327,70339,,Los Angeles Sparks,Los Angeles Sparks,276328,70340,,Minnesota Lynx,Minnesota Lynx,20,15,False,Q1,,5,,,South Africa,RSA,0,,2017-08-03T00:00:00,2017-08-03T00:00:00,False,,,False,False,0,0,,38178,A,25659,GP,Group Phase,1,G,COMPL,208254,BWBW-AF,BWB Africa 2017 Women,2017-08-02,2017-08-05,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
102986,25659-A-5,5,VALID,276328,70340,,Minnesota Lynx,Minnesota Lynx,276329,70341,,Washington Mystics,Washington Mystics,29,17,False,Q1,,5,,,South Africa,RSA,0,,2017-08-03T00:00:00,2017-08-03T00:00:00,False,,,False,False,0,0,,38178,A,25659,GP,Group Phase,1,G,COMPL,208254,BWBW-AF,BWB Africa 2017 Women,2017-08-02,2017-08-05,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
102987,25659-A-6,6,VALID,276327,70339,,Los Angeles Sparks,Los Angeles Sparks,276329,70341,,Washington Mystics,Washington Mystics,14,17,False,Q1,,5,,,South Africa,RSA,0,,2017-08-03T00:00:00,2017-08-03T00:00:00,False,,,False,False,0,0,,38178,A,25659,GP,Group Phase,1,G,COMPL,208254,BWBW-AF,BWB Africa 2017 Women,2017-08-02,2017-08-05,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
102988,25659-A-7,7,VALID,276328,70340,,Minnesota Lynx,Minnesota Lynx,276329,70341,,Washington Mystics,Washington Mystics,6,23,False,Q1,,5,,,South Africa,RSA,0,,2017-08-04T00:00:00,2017-08-04T00:00:00,False,,,False,False,0,0,,38178,A,25659,GP,Group Phase,1,G,COMPL,208254,BWBW-AF,BWB Africa 2017 Women,2017-08-02,2017-08-05,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
102989,25659-A-8,8,VALID,276327,70339,,Los Angeles Sparks,Los Angeles Sparks,276329,70341,,Washington Mystics,Washington Mystics,17,4,False,Q1,,5,,,South Africa,RSA,0,,2017-08-04T00:00:00,2017-08-04T00:00:00,False,,,False,False,0,0,,38178,A,25659,GP,Group Phase,1,G,COMPL,208254,BWBW-AF,BWB Africa 2017 Women,2017-08-02,2017-08-05,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
102990,25659-A-9,9,VALID,276327,70339,,Los Angeles Sparks,Los Angeles Sparks,276328,70340,,Minnesota Lynx,Minnesota Lynx,20,4,False,Q1,,5,,,South Africa,RSA,0,,2017-08-04T00:00:00,2017-08-04T00:00:00,False,,,False,False,0,0,,38178,A,25659,GP,Group Phase,1,G,COMPL,208254,BWBW-AF,BWB Africa 2017 Women,2017-08-02,2017-08-05,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
