country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
China,Spain,68,89,1008,12,Song Gao,10:02,4,2/3,2/3,0/0,0/0,0,0,0,0,2,1,0,0,-15,2
China,Spain,68,89,1008,13,Mengran Sun,26:20,9,2/7,1/4,1/3,4/4,0,8,8,2,3,3,0,1,-10,12
China,Spain,68,89,1008,14,Hongpin Huang,21:26,6,3/7,3/7,0/0,0/0,0,2,2,1,1,2,1,1,-2,5
China,Spain,68,89,1008,15,Nan Chen,08:27,4,2/5,2/5,0/0,0/0,0,1,1,0,1,2,0,0,-16,0
Spain,China,89,68,1008,2,Leticia Romero,14:20,16,6/6,5/5,1/1,3/3,0,2,2,1,4,0,1,0,11,20
Spain,China,89,68,1008,4,Laura Nicholls,37:29,7,2/6,2/6,0/0,3/4,4,6,10,4,2,1,2,0,21,17
Spain,China,89,68,1008,6,Silvia Dominguez,02:27,0,0/1,0/1,0/0,0/0,0,0,0,0,2,1,0,0,-6,-2
Spain,China,89,68,1008,7,Alba Torrens,37:34,32,15/25,14/21,1/4,1/2,0,8,8,4,1,4,1,0,23,30
Spain,China,89,68,1008,9,Laia Palau,18:55,2,1/3,1/3,0/0,0/0,0,1,1,7,5,0,0,0,18,8
Spain,China,89,68,1008,10,Marta Xargay,33:08,9,4/11,4/9,0/2,1/2,1,0,1,3,3,2,1,0,23,4
Spain,China,89,68,1008,13,Lucila Pascua,03:05,0,0/0,0/0,0/0,0/0,0,1,1,0,0,0,0,0,4,1
Spain,China,89,68,1008,15,Anna Cruz,13:36,2,1/4,1/3,0/1,0/0,0,3,3,4,2,2,0,0,-6,4
Spain,China,89,68,1008,24,Laura Gil,06:42,0,0/0,0/0,0/0,0/0,0,1,1,0,0,0,0,1,2,2
Spain,China,89,68,1008,45,Astou Ndour,32:44,21,8/13,8/12,0/1,5/5,2,3,5,0,3,0,1,1,15,23
USA,Serbia,110,84,1008,4,Lindsay Whalen,20:06,5,2/6,2/5,0/1,1/1,0,0,0,3,1,1,1,0,15,4
USA,Serbia,110,84,1008,5,Seimone Augustus,19:06,4,2/3,2/3,0/0,0/0,1,3,4,5,0,3,0,0,15,9
