country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Mali,Senegal,74,39,0712,14,Mama Cisse,15:35,4,2/5,2/5,0/0,0/4,5,3,8,1,4,1,1,0,12,6
Egypt,Senegal,64,67,0812,1,Hala Yassine,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Egypt,Senegal,64,67,0812,4,Habiba Abdelhamid,29:28,4,2/7,2/7,0/0,0/0,2,2,4,3,1,4,1,1,-3,4
Egypt,Senegal,64,67,0812,5,Salma Bahgat,17:17,4,2/4,2/2,0/2,0/0,0,3,3,8,3,5,4,0,-1,12
Egypt,Senegal,64,67,0812,7,Farida Mossad,38:19,13,4/16,1/6,3/10,2/2,1,3,4,2,2,1,0,0,7,6
Egypt,Senegal,64,67,0812,8,Fatma Kabil,03:33,0,0/1,0/0,0/1,0/0,0,1,1,0,0,0,1,0,-8,1
Egypt,Senegal,64,67,0812,9,Sandy Abdellatif,21:16,4,0/5,0/5,0/0,4/6,3,4,7,2,3,1,0,0,8,5
Egypt,Senegal,64,67,0812,12,Aya Elfiky,12:49,3,1/2,0/1,1/1,0/0,4,1,5,1,4,2,1,0,0,7
Egypt,Senegal,64,67,0812,20,Malak Sadek,21:03,7,3/6,3/5,0/1,1/2,0,5,5,1,1,2,1,0,-13,8
Egypt,Senegal,64,67,0812,33,Farida Youssef,12:30,2,0/2,0/1,0/1,2/2,1,3,4,3,3,1,0,0,3,6
Egypt,Senegal,64,67,0812,44,Yara Hussein,28:36,12,3/12,3/11,0/1,6/14,1,12,13,1,1,6,1,2,-9,6
Egypt,Senegal,64,67,0812,48,Mennatullah Elgharini,08:46,2,1/2,1/2,0/0,0/0,0,0,0,0,3,2,0,0,3,-1
Egypt,Senegal,64,67,0812,77,Hager Yassine,31:23,13,6/16,6/13,0/3,1/2,2,2,4,1,1,1,1,0,-2,7
Senegal,Egypt,67,64,0812,4,Aida Thiam,01:42,0,0/0,0/0,0/0,0/0,0,0,0,0,0,1,0,0,0,-1
Senegal,Egypt,67,64,0812,5,Fanta Gassama,36:21,4,0/2,0/0,0/2,4/8,1,7,8,1,3,4,2,0,6,5
Senegal,Egypt,67,64,0812,6,Anta Badiane Seye,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Senegal,Egypt,67,64,0812,7,Victorine Thiaw,37:42,12,5/13,5/13,0/0,2/2,0,5,5,8,4,3,3,0,1,17
Senegal,Egypt,67,64,0812,8,Mame Dem Kane,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Senegal,Egypt,67,64,0812,9,Fouleye Ndiaye,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Senegal,Egypt,67,64,0812,10,Nene Awa Ndiaye,35:03,12,4/10,1/3,3/7,1/2,0,9,9,2,2,3,4,0,3,17
Senegal,Egypt,67,64,0812,11,Aïcha Ndir,32:27,2,0/4,0/2,0/2,2/2,0,1,1,0,4,4,1,0,9,-4
Senegal,Egypt,67,64,0812,12,Charlotte Carvalho,14:08,2,0/1,0/0,0/1,2/4,1,4,5,0,2,1,0,0,-5,3
Senegal,Egypt,67,64,0812,13,Bineta Diatta,03:26,0,0/1,0/0,0/1,0/0,0,0,0,1,0,0,1,0,-5,1
Senegal,Egypt,67,64,0812,14,Ndate Ndiaye,34:03,21,7/24,5/19,2/5,5/8,1,3,4,2,2,4,0,0,5,3
Senegal,Egypt,67,64,0812,15,Khadija Faye,30:08,14,7/17,7/17,0/0,0/0,10,5,15,1,4,2,9,2,1,29
Mali,Egypt,63,68,0912,1,Djelika Tounkara,11:32,4,1/5,1/3,0/2,2/2,1,0,1,3,4,1,4,1,5,8
Mali,Egypt,63,68,0912,4,Mariam Kone,09:03,2,1/2,1/1,0/1,0/0,1,0,1,0,1,0,0,0,-11,2
Mali,Egypt,63,68,0912,5,Assa Kane,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Mali,Egypt,63,68,0912,6,Mariam Coulibaly,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Mali,Egypt,63,68,0912,7,Diouma Berthe,33:16,7,3/17,2/6,1/11,0/0,3,3,6,3,2,2,3,0,-8,3
Mali,Egypt,63,68,0912,8,Saran Berthe,36:30,4,0/10,0/5,0/5,4/8,1,3,4,4,1,3,0,0,5,-5
Mali,Egypt,63,68,0912,9,Alima Kouyate,38:45,12,3/10,3/9,0/1,6/15,12,8,20,4,3,4,3,0,-7,19
Mali,Egypt,63,68,0912,10,Diarrah Issa Sissoko,39:48,30,13/26,10/20,3/6,1/1,1,4,5,5,2,2,1,0,0,26
Mali,Egypt,63,68,0912,11,Kadiatou Samake,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Mali,Egypt,63,68,0912,12,Koudedia Cissé,12:01,1,0/1,0/1,0/0,1/2,1,0,1,0,3,1,0,1,-6,0
Mali,Egypt,63,68,0912,13,Djelika Kone,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Mali,Egypt,63,68,0912,14,Mama Cisse,19:05,3,1/6,1/6,0/0,1/4,4,2,6,2,1,0,0,0,-3,3
Egypt,Mali,68,63,0912,1,Hala Yassine,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Egypt,Mali,68,63,0912,4,Habiba Abdelhamid,22:55,4,1/3,1/3,0/0,2/2,0,2,2,4,1,0,1,0,15,9
Egypt,Mali,68,63,0912,5,Salma Bahgat,18:20,4,2/5,2/2,0/3,0/0,0,2,2,5,0,4,3,0,-12,7
Egypt,Mali,68,63,0912,7,Farida Mossad,22:12,10,4/8,2/5,2/3,0/0,0,0,0,2,2,1,1,2,-2,10
Egypt,Mali,68,63,0912,8,Fatma Kabil,17:48,9,3/9,3/5,0/4,3/4,0,4,4,1,2,0,0,0,7,7
Egypt,Mali,68,63,0912,9,Sandy Abdellatif,12:20,2,1/2,1/2,0/0,0/0,3,4,7,2,2,1,1,0,7,10
Egypt,Mali,68,63,0912,12,Aya Elfiky,27:40,8,4/9,4/8,0/1,0/0,2,8,10,2,3,0,0,0,-2,15
Egypt,Mali,68,63,0912,20,Malak Sadek,18:58,2,1/1,1/1,0/0,0/0,2,5,7,1,3,4,0,0,-4,6
Egypt,Mali,68,63,0912,33,Farida Youssef,05:44,0,0/0,0/0,0/0,0/0,0,0,0,0,0,3,0,0,-7,-3
Egypt,Mali,68,63,0912,44,Yara Hussein,16:46,2,0/5,0/4,0/1,2/4,0,5,5,1,3,4,0,4,6,1
Egypt,Mali,68,63,0912,48,Mennatullah Elgharini,04:16,0,0/1,0/1,0/0,0/0,0,0,0,0,2,1,0,0,3,-2
Egypt,Mali,68,63,0912,77,Hager Yassine,33:01,27,10/17,6/11,4/6,3/6,2,2,4,0,2,2,1,0,14,20
