country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Ecuador,Canada,33,79,1606,3,Samy Bacilio,19:07,2,1/6,1/4,0/2,0/0,0,1,1,1,4,1,0,0,-15,-2
Ecuador,Canada,33,79,1606,5,Justin Sampedro,03:54,0,0/1,0/1,0/0,0/0,0,0,0,0,0,0,1,0,-4,0
Ecuador,Canada,33,79,1606,8,Paulina Vaicekauskas,32:19,5,2/7,1/3,1/4,0/0,1,5,6,1,5,2,2,1,-39,8
Ecuador,Canada,33,79,1606,9,Daniela Argüello,17:41,3,1/3,0/1,1/2,0/0,1,0,1,2,1,0,1,0,-13,5
Ecuador,Canada,33,79,1606,10,Rebeca Carrión,16:11,2,1/9,1/3,0/6,0/0,1,1,2,0,2,0,1,0,-27,-3
Ecuador,Canada,33,79,1606,11,Blanca Quiñonez,29:14,12,5/11,5/10,0/1,2/4,1,3,4,3,1,3,1,0,-27,9
Ecuador,Canada,33,79,1606,12,Sarahi Mosquera,04:16,0,0/1,0/0,0/1,0/0,0,0,0,0,1,3,0,0,-18,-4
Ecuador,Canada,33,79,1606,13,Karima Valencia,04:34,0,0/2,0/1,0/1,0/0,0,1,1,0,1,0,0,0,-9,-1
Ecuador,Canada,33,79,1606,16,Joseline Naranjo,02:24,0,0/0,0/0,0/0,0/0,0,1,1,0,1,0,0,0,-9,1
Ecuador,Canada,33,79,1606,20,Daleska Prado,19:20,0,0/4,0/2,0/2,0/0,0,1,1,1,3,3,3,0,-23,-2
Ecuador,Canada,33,79,1606,23,Evelyn Pilay,22:10,3,1/8,1/8,0/0,1/2,1,2,3,1,0,2,1,0,-21,-2
Ecuador,Canada,33,79,1606,26,Kennya Mora,28:50,6,3/8,3/7,0/1,0/0,0,3,3,1,1,0,0,0,-25,5
Canada,Ecuador,79,33,1606,4,Louella Allana,16:59,6,2/6,1/4,1/2,1/2,0,2,2,0,1,2,2,0,16,3
Canada,Ecuador,79,33,1606,5,Déja Lee,18:48,4,2/6,2/4,0/2,0/0,1,3,4,3,1,2,1,0,19,6
Canada,Ecuador,79,33,1606,6,Rosalie Mercille,26:15,6,3/7,3/5,0/2,0/0,1,4,5,2,1,1,0,0,34,8
Canada,Ecuador,79,33,1606,7,Hannah Riddick,10:09,6,3/6,3/6,0/0,0/0,2,1,3,0,0,1,1,0,16,6
Canada,Ecuador,79,33,1606,8,Avianna Thompson,20:19,10,4/6,3/4,1/2,1/4,1,5,6,3,0,2,1,0,24,13
Canada,Ecuador,79,33,1606,9,Tara Wallack,15:17,5,1/3,1/3,0/0,3/7,1,4,5,1,1,3,1,0,23,3
Canada,Ecuador,79,33,1606,10,Isabelle Forsyth,16:26,5,2/7,2/3,0/4,1/2,2,5,7,1,0,0,0,0,10,7
Canada,Ecuador,79,33,1606,11,Lauren Audino,13:36,4,1/2,1/2,0/0,2/2,3,2,5,0,1,1,1,0,16,8
Canada,Ecuador,79,33,1606,12,Isaline Alexander,16:21,8,3/6,3/6,0/0,2/6,2,8,10,1,1,0,1,0,26,13
Canada,Ecuador,79,33,1606,13,Izabella Zingaro,11:51,8,2/5,2/5,0/0,4/5,2,2,4,1,0,0,0,0,19,9
Canada,Ecuador,79,33,1606,14,Fatima Diakhaté,10:45,6,3/6,3/6,0/0,0/2,3,0,3,1,0,0,0,0,13,5
Canada,Ecuador,79,33,1606,15,Teah Stupar,23:15,11,4/9,4/9,0/0,3/4,4,3,7,1,2,2,0,1,14,12
Brazil,Puerto Rico,62,57,1606,4,Raiane Dias,26:39,9,2/3,2/2,0/1,5/8,0,6,6,2,0,8,2,1,20,8
Brazil,Puerto Rico,62,57,1606,5,Ana Oliveira,07:46,0,0/3,0/2,0/1,0/0,0,1,1,0,2,4,0,1,-5,-5
Brazil,Puerto Rico,62,57,1606,6,Mariana Medeiros,00:59,0,0/0,0/0,0/0,0/0,0,0,0,0,0,1,0,0,-2,-1
Brazil,Puerto Rico,62,57,1606,7,Anna Rodrigues,29:57,16,6/12,3/6,3/6,1/5,0,5,5,2,4,4,1,0,19,10
Brazil,Puerto Rico,62,57,1606,8,Giovanna Juzzo,04:56,0,0/0,0/0,0/0,0/0,1,0,1,0,0,0,0,0,-2,1
Brazil,Puerto Rico,62,57,1606,9,Stephany Gonçalves,10:15,0,0/0,0/0,0/0,0/3,1,0,1,1,0,2,0,0,-9,-3
Brazil,Puerto Rico,62,57,1606,10,Vitoria Carvalho,28:55,8,3/8,3/8,0/0,2/6,3,4,7,0,2,2,2,0,14,6
Brazil,Puerto Rico,62,57,1606,11,Brenda Bleidao,29:45,20,6/14,6/13,0/1,8/11,6,3,9,3,1,4,2,0,14,19
Brazil,Puerto Rico,62,57,1606,15,Maristela Sena,00:21,0,0/0,0/0,0/0,0/0,0,0,0,0,0,1,0,0,-4,-1
Brazil,Puerto Rico,62,57,1606,18,Eduarda Reolon,14:18,2,1/4,1/2,0/2,0/0,0,2,2,0,1,2,1,0,-18,0
Brazil,Puerto Rico,62,57,1606,19,Rhayssa  Souza,32:10,6,3/9,3/9,0/0,0/0,4,11,15,3,2,6,2,2,7,16
Brazil,Puerto Rico,62,57,1606,32,Wanessa Camargo,13:59,1,0/0,0/0,0/0,1/2,0,4,4,0,2,1,1,0,-9,4
Puerto Rico,Brazil,57,62,1606,1,Betzalys Delgado,18:11,8,4/11,4/7,0/4,0/0,1,2,3,3,1,1,4,1,1,11
Puerto Rico,Brazil,57,62,1606,3,Lianmarie Aviles,09:28,2,1/6,1/5,0/1,0/0,0,2,2,1,2,1,1,0,8,0
Puerto Rico,Brazil,57,62,1606,4,Kayla Perez,05:04,0,0/3,0/3,0/0,0/0,0,0,0,0,0,1,0,0,-9,-4
Puerto Rico,Brazil,57,62,1606,5,Nina De Leon,29:29,17,6/18,5/10,1/8,4/5,0,5,5,3,3,5,3,0,-2,10
Puerto Rico,Brazil,57,62,1606,7,Jullie Ruiz,16:21,8,3/9,2/6,1/3,1/3,1,1,2,1,4,2,7,0,12,8
Puerto Rico,Brazil,57,62,1606,8,Silkiari Vazquez,21:39,7,3/13,2/9,1/4,0/0,1,1,2,1,3,7,1,0,-9,-6
Puerto Rico,Brazil,57,62,1606,10,Paloma Garcia,13:50,0,0/3,0/3,0/0,0/0,0,2,2,2,4,2,2,0,-5,1
Puerto Rico,Brazil,57,62,1606,11,Khiara Lamberty,02:51,0,0/1,0/1,0/0,0/0,0,1,1,1,0,0,1,0,1,2
