country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Belarus,Hungary,50,82,0308,4,Iryna Durmanava,17:40,2,1/8,1/6,0/2,0/0,1,2,3,1,2,3,1,0,-4,-3
Belarus,Hungary,50,82,0308,7,Katsiaryna Yalchyk,09:34,0,0/3,0/0,0/3,0/0,0,0,0,2,3,1,1,0,-7,-1
Belarus,Hungary,50,82,0308,8,Sabira Ahayeva,10:30,3,1/2,0/1,1/1,0/0,0,0,0,0,0,2,0,0,-6,0
Belarus,Hungary,50,82,0308,9,Darya Siamiletnikava,08:34,3,1/3,1/3,0/0,1/2,2,2,4,1,0,0,1,0,-8,6
Belarus,Hungary,50,82,0308,10,Maryia Kryzhanouskaya,21:24,4,2/6,2/6,0/0,0/0,1,2,3,3,2,4,1,0,-14,3
Belarus,Hungary,50,82,0308,11,Katsiaryna Karpuk,14:09,4,2/5,2/5,0/0,0/0,2,3,5,1,0,1,1,0,-13,7
Belarus,Hungary,50,82,0308,12,Aryna Masko,35:44,17,4/9,2/5,2/4,7/8,1,4,5,4,1,3,2,0,-31,19
Belarus,Hungary,50,82,0308,13,Aliaksandra Shauchenka,31:57,4,1/6,1/4,0/2,2/2,2,2,4,1,4,3,3,1,-30,5
Belarus,Hungary,50,82,0308,14,Daryna Bachkarova,23:51,9,3/11,3/10,0/1,3/4,0,3,3,0,1,0,0,2,-20,5
Belarus,Hungary,50,82,0308,15,Tatsiana Mikhnevich,20:24,4,2/4,2/3,0/1,0/0,0,0,0,1,0,3,0,0,-23,0
Belarus,Hungary,50,82,0308,16,Aliaksandra Petushkova,02:18,0,0/0,0/0,0/0,0/0,0,0,0,0,0,2,0,0,-5,-2
Belarus,Hungary,50,82,0308,33,Iryna Hryhoryeva,03:56,0,0/1,0/1,0/0,0/0,1,2,3,1,0,0,0,0,1,3
Hungary,Belarus,82,50,0308,3,Petra Pusztai,22:42,14,7/13,7/12,0/1,0/0,1,1,2,5,1,4,1,0,23,12
Hungary,Belarus,82,50,0308,4,Dalma Czukor,16:41,15,6/8,5/7,1/1,2/3,5,2,7,5,0,0,4,0,18,28
Hungary,Belarus,82,50,0308,6,Kitti Szeli,20:34,5,1/3,1/3,0/0,3/4,0,4,4,0,3,0,0,0,7,6
