country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Argentina,Colombia,62,44,3010,4,Natassja Kolff,02:12,0,0/0,0/0,0/0,0/0,0,0,0,0,0,1,0,0,0,-1
Argentina,Colombia,62,44,3010,5,Giuliana Baccareli,10:55,4,0/2,0/1,0/1,4/4,0,1,1,1,0,5,1,0,-2,0
Argentina,Colombia,62,44,3010,6,Nicole Caumo,28:46,14,4/9,3/6,1/3,5/7,1,8,9,0,0,10,2,2,4,10
Argentina,Colombia,62,44,3010,7,Georgina Buzzetti,07:31,0,0/1,0/1,0/0,0/0,0,3,3,0,2,3,0,1,6,0
Argentina,Colombia,62,44,3010,8,Milagros Maza,30:36,3,1/6,1/6,0/0,1/2,0,7,7,1,1,8,4,0,20,1
Argentina,Colombia,62,44,3010,9,Kiana Ferreyra,14:13,9,3/6,3/4,0/2,3/4,1,0,1,0,1,4,4,0,14,6
Argentina,Colombia,62,44,3010,10,Federica Del Bosco,31:16,20,8/15,8/15,0/0,4/6,6,8,14,6,2,4,1,1,13,29
Argentina,Colombia,62,44,3010,11,Agustina Marin,05:46,0,0/0,0/0,0/0,0/0,0,0,0,1,0,0,0,0,-1,1
Argentina,Colombia,62,44,3010,12,Paloma Alevatto,16:04,4,2/6,2/6,0/0,0/0,1,3,4,0,2,1,1,1,6,5
Argentina,Colombia,62,44,3010,13,Lucia Sampietro,15:30,0,0/1,0/1,0/0,0/0,1,2,3,0,0,2,1,0,7,1
Argentina,Colombia,62,44,3010,14,Natalia Tondi,17:51,6,3/4,3/4,0/0,0/1,1,7,8,3,3,3,1,0,18,13
Argentina,Colombia,62,44,3010,15,Julieta Tubio,19:15,2,0/2,0/2,0/0,2/6,0,7,7,0,3,3,2,1,5,3
Chile,Uruguay,73,56,3010,4,Barbara Torres,32:03,11,3/13,1/2,2/11,3/4,0,2,2,6,2,1,0,0,20,7
Chile,Uruguay,73,56,3010,5,Gabriela Ahumada,32:16,2,1/6,1/4,0/2,0/0,4,8,12,0,2,1,1,0,15,9
Chile,Uruguay,73,56,3010,6,Fernanda Ovalle,32:40,11,4/9,2/5,2/4,1/2,7,7,14,4,3,6,3,2,19,22
Chile,Uruguay,73,56,3010,7,Catalina Valenzuela,31:18,15,6/16,4/6,2/10,1/3,0,3,3,6,3,6,4,0,34,10
Chile,Uruguay,73,56,3010,8,Catalina Ramirez,01:14,0,0/0,0/0,0/0,0/0,0,0,0,0,1,1,0,0,1,-1
