country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Mali,Australia,23,91,2207,9,Hawa Bagayoko,03:00,0,0/1,0/1,0/0,0/0,0,0,0,0,0,0,0,0,-3,-1
Mali,Australia,23,91,2207,10,Korotoumou Konaré,12:42,0,0/5,0/2,0/3,0/0,0,0,0,0,3,2,0,0,-22,-7
Mali,Australia,23,91,2207,11,Kadidia Maiga,17:32,0,0/2,0/0,0/2,0/0,0,1,1,0,1,0,2,0,-32,1
Mali,Australia,23,91,2207,12,Assitan Traore,21:14,3,1/3,1/3,0/0,1/2,2,4,6,0,4,6,0,1,-29,1
Mali,Australia,23,91,2207,13,Mariam Alou Coulibaly,21:50,13,6/11,6/11,0/0,1/4,2,1,3,0,5,3,2,1,-30,8
Mali,Australia,23,91,2207,14,Awa Keita,20:27,0,0/2,0/1,0/1,0/0,0,1,1,0,3,3,3,1,-30,0
Mali,Australia,23,91,2207,15,Christinie Dakouo,15:59,3,1/3,1/3,0/0,1/2,1,2,3,0,5,3,0,0,-38,0
Mali,Australia,23,91,2207,16,Adama Coulibaly,15:08,2,1/6,1/6,0/0,0/0,2,1,3,1,1,2,1,0,-30,0
Australia,Mali,91,23,2207,4,Tahlia Tupaea,21:08,3,1/2,0/0,1/2,0/0,1,5,6,4,0,1,0,0,43,11
Australia,Mali,91,23,2207,5,Kristy Wallace,14:49,7,2/5,0/1,2/4,1/2,0,5,5,7,0,2,2,0,40,15
Australia,Mali,91,23,2207,6,Mikayla Pirini,19:44,0,0/3,0/1,0/2,0/0,2,2,4,6,2,3,0,0,24,4
Australia,Mali,91,23,2207,7,Alexandra Sharp,13:43,10,4/5,2/3,2/2,0/1,3,0,3,1,0,2,1,0,20,11
Australia,Mali,91,23,2207,8,Montana Farrah-Seaton,17:03,3,1/8,0/2,1/6,0/0,0,1,1,3,1,2,0,0,21,-2
Australia,Mali,91,23,2207,9,Alicia Froling,21:33,19,7/7,7/7,0/0,5/8,2,3,5,2,2,0,1,0,44,24
Australia,Mali,91,23,2207,10,Eziyoda Magbegor,11:34,3,0/3,0/3,0/0,3/6,0,3,3,0,4,1,2,1,14,2
Australia,Mali,91,23,2207,11,Lauren Scherf,11:50,2,1/2,1/2,0/0,0/0,1,3,4,0,0,3,1,0,10,3
Australia,Mali,91,23,2207,12,Alanna Smith,21:33,16,6/7,5/6,1/1,3/7,3,6,9,2,2,3,1,4,41,24
Australia,Mali,91,23,2207,13,Chantel-Anais Horvat,14:36,14,4/10,3/7,1/3,5/6,1,0,1,1,1,1,3,2,21,13
Australia,Mali,91,23,2207,14,Madeleine Dennis,17:16,8,3/6,2/3,1/3,1/2,1,4,5,0,2,4,2,0,31,7
Australia,Mali,91,23,2207,15,Anneli Maley,15:05,6,1/4,0/3,1/1,3/3,1,4,5,2,0,0,3,1,31,14
Belgium,Korea,70,37,2207,4,Elise Ramette,13:44,4,1/2,0/1,1/1,1/2,0,0,0,1,3,3,0,0,8,0
Belgium,Korea,70,37,2207,5,Julie Allemand,32:04,11,5/11,5/7,0/4,1/1,1,3,4,6,2,1,4,2,30,20
Belgium,Korea,70,37,2207,6,Sofia Ouahabi,19:12,9,4/11,3/7,1/4,0/3,4,2,6,1,1,2,0,0,24,4
Belgium,Korea,70,37,2207,7,Eva Devliegher,15:42,13,5/9,2/2,3/7,0/0,1,3,4,2,1,2,1,0,7,14
Belgium,Korea,70,37,2207,8,Yelena Mense,08:54,6,3/3,3/3,0/0,0/0,2,5,7,0,2,0,0,0,15,13
Belgium,Korea,70,37,2207,9,Laure Resimont,12:17,4,2/5,2/2,0/3,0/0,0,0,0,1,1,1,1,0,11,2
Belgium,Korea,70,37,2207,10,Eline Maesschalck Cornand,05:02,0,0/2,0/0,0/2,0/0,0,1,1,0,0,0,0,0,-2,-1
Belgium,Korea,70,37,2207,11,Fauve Bastiaenssen,24:05,4,1/5,1/3,0/2,2/2,1,2,3,2,0,1,0,0,15,4
Belgium,Korea,70,37,2207,12,Heleen Nauwelaers,24:24,3,1/7,0/4,1/3,0/0,0,8,8,0,1,2,0,0,27,3
Belgium,Korea,70,37,2207,13,Laura Henket,15:29,8,2/3,2/3,0/0,4/5,6,1,7,1,1,1,0,0,11,13
Belgium,Korea,70,37,2207,14,Laeticia Mpoyi Wa Mpoyi,10:05,2,1/1,1/1,0/0,0/0,2,3,5,1,0,1,0,0,-1,7
Belgium,Korea,70,37,2207,15,Serena-Lynn Geldof,18:57,6,3/12,3/12,0/0,0/0,4,3,7,0,0,0,0,3,20,7
Korea,Belgium,37,70,2207,4,Juyeon Lee,33:35,6,2/14,2/12,0/2,2/2,2,2,4,1,2,2,3,0,-15,0
Korea,Belgium,37,70,2207,6,Hyeona Kim,21:32,5,2/3,1/2,1/1,0/0,1,2,3,0,1,2,0,0,-25,5
Korea,Belgium,37,70,2207,7,Jiwoo Lee,26:19,8,3/10,1/4,2/6,0/0,2,0,2,0,3,1,0,0,-26,2
Korea,Belgium,37,70,2207,8,Jihyun Cha,32:11,3,0/7,0/5,0/2,3/4,1,1,2,2,3,3,0,1,-26,-3
Korea,Belgium,37,70,2207,10,Dayeong Eom,11:45,1,0/2,0/0,0/2,1/2,1,1,2,0,1,0,0,0,-12,0
Korea,Belgium,37,70,2207,11,Haeun Lee,13:07,2,1/2,1/2,0/0,0/0,0,1,1,0,0,1,0,0,-13,1
Korea,Belgium,37,70,2207,12,Hyeonyi Yu,06:29,2,1/3,1/2,0/1,0/0,0,1,1,0,0,0,0,0,-13,1
Korea,Belgium,37,70,2207,13,An Jin,28:50,8,4/11,4/11,0/0,0/0,1,6,7,2,0,1,0,1,-16,10
Korea,Belgium,37,70,2207,15,Yeonhee Kim,26:07,2,1/10,1/10,0/0,0/0,1,7,8,1,3,2,1,0,-19,1
Argentina,United States of America,39,89,2207,4,Victoria Llorente,19:20,7,3/9,3/6,0/3,1/2,4,3,7,1,5,1,0,1,-31,8
Argentina,United States of America,39,89,2207,5,Agustina Garcia,32:18,6,2/10,2/8,0/2,2/2,0,1,1,2,3,4,0,0,-35,-3
Argentina,United States of America,39,89,2207,6,Emilia Giustiniani,15:44,0,0/5,0/2,0/3,0/0,1,2,3,2,2,5,1,0,-18,-4
Argentina,United States of America,39,89,2207,7,Agustina Leiva Roux,28:21,6,3/4,3/4,0/0,0/0,2,6,8,1,2,3,1,1,-43,13
Argentina,United States of America,39,89,2207,8,Sabrina Rodighero,15:38,3,1/6,0/3,1/3,0/0,0,0,0,0,0,4,2,0,-32,-4
Argentina,United States of America,39,89,2207,9,Magali Armesto,27:35,0,0/6,0/2,0/4,0/0,0,1,1,1,4,6,1,0,-40,-9
Argentina,United States of America,39,89,2207,10,Maria Sol Laviero,04:16,0,0/0,0/0,0/0,0/0,0,0,0,1,0,0,0,0,-4,1
Argentina,United States of America,39,89,2207,11,Aldana Belen Arture,02:07,0,0/1,0/0,0/1,0/0,0,0,0,0,0,0,0,0,0,-1
Argentina,United States of America,39,89,2207,12,Julieta Albuerne,11:11,7,2/9,0/4,2/5,1/2,0,0,0,0,0,1,1,0,-10,-1
Argentina,United States of America,39,89,2207,13,Luciana Delabarba,06:13,3,1/1,0/0,1/1,0/0,0,1,1,2,1,1,0,0,-1,5
Argentina,United States of America,39,89,2207,14,Victoria Lara,07:58,4,2/2,2/2,0/0,0/0,1,1,2,0,0,0,0,0,-6,6
Argentina,United States of America,39,89,2207,15,Julieta Mungo,29:12,3,1/8,1/5,0/3,1/2,1,6,7,0,4,1,0,2,-30,3
United States of America,Argentina,89,39,2207,4,Crystal Dangerfield,14:18,6,3/4,3/4,0/0,0/0,0,2,2,1,0,0,4,0,16,12
United States of America,Argentina,89,39,2207,5,Gabi Ortiz,25:40,0,0/6,0/2,0/4,0/0,3,3,6,6,1,3,5,1,34,9
United States of America,Argentina,89,39,2207,6,Ali Patberg,18:04,11,4/7,4/7,0/0,3/3,4,5,9,3,0,0,1,0,14,21
United States of America,Argentina,89,39,2207,7,Shakayla Thomas,13:02,4,1/3,1/3,0/0,2/2,2,0,2,1,0,0,0,0,17,5
United States of America,Argentina,89,39,2207,8,Azura Stevens,14:36,11,4/8,4/8,0/0,3/3,1,1,2,0,1,2,1,1,21,9
United States of America,Argentina,89,39,2207,9,Chatrice White,12:51,6,3/8,3/7,0/1,0/0,2,3,5,1,3,1,0,0,12,6
United States of America,Argentina,89,39,2207,10,Napheesa Collier,24:57,11,5/8,4/7,1/1,0/0,0,9,9,1,1,0,4,1,43,23
United States of America,Argentina,89,39,2207,11,Mariya Moore,20:13,11,3/5,0/1,3/4,2/2,2,1,3,6,3,2,1,0,34,17
United States of America,Argentina,89,39,2207,12,Destiny Slocum,15:02,0,0/3,0/1,0/2,0/0,1,0,1,1,0,1,2,0,7,0
United States of America,Argentina,89,39,2207,13,Lauren Cox,12:20,5,2/8,2/8,0/0,1/2,4,2,6,0,3,1,0,1,12,4
United States of America,Argentina,89,39,2207,14,A'Ja Wilson,18:46,18,7/10,7/9,0/1,4/6,0,4,4,4,1,0,3,2,32,26
United States of America,Argentina,89,39,2207,15,Kristine Anigwe,10:04,6,1/5,1/5,0/0,4/4,1,1,2,0,2,3,0,0,8,1
Russia,Egypt,94,37,2207,4,Raisa Musina,21:34,10,4/8,4/7,0/1,2/2,7,10,17,2,4,2,2,1,39,26
Russia,Egypt,94,37,2207,5,Maria Vadeeva,21:56,23,10/13,9/12,1/1,2/3,9,12,21,3,1,3,1,4,34,45
Russia,Egypt,94,37,2207,6,Kamilla Ogun,10:20,4,2/6,2/4,0/2,0/0,0,1,1,1,2,2,0,1,13,1
