country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Italy,Serbia,81,86,1706,41,Elisa Penna,14:37,3,1/2,0/0,1/2,0/0,0,0,0,1,1,2,0,0,2,1
Slovenia,Turkey,72,47,1706,1,Eva Lisec,29:49,17,6/13,5/8,1/5,4/5,2,6,8,1,3,0,4,1,29,23
Slovenia,Turkey,72,47,1706,3,Teja Oblak,29:23,14,7/12,7/11,0/1,0/0,2,1,3,6,3,2,3,0,17,19
Slovenia,Turkey,72,47,1706,6,Aleksandra Kroselj,15:34,4,2/4,2/3,0/1,0/0,0,1,1,2,2,1,0,0,1,4
Slovenia,Turkey,72,47,1706,7,Marusa Senicar,05:55,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,1,0,-3,1
Slovenia,Turkey,72,47,1706,8,Teja Gorsic,05:26,0,0/3,0/2,0/1,0/0,0,2,2,1,1,0,0,0,2,0
Slovenia,Turkey,72,47,1706,9,Annamaria Prezelj,23:18,6,2/6,2/3,0/3,2/2,1,2,3,1,4,1,1,0,18,6
Slovenia,Turkey,72,47,1706,10,Tina Jakovina,08:48,3,1/2,0/0,1/2,0/0,0,2,2,1,2,1,0,0,3,4
Slovenia,Turkey,72,47,1706,13,Zala Friskovec,26:24,12,5/8,3/3,2/5,0/0,0,6,6,1,2,0,1,0,29,17
Slovenia,Turkey,72,47,1706,20,Lea Debeljak,01:08,0,0/0,0/0,0/0,0/0,0,1,1,0,0,0,0,0,-1,1
Slovenia,Turkey,72,47,1706,30,Shante Evans,26:37,8,4/8,4/7,0/1,0/0,3,6,9,3,2,1,0,0,15,15
Slovenia,Turkey,72,47,1706,31,Tina Trebec,07:32,2,1/3,1/3,0/0,0/0,0,0,0,0,2,1,0,0,3,-1
Slovenia,Turkey,72,47,1706,92,Nika Baric,20:06,6,2/6,0/0,2/6,0/0,0,1,1,2,1,1,1,0,12,5
Turkey,Slovenia,47,72,1706,1,Pelin Bilgic,28:41,7,3/9,2/5,1/4,0/0,2,2,4,2,2,2,1,0,-21,6
Turkey,Slovenia,47,72,1706,2,Sevgi Uzun,05:37,0,0/1,0/0,0/1,0/0,0,0,0,0,1,0,0,0,-3,-1
Turkey,Slovenia,47,72,1706,4,Olcay Cakir,27:35,8,3/4,3/4,0/0,2/2,0,3,3,4,2,5,0,1,-23,10
Turkey,Slovenia,47,72,1706,5,Melis Gulcan,19:11,2,1/4,1/3,0/1,0/0,0,1,1,0,2,2,2,0,-7,0
Turkey,Slovenia,47,72,1706,9,Bahar Caglar Okten,20:13,5,1/5,1/5,0/0,3/4,0,5,5,1,2,0,0,0,-2,6
Turkey,Slovenia,47,72,1706,12,Tugce Canitez,19:47,5,2/6,1/3,1/3,0/2,2,3,5,1,2,1,0,0,-23,4
Turkey,Slovenia,47,72,1706,13,Quanitra Hollingsworth,31:40,16,6/12,6/12,0/0,4/7,1,4,5,0,1,3,0,0,-14,9
Turkey,Slovenia,47,72,1706,23,Meltem Yildizhan,19:41,2,1/5,1/2,0/3,0/0,2,2,4,1,1,1,0,0,-19,2
Turkey,Slovenia,47,72,1706,24,Inci Guclu,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Turkey,Slovenia,47,72,1706,25,Şerife Alperi Onar,10:05,0,0/2,0/1,0/1,0/0,0,0,0,1,0,0,0,0,6,-1
Turkey,Slovenia,47,72,1706,33,Esra Ural Topuz,08:20,2,1/2,1/2,0/0,0/0,0,0,0,0,2,0,1,0,-11,2
Turkey,Slovenia,47,72,1706,99,Goksen Fitik,09:10,0,0/1,0/0,0/1,0/2,0,0,0,0,1,1,1,0,-8,-3
France,Croatia,105,63,1706,0,Olivia Epoupa,01:57,0,0/0,0/0,0/0,0/0,0,1,1,0,0,2,0,0,1,-1
France,Croatia,105,63,1706,5,Endene Miyem,17:21,18,7/9,6/8,1/1,3/4,3,1,4,1,3,2,0,0,23,18
France,Croatia,105,63,1706,6,Alexia Chartereau,21:04,15,6/8,3/4,3/4,0/0,1,6,7,0,2,1,0,1,18,20
France,Croatia,105,63,1706,7,Sandrine Gruda,17:58,16,8/12,8/12,0/0,0/0,0,1,1,3,1,2,0,0,27,14
France,Croatia,105,63,1706,8,Helena Ciak,15:30,6,2/5,2/5,0/0,2/4,2,3,5,0,1,1,0,1,7,6
France,Croatia,105,63,1706,10,Sarah Michel,16:59,8,4/5,4/4,0/1,0/0,0,4,4,6,2,0,2,0,19,19
France,Croatia,105,63,1706,11,Valeriane Vukosavljevic,21:44,8,4/9,4/6,0/3,0/0,3,9,12,0,2,2,3,0,25,16
France,Croatia,105,63,1706,12,Iliana Rupert,08:07,0,0/3,0/3,0/0,0/0,1,1,2,2,1,0,0,0,9,1
France,Croatia,105,63,1706,15,Gabby Williams,21:00,8,2/6,2/5,0/1,4/4,1,6,7,1,2,1,2,1,20,14
France,Croatia,105,63,1706,23,Marine Johannes,19:34,15,5/11,1/3,4/8,1/2,0,2,2,4,3,1,0,0,22,13
France,Croatia,105,63,1706,39,Alix Duchet,21:35,2,1/4,1/1,0/3,0/0,0,5,5,6,0,1,1,0,19,10
France,Croatia,105,63,1706,93,Diandra Tchatchouang,17:11,9,4/4,3/3,1/1,0/0,0,0,0,0,2,0,1,1,20,11
Croatia,France,63,105,1706,1,Karla Erjavec,07:12,5,2/4,1/1,1/3,0/0,0,1,1,0,0,1,0,0,-11,3
Croatia,France,63,105,1706,2,Mia Masic,11:40,9,3/6,0/1,3/5,0/0,0,1,1,0,0,0,0,0,-12,7
