country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Lithuania,Spain,36,85,0408,5,Audrone Zdaneviciute,10:00,0,0/3,0/1,0/2,0/0,1,0,1,2,0,3,0,0,-15,-3
Lithuania,Spain,36,85,0408,6,Dovile Jankauskaite,23:22,10,3/7,1/4,2/3,2/4,0,1,1,1,2,4,2,0,-25,4
Lithuania,Spain,36,85,0408,7,Rebeka Kinkeviciute,11:25,0,0/4,0/2,0/2,0/0,0,1,1,0,2,1,0,0,-16,-4
Lithuania,Spain,36,85,0408,8,Justina Miknaite,16:04,1,0/4,0/2,0/2,1/4,1,4,5,1,0,2,1,0,-17,-1
Lithuania,Spain,36,85,0408,9,Dominyka Paliulyte,13:16,1,0/2,0/2,0/0,1/2,0,4,4,2,0,3,1,0,-19,2
Lithuania,Spain,36,85,0408,10,Elze Motekaityte,10:39,2,1/2,1/2,0/0,0/0,0,1,1,0,1,3,0,0,-18,-1
Lithuania,Spain,36,85,0408,11,Brigita Sinickaite,26:43,4,2/9,2/6,0/3,0/0,0,1,1,3,2,5,1,0,-30,-3
Lithuania,Spain,36,85,0408,12,Agnese Garcinskaite,16:33,2,1/4,1/4,0/0,0/0,3,0,3,0,3,1,1,0,-26,2
Lithuania,Spain,36,85,0408,13,Saule Kaupyte,17:28,0,0/1,0/1,0/0,0/0,1,2,3,1,2,4,3,0,-19,2
Lithuania,Spain,36,85,0408,15,Gedvile Savostaite,19:06,8,2/7,0/3,2/4,2/3,1,1,2,0,0,3,0,0,-25,1
Lithuania,Spain,36,85,0408,20,Urte Cizauskaite,11:51,2,1/4,1/4,0/0,0/0,2,1,3,0,0,1,0,2,-12,3
Lithuania,Spain,36,85,0408,55,Simona Visockaite,23:26,6,2/7,2/7,0/0,2/2,3,6,9,0,3,3,1,1,-23,9
Spain,Lithuania,85,36,0408,5,Aitana Vergara,15:21,2,1/6,1/6,0/0,0/0,0,2,2,1,2,1,0,0,15,-1
Spain,Lithuania,85,36,0408,6,Helena Pueyo,21:52,12,5/8,3/4,2/4,0/0,0,2,2,4,0,1,2,0,22,16
Spain,Lithuania,85,36,0408,7,Laura Mendez,20:45,8,3/5,1/3,2/2,0/0,1,1,2,6,0,2,4,0,38,16
Spain,Lithuania,85,36,0408,8,Nora Galve,12:27,2,1/5,1/4,0/1,0/0,1,0,1,1,2,1,2,0,13,1
Spain,Lithuania,85,36,0408,9,Zoe Hernandez,21:12,3,1/5,1/3,0/2,1/2,0,1,1,6,2,2,6,0,20,9
Spain,Lithuania,85,36,0408,10,Julia Maria Rueda Choni,06:43,0,0/1,0/1,0/0,0/0,0,1,1,0,0,0,0,0,8,0
Spain,Lithuania,85,36,0408,12,Nerea Hermosa,12:50,8,4/12,4/12,0/0,0/0,5,2,7,0,5,3,0,1,12,5
Spain,Lithuania,85,36,0408,13,Laia Moya,15:40,8,4/7,4/6,0/1,0/1,0,3,3,1,1,1,0,0,17,7
Spain,Lithuania,85,36,0408,14,Raquel Carrera,15:24,12,5/8,5/8,0/0,2/2,3,4,7,2,2,1,2,3,21,22
Spain,Lithuania,85,36,0408,15,Anna Gamarra,21:20,8,4/6,4/6,0/0,0/0,0,4,4,2,1,1,0,0,24,11
Spain,Lithuania,85,36,0408,16,Marta Garcia,14:56,18,8/9,8/9,0/0,2/3,2,4,6,2,0,1,1,0,23,24
Spain,Lithuania,85,36,0408,17,Julia Soler,21:25,4,2/5,2/3,0/2,0/0,2,1,3,6,0,3,5,2,32,14
Netherlands,Germany,54,79,0408,4,Anouschka Meijer,04:55,0,0/1,0/0,0/1,0/0,0,0,0,0,0,0,0,0,-1,-1
Netherlands,Germany,54,79,0408,5,Shelaney Danique Kopra,08:12,0,0/1,0/0,0/1,0/0,0,1,1,0,0,1,0,0,-13,-1
Netherlands,Germany,54,79,0408,6,Tessa Maria Dubois,14:58,2,0/6,0/3,0/3,2/2,1,0,1,1,2,1,1,0,-4,-2
Netherlands,Germany,54,79,0408,7,Chermensa Djelisa Van La Parra,29:53,13,5/13,2/3,3/10,0/0,0,1,1,3,1,1,3,0,-12,11
Netherlands,Germany,54,79,0408,8,Emy Hayford,19:59,10,5/14,5/10,0/4,0/0,0,2,2,1,4,3,0,0,-13,1
Netherlands,Germany,54,79,0408,9,Lotte Sant,30:10,9,1/6,0/3,1/3,6/6,1,3,4,1,1,5,2,0,-27,6
Netherlands,Germany,54,79,0408,10,Maaike van Zeijl,22:53,3,1/3,1/2,0/1,1/3,0,0,0,1,1,2,1,2,-10,1
Netherlands,Germany,54,79,0408,11,Josefien Cornelissen,09:03,5,2/3,2/3,0/0,1/2,0,1,1,0,1,0,0,0,-9,4
Netherlands,Germany,54,79,0408,12,Jade Blagrove,09:43,2,1/3,1/3,0/0,0/0,1,0,1,0,5,4,2,0,-8,-1
Netherlands,Germany,54,79,0408,13,Maud Huijbens,17:47,4,2/4,2/4,0/0,0/0,4,2,6,0,3,1,3,0,-11,10
Netherlands,Germany,54,79,0408,14,Celine Dupont,09:44,1,0/4,0/1,0/3,1/4,1,2,3,0,0,1,0,0,-3,-4
Netherlands,Germany,54,79,0408,15,Vita Stam,22:37,5,2/5,2/4,0/1,1/2,1,4,5,0,4,2,1,0,-14,5
Germany,Netherlands,79,54,0408,4,Pauline Mayer,14:43,5,2/5,1/3,1/2,0/0,1,0,1,2,1,2,1,0,9,4
Germany,Netherlands,79,54,0408,5,Kim Siebert,03:22,0,0/0,0/0,0/0,0/0,0,1,1,0,1,1,0,0,-3,0
Germany,Netherlands,79,54,0408,7,Leyla Ozturk,03:36,0,0/0,0/0,0/0,0/0,1,1,2,0,0,1,0,1,1,2
Germany,Netherlands,79,54,0408,9,Julia Forner,26:32,10,3/7,1/4,2/3,2/2,0,1,1,4,3,1,1,0,16,11
Germany,Netherlands,79,54,0408,10,Marla Ruf,01:52,0,0/0,0/0,0/0,0/0,1,0,1,0,1,0,0,0,3,1
Germany,Netherlands,79,54,0408,11,Emily Bessoir,26:47,10,1/11,1/9,0/2,8/10,2,6,8,5,2,2,1,2,16,12
Germany,Netherlands,79,54,0408,12,Nina Rosemeyer,30:07,15,7/12,7/11,0/1,1/1,1,1,2,3,2,2,2,1,14,16
Germany,Netherlands,79,54,0408,13,Stella Marie Reichert,22:05,9,4/7,4/6,0/1,1/2,3,6,9,1,3,4,1,0,12,12
Germany,Netherlands,79,54,0408,14,Magdalena Landwehr,21:30,12,3/8,2/6,1/2,5/6,3,4,7,1,3,1,2,1,25,16
Germany,Netherlands,79,54,0408,17,Elea Gaba,21:22,7,3/8,3/8,0/0,1/2,1,3,4,0,0,3,0,0,17,2
Germany,Netherlands,79,54,0408,18,Meret Kleine-Beek,26:30,11,4/6,3/5,1/1,2/2,1,0,1,4,0,2,0,1,15,13
Germany,Netherlands,79,54,0408,19,Katharina Schenk,01:27,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Poland,Russia,44,65,0408,1,Weronika Hipp,31:07,7,2/13,1/6,1/7,2/3,1,1,2,4,0,3,1,0,-14,-1
Poland,Russia,44,65,0408,2,Wiktoria Kuczynska,18:48,6,1/5,0/2,1/3,3/4,0,2,2,1,1,1,1,0,-6,4
Poland,Russia,44,65,0408,3,Alicja Rogozinska,18:44,2,1/9,1/6,0/3,0/0,2,0,2,0,3,3,1,0,-1,-6
