country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Tahiti,Samoa,76,53,2111,7,Hinearii Eketa Teriierooiterai,11:31,0,0/2,0/1,0/1,0/2,0,1,1,1,2,0,1,0,-4,-1
Tahiti,Samoa,76,53,2111,8,Vainui Tehoiri,06:07,0,0/2,0/1,0/1,0/0,0,0,0,0,3,0,0,0,-3,-2
Tahiti,Samoa,76,53,2111,9,Mahine Kamakea Tepu,22:40,10,3/9,1/2,2/7,2/2,0,1,1,3,3,0,1,0,16,9
Tahiti,Samoa,76,53,2111,11,Oceane Julie Poerani Lefranc,40:00,19,7/17,7/15,0/2,5/10,8,8,16,3,1,6,4,0,23,21
Tahiti,Samoa,76,53,2111,12,Maea Lextreyt,33:37,7,2/11,1/7,1/4,2/2,1,2,3,6,1,0,1,0,25,8
Tahiti,Samoa,76,53,2111,13,Pitoura Lucie Matohil,20:04,5,2/5,2/5,0/0,1/4,4,6,10,0,4,0,0,0,20,9
Tahiti,Samoa,76,53,2111,14,Rosa Manaha Tuhiata Mariteragi,15:31,7,2/4,1/1,1/3,2/2,1,3,4,0,4,1,0,0,13,8
Tahiti,Samoa,76,53,2111,15,Temana Jamie Desirie Teururai,11:15,2,1/3,1/3,0/0,0/0,1,2,3,0,2,3,0,0,1,0
Samoa,Tahiti,53,76,2111,1,Valina Leota,07:31,2,1/1,1/1,0/0,0/2,0,2,2,0,1,1,1,0,0,2
Samoa,Tahiti,53,76,2111,2,Aufui Sau,26:31,15,5/10,5/10,0/0,5/8,1,7,8,1,2,1,1,1,-15,17
Samoa,Tahiti,53,76,2111,3,Fialauia Faifeau Hunt,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Samoa,Tahiti,53,76,2111,4,Taylor Tamapua Muaulu,22:46,5,1/3,0/1,1/2,2/2,0,3,3,4,0,2,0,0,-6,8
Samoa,Tahiti,53,76,2111,5,Cherish  Manumaleuga,24:45,3,1/7,1/5,0/2,1/2,1,1,2,3,2,3,1,0,-13,-1
Samoa,Tahiti,53,76,2111,6,Linda Junita Kelsall,21:06,4,2/5,2/3,0/2,0/4,1,1,2,0,3,6,2,0,-18,-5
Samoa,Tahiti,53,76,2111,7,Cellestin  Pauga,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Samoa,Tahiti,53,76,2111,8,Theresa Maelegameli Vaaelua,27:10,7,2/11,2/10,0/1,3/6,1,4,5,0,2,1,1,0,-22,0
Samoa,Tahiti,53,76,2111,9,Courtenay Paige Le'Au'Anae,24:10,4,2/6,2/4,0/2,0/0,0,3,3,1,4,5,0,0,-15,-1
Samoa,Tahiti,53,76,2111,10,Frances Teneva Ropati,26:01,12,5/7,5/7,0/0,2/5,1,5,6,0,2,1,4,0,-11,16
Samoa,Tahiti,53,76,2111,11,Moana Melody Paulo,04:04,1,0/1,0/1,0/0,1/2,0,1,1,0,1,0,0,0,-1,0
Samoa,Tahiti,53,76,2111,12,Theresa Tina Avilla Vaoliko,15:52,0,0/1,0/1,0/0,0/2,0,2,2,1,3,0,0,0,-14,0
Cook Islands,American Samoa,92,44,2311,2,Janet  Main,21:10,4,2/8,2/8,0/0,0/0,1,0,1,3,1,0,1,0,25,3
Cook Islands,American Samoa,92,44,2311,5,Jasmine  Davis,24:58,5,2/8,2/6,0/2,1/3,1,5,6,4,2,2,6,0,26,11
Cook Islands,American Samoa,92,44,2311,6,Terai Sadler,24:01,11,5/7,5/7,0/0,1/2,5,2,7,5,2,1,2,0,26,21
Cook Islands,American Samoa,92,44,2311,7,Adoniah Lewis,15:49,14,6/12,4/5,2/7,0/0,1,0,1,1,1,2,1,0,33,9
Cook Islands,American Samoa,92,44,2311,9,Keziah-Brittany  Lewis,20:08,22,8/14,7/10,1/4,5/6,2,4,6,1,3,3,6,0,18,25
Cook Islands,American Samoa,92,44,2311,10,Kayla Kiriau,21:40,13,4/12,3/8,1/4,4/4,0,1,1,4,0,2,3,0,22,11
Cook Islands,American Samoa,92,44,2311,11,Dalen  Pilitati,21:18,14,5/14,2/8,3/6,1/2,2,0,2,0,0,4,3,0,27,5
Cook Islands,American Samoa,92,44,2311,13,Richelle  Gempton,15:50,3,0/1,0/1,0/0,3/6,2,3,5,0,1,0,3,0,19,7
Cook Islands,American Samoa,92,44,2311,14,Maine  Mareko,10:07,0,0/0,0/0,0/0,0/2,2,0,2,0,2,1,1,0,14,0
Cook Islands,American Samoa,92,44,2311,18,Jordina  Katu,24:52,6,3/7,3/7,0/0,0/0,3,4,7,1,1,0,4,0,30,14
American Samoa,Cook Islands,44,92,2311,4,Cecilia Rosary Taufa'asau,20:10,0,0/2,0/2,0/0,0/0,0,1,1,0,2,4,0,0,-18,-5
American Samoa,Cook Islands,44,92,2311,5,Racquelle Monsua Toleafoa,30:54,20,8/10,8/10,0/0,4/8,2,8,10,1,3,3,0,0,-32,22
American Samoa,Cook Islands,44,92,2311,6,Olivialynn Meliame- Vaiomounga,29:18,3,1/16,0/11,1/5,0/0,2,5,7,1,3,6,1,0,-36,-9
American Samoa,Cook Islands,44,92,2311,10,Christina Aileen Mendoza,18:14,2,1/4,1/4,0/0,0/0,1,2,3,0,0,5,1,0,-25,-2
American Samoa,Cook Islands,44,92,2311,11,Esther Sasaouaga Taufa'asau,08:09,2,1/1,1/1,0/0,0/2,0,2,2,0,0,0,0,0,-10,2
American Samoa,Cook Islands,44,92,2311,12,Mariah Litara Masoli,36:51,13,5/10,2/5,3/5,0/0,0,4,4,3,2,9,3,0,-45,9
American Samoa,Cook Islands,44,92,2311,23,Rhozlyn June Dee Toleafoa,20:45,4,2/5,2/4,0/1,0/0,0,2,2,1,4,6,2,0,-29,0
American Samoa,Cook Islands,44,92,2311,33,Raelisa Ivalua Airah  Toleafoa,35:37,0,0/1,0/1,0/0,0/6,2,5,7,2,3,4,0,0,-45,-2
Tahiti,Samoa,91,75,2311,5,Aeata Oceana Hana Tepu,27:43,16,6/16,6/11,0/5,4/6,1,2,3,8,4,2,3,0,8,16
Tahiti,Samoa,91,75,2311,6,Hereiti Salem,13:15,4,1/4,1/2,0/2,2/2,1,1,2,2,3,0,1,0,12,6
Tahiti,Samoa,91,75,2311,7,Hinearii Eketa Teriierooiterai,06:47,0,0/2,0/1,0/1,0/0,1,0,1,0,0,0,1,0,5,0
Tahiti,Samoa,91,75,2311,8,Vainui Tehoiri,11:50,4,2/3,2/2,0/1,0/0,0,4,4,0,2,1,0,0,7,6
Tahiti,Samoa,91,75,2311,9,Mahine Kamakea Tepu,14:52,9,3/6,0/1,3/5,0/0,0,2,2,0,4,0,0,0,-4,8
