country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Belarus,Italy,60,80,1606,6,Katsiaryna Snytsina,33:01,13,4/12,4/7,0/5,5/6,1,2,3,3,5,3,2,1,-13,10
Belarus,Italy,60,80,1606,7,Yuliya Rytsikava,20:58,5,2/5,1/3,1/2,0/0,2,1,3,0,2,1,0,0,-6,4
Belarus,Italy,60,80,1606,8,Tatsiana Likhtarovich,26:13,7,1/6,1/3,0/3,5/5,1,2,3,0,3,3,1,0,-22,3
Belarus,Italy,60,80,1606,9,Volha Ziuzkova,12:58,7,3/6,2/4,1/2,0/0,1,2,3,0,3,1,0,0,-9,6
Belarus,Italy,60,80,1606,13,Maryia Papova,28:03,2,1/7,1/3,0/4,0/0,1,5,6,3,2,4,0,1,-8,2
Belarus,Italy,60,80,1606,14,Maryia Filonchyk,03:07,0,0/1,0/0,0/1,0/0,0,0,0,1,0,0,0,0,-3,0
Belarus,Italy,60,80,1606,15,Marina Kress,21:07,5,2/2,2/2,0/0,1/3,1,6,7,4,4,1,0,0,-10,13
Belarus,Italy,60,80,1606,20,Alexandria Bentley,28:51,17,4/12,2/7,2/5,7/8,0,1,1,4,2,3,1,0,-13,11
Belarus,Italy,60,80,1606,21,Viktoryia Hasper,17:26,2,1/3,1/3,0/0,0/0,1,3,4,1,3,2,0,1,-10,4
Belarus,Italy,60,80,1606,23,Yanina Inkina,08:13,2,0/1,0/1,0/0,2/2,0,1,1,0,0,0,0,1,-6,3
Italy,Belarus,80,60,1606,0,Elisa Penna,09:56,3,1/3,0/2,1/1,0/0,0,3,3,1,2,0,0,0,-3,5
Italy,Belarus,80,60,1606,5,Maddalena Gaia Gorini,17:52,6,2/4,2/4,0/0,2/2,0,4,4,4,1,1,0,0,13,11
Italy,Belarus,80,60,1606,7,Giorgia Sottana,26:40,20,7/16,5/13,2/3,4/5,1,3,4,3,1,4,0,0,25,13
Italy,Belarus,80,60,1606,9,Cecilia Zandalasini,25:19,18,8/15,7/13,1/2,1/2,1,7,8,2,2,1,3,0,12,22
Italy,Belarus,80,60,1606,10,Francesca Dotto,17:00,5,2/4,2/4,0/0,1/2,0,1,1,3,4,1,2,0,2,7
Italy,Belarus,80,60,1606,11,Raffaella Masciadri,10:16,2,1/4,1/2,0/2,0/0,0,2,2,0,3,1,0,0,7,0
