country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Sweden,Spain,52,85,0508,4,Emelie Anas,03:00,0,0/0,0/0,0/0,0/0,1,0,1,0,0,0,0,0,0,1
Sweden,Spain,52,85,0508,5,Klara Lundquist,26:00,24,9/19,7/13,2/6,4/6,1,5,6,1,1,2,2,0,-23,19
Sweden,Spain,52,85,0508,6,Patricia Elias,18:00,5,0/7,0/6,0/1,5/6,1,2,3,0,2,8,1,0,-11,-7
Sweden,Spain,52,85,0508,7,Lovisa Hjern,28:00,3,1/6,1/6,0/0,1/2,2,1,3,3,2,0,1,0,-24,4
Sweden,Spain,52,85,0508,9,Matilda Ahlberg,16:00,0,0/1,0/1,0/0,0/0,1,0,1,0,1,1,0,0,-25,-1
Sweden,Spain,52,85,0508,10,Felicia Bostrom,13:00,5,1/4,0/0,1/4,2/2,0,0,0,0,4,1,0,0,-7,1
Sweden,Spain,52,85,0508,11,Julia Norder,01:00,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,2,0
Sweden,Spain,52,85,0508,12,Cecilia Holmberg,16:00,5,2/6,1/1,1/5,0/0,0,1,1,1,0,0,1,0,-24,4
Sweden,Spain,52,85,0508,13,Signe Glantz,13:00,0,0/0,0/0,0/0,0/0,1,1,2,0,0,1,1,0,-12,2
Sweden,Spain,52,85,0508,14,Moa Filen Hammarstrom,25:00,2,1/4,1/1,0/3,0/0,0,0,0,2,3,3,0,0,-18,-2
Sweden,Spain,52,85,0508,15,Ndey Jeng,19:00,2,1/2,1/2,0/0,0/0,1,0,1,0,3,0,0,0,-7,2
Sweden,Spain,52,85,0508,26,Sofia Persson,22:00,6,2/6,0/1,2/5,0/0,1,2,3,0,1,1,0,0,-16,4
Spain,Sweden,85,52,0508,4,Alba Prieto,14:00,9,3/5,2/3,1/2,2/2,0,2,2,3,1,1,3,1,19,15
Spain,Sweden,85,52,0508,5,Andrea Alcantara,07:00,2,1/4,1/1,0/3,0/2,0,2,2,2,1,0,1,0,29,2
Spain,Sweden,85,52,0508,6,Ainhoa Lacorzana,12:00,4,1/4,1/1,0/3,2/2,0,0,0,0,3,1,1,0,8,1
Spain,Sweden,85,52,0508,7,Paloma Gonzalez,14:00,4,2/3,2/3,0/0,0/0,0,2,2,5,1,1,1,0,16,10
Spain,Sweden,85,52,0508,8,Aina Ayuso,17:00,10,3/4,1/1,2/3,2/2,1,3,4,4,1,1,0,0,15,16
Spain,Sweden,85,52,0508,9,Silvia Serrat,10:00,8,4/5,4/5,0/0,0/0,2,1,3,1,1,0,0,0,8,11
Spain,Sweden,85,52,0508,10,Iris Junio,19:00,11,4/7,1/3,3/4,0/0,0,5,5,4,1,0,2,1,21,20
Spain,Sweden,85,52,0508,11,Natalia Rodriguez,22:00,10,4/10,3/6,1/4,1/2,4,1,5,2,0,1,0,0,5,9
Spain,Sweden,85,52,0508,12,Maria Dolores Pendande,17:00,6,3/5,3/5,0/0,0/0,3,3,6,0,1,2,2,2,21,12
Spain,Sweden,85,52,0508,13,Lucia Rodriguez,27:00,6,2/4,2/3,0/1,2/2,1,2,3,2,1,1,0,0,0,8
Spain,Sweden,85,52,0508,14,Aixa Wone,23:00,10,3/8,2/5,1/3,3/4,0,2,2,1,2,1,1,0,12,7
Spain,Sweden,85,52,0508,16,Juana Camilion,16:00,5,2/5,1/2,1/3,0/0,0,1,1,0,3,1,1,0,11,3
Slovenia,Czech Republic,57,73,0508,4,Mojca Ahac,13:41,5,1/1,1/1,0/0,3/3,0,0,0,1,0,1,1,0,-8,6
Slovenia,Czech Republic,57,73,0508,5,Tjasa Kenda,05:19,3,1/3,0/1,1/2,0/0,0,1,1,0,0,2,0,0,2,0
