team,date,opponent,outcome,score,event,url
National Team,9/22/19,Paraguay,W,110-31,FIBA AmeriCup,https://www.usab.com/~/media/a4131d4433cd4e5ca58cc7974e816ac9.ashx?la=en
National Team,9/24/19,Colombia,W,88-46,FIBA AmeriCup,https://www.usab.com/~/media/6442d11160804d80b7dd4b331943d8fc.ashx?la=en
National Team,9/25/19,Argentina,W,100-50,FIBA AmeriCup,https://www.usab.com/~/media/88d94d11388b4de791129376c279e3f7.ashx?la=en
National Team,9/26/19,Brazil,W,89-73,FIBA AmeriCup,https://www.usab.com/~/media/bfe5a41b05d14f9f83fa85a50528ce47.ashx?la=en
National Team,9/28/19,Puerto Rico,W,78-54,FIBA AmeriCup,https://www.usab.com/~/media/3f6efa303316487592cea6364a66aa95.ashx?la=en
National Team,9/29/19,Canada,W,67-46,FIBA AmeriCup,https://www.usab.com/~/media/3db517fbcfcc4ffeaf6dd68f61764963.ashx?la=en
National Team,11/2/19,at Stanford,W,95-80,NCAA game,https://www.usab.com/~/media/5f5566c09119469aabd4e8434cbe1d09.ashx?la=en
National Team,11/4/19,at Oregon State,W,81-58,NCAA game,https://www.usab.com/~/media/329035691801441c9e4f473d6d4a4834.ashx?la=en
National Team,11/7/19,at Texas A&M,W,93-63,NCAA game,https://www.usab.com/basketball/media/pdfs/2019/wnt/texas-a-m-boxpdf.aspx
National Team,11/9/19,at Oregon,L,86-93,NCAA game,https://www.usab.com/~/media/5f464283531f48dd92547c56c4214230.ashx?la=en
National Team,11/14/19,Brazil,W,76-61,Olympic Qualifying Tournament,https://www.usab.com/~/media/32e948b09cfa475d83139646ebe708a0.ashx?la=en
National Team,11/16/19,Argentina,W,91-34,Olympic Qualifying Tournament,https://www.usab.com/~/media/cdd164d0275d429196050ca23dbc25e9.ashx?la=en
National Team,11/17/19,Colombia,W,104-48,Olympic Qualifying Tournament,https://www.usab.com/~/media/dd22b5134c4643d58737c0470e7ec02c.ashx?la=en
National Team,1/27/20,CONNECTICUT,W,79-64,NCAA game,https://www.usab.com/basketball/media/pdfs/2020/wnt/20-wnt-uconn-boxpdf.aspx
National Team,2/2/20,Louisville,W,97-54,NCAA game,https://www.usab.com/~/media/03cc09d2810541a497ee116c44702d8a.ashx?la=en
National Team,2/6/20,Serbia,W,88-69,Olympic Qualifying Tournament,http://www.fiba.basketball/oqtwomen/serbia/2020/game/0602/USA-Serbia#tab=boxscore
National Team,2/8/20,Mozambique,W,124-49,Olympic Qualifying Tournament,https://www.usab.com/~/media/d187a7573307481aa442df401b6e7cf0.ashx?la=en
