team_id,team,total,no_hs,vue_json_players,vue_json_hs,sidearm_hs_values,dl_hs_cells,dl_hs_nonempty,presto_combined,sidearm_hs_sample,error
199,Tex. A&M-Commerce,15,9,0,0,14,0,0,0,"['Academy of Holy Angels', 'Avondale Senior HS', 'Braswell HS']",
201,Eastern Illinois,14,1,0,0,13,0,0,0,"['CB Alcobendas', 'CBIC SPAR Gran Canaria', 'Fishers']",
205,Mont. St. Billings,13,13,0,0,0,0,0,0,[],
206,Eastern N.M.,14,10,0,0,4,0,0,0,"['Clovis West', 'Flower Mound HS', 'Fort Erie International']",
207,Eastern Washington,14,1,0,0,13,0,0,0,"['A.C. Davis HS', 'Billings West HS', 'Cherokee Trail HS']",
209,Edinboro,13,1,0,0,12,0,0,0,"['Aliquippa High School', 'Allderdice High School', 'Berlin Brothers Valley High School']",
213,Elmira,20,20,0,0,17,0,0,0,"['Academy of the Holy Names', 'Corning-Painted Post HS', 'Dansville HS']",
221,FDU-Florham,19,2,0,0,18,0,0,0,"['Bay Shore', 'Bayonne', 'Bridgewater Raritan']",
22989,Lyon,18,2,0,0,16,0,0,0,"['Batesville High School', 'Cave City High School', 'DeSoto High School']",
231,FIU,14,2,0,0,12,0,0,0,"['Hillcrest Christian College', 'IES Miquel Biada', 'IMG Academy']",
23157,Felician,18,1,0,0,12,0,0,0,"['Cavendish Road State HS', 'Democracy Prep Charter', 'IES Diego Velazquez']",
24639,Nova Southeastern,13,4,0,0,9,0,0,0,"['Creekside High School', 'Gilmour Academy', 'Hickory Ridge']",
25,Angelo St.,13,3,0,0,1,0,0,0,['Seacrest Country Day School'],
261,Grambling,14,12,0,0,2,0,0,0,"['Example Academy', 'Hillgrove Highschool']",
262,Grand Valley St.,20,20,0,0,0,0,0,0,[],
2696,Hawaii Pacific,17,1,0,0,16,0,0,0,"['Caruthers High School', 'Cypress High School', 'Edward S. Marcus High School']",
275,Harvard,18,2,0,0,16,0,0,0,"['ACS Athens', 'Blue Valley North', 'Centennial High School']",
2755,Southwest Baptist,17,6,0,0,9,0,0,0,"['Barking Abbey School', 'Concordia University Chicago', ""D'Youville""]",
27854,Minn.-Crookston,14,14,0,0,0,0,0,0,[],
2807,Roosevelt,17,3,0,0,13,0,0,0,"['Appleton West', 'Edwardsville', 'Fond Du Lac']",
2810,St. Thomas (TX),18,5,0,0,12,0,0,0,"['Arlington Martin HS', 'Bay Area Christian School', 'Captain Shreve HS']",
285,Holy Cross,15,1,0,0,14,0,0,0,"['Brooks School', 'Charlotte Catholic', 'Dexter Southfield']",
28749,Transylvania,20,2,0,0,18,0,0,0,"['Bardstown High School', 'Bourbon County High School', 'Centerville High School']",
294,Idaho St.,15,15,0,0,0,0,0,0,[],
295,Idaho,14,7,0,0,6,0,0,0,"['Clarkston HS', 'Deer Park HS', 'Folsom HS']",
299,Illinois State,14,1,0,0,13,0,0,0,"['Altamont HS', 'Ankeny Centennial HS', 'Bedford North Lawrence HS']",
3,Adelphi,14,2,0,0,12,0,0,0,"['Hoosac School (Queens)', 'Immaculate Heart Academy', 'Kellenberg Memorial']",
30028,Texas-Tyler,15,2,0,0,13,0,0,0,"['Albert Park College', 'Bella Vista Prep', 'Ecole Riverside Secondary']",
30035,Crown (MN),18,1,0,0,13,0,0,0,"['Bloomburg High School', 'Buffalo', 'Celina']",
30045,Palm Beach Atl.,18,2,0,0,16,0,0,0,"['Amherst Central HS', 'Benet Academy', 'Brimfield HS']",
30047,Keystone,10,3,0,0,13,0,0,0,"['Catholic Central', 'Centennial', 'Danbury']",
30069,Franciscan,12,5,0,0,7,0,0,0,"[""Cardinal O'Hara"", 'Frassati Catholic', 'Lincoln Park']",
30073,William Smith,13,2,0,0,10,0,0,0,"['Albany Academy', 'Canandaigua Academy', 'Falconer']",
30080,Point Park,8,1,0,0,7,0,0,0,"['Armwood HS', 'Beaver Area HS', 'Compania de Maria']",
30092,Flagler,15,5,0,0,0,0,0,0,[],
30105,Ark.-Fort Smith,13,8,0,0,4,0,0,0,"['Boswell H.S.', 'Greenwood H.S.', 'Joseph Ambouroue Avaro H.S.']",
30111,Covenant,17,7,0,0,10,0,0,0,"['Albany High School', 'Bowling Green School', 'Boyd-Buchanan School']",
30119,Ohio Dominican,9,3,0,0,5,0,0,0,"['Cabell Midland', 'Maumee', 'Newark']",
30120,William Jewell,16,16,0,0,0,0,0,0,[],
30127,Simon Fraser,14,1,0,0,13,0,0,0,"['Brookswood', 'Calgary Christian', 'Cherry Creek']",
30149,Point Loma,13,1,0,0,12,0,0,0,"['Branson', 'Brentwood', 'Crater']",
30150,Roberts Wesleyan,13,1,0,0,11,0,0,0,"['Aquinas Institute', 'Binghamton', 'Catholic Central']",
30153,Union (TN),16,11,0,0,5,0,0,0,"['Hamilton HS', 'Pennridge HS', 'Pinnacle HS']",
30154,Young Harris,17,1,0,0,16,0,0,0,"['Buffalo Lake-Hector-Stewart', 'Buffalo Lake-Hector-Stewart High School', 'Calhoun High School']",
30178,Northwestern Okla.,17,7,0,0,10,0,0,0,"['Adair High School', 'Alva High School', 'Central High School']",
30192,Southern Wesleyan,15,6,0,0,8,0,0,0,"['Carolina Forest HS', 'DW Daniel HS', 'Doral Academy']",
30193,Emmanuel (GA),19,1,0,0,14,0,0,0,"['Banks County High School', 'Cherokee High School', 'Dawson County High School']",
30202,Okla. Baptist,12,11,0,0,0,0,0,0,[],
30220,Biola,15,15,0,0,0,0,0,0,[],
30221,Davenport,15,5,0,0,10,0,0,0,"['Arbor Prep', 'East Kentwood', 'Grand Blanc']",
30222,Purdue Northwest,15,3,0,0,12,0,0,0,"['Annie Wright', 'Clarkston', 'Dunlap']",
30244,Edward Waters,16,1,0,0,15,0,0,0,"['Andrew Jackson HS', 'Barbers Hill HS', 'Barlett HS']",
30253,Carlow,14,7,0,0,0,0,0,0,[],
30262,Jessup,18,18,0,0,0,0,0,0,[],
30266,UC Merced,17,17,0,0,0,0,0,0,[],
307,Indiana (PA),14,5,0,0,9,0,0,0,"['Carlisle', 'Chestnut Ridge', 'Emek Harod']",
309,UIndy,16,1,0,0,15,0,0,0,"['Boonville', 'Columbus East', 'Decatur Central']",
320,John Carroll,20,7,0,0,16,0,0,0,"['Avon', 'Avon High School', 'Bishop Luers High School']",
323,Johnson C. Smith,14,12,0,0,2,0,0,0,"['East Forsyth', 'South Point']",
333,Ky. Wesleyan,14,1,0,0,12,0,0,0,"['Beech Senior', 'Calandlyceum', 'Collierville']",
334,Kentucky,12,2,0,0,0,0,0,0,[],
340,LaSalle,16,3,0,0,12,0,0,0,"['Addison School', ""Cardinal O'Hara"", 'HC Williams']",
346,Lamar,13,1,0,0,10,0,0,0,"['Amarillo HS', 'Benson HS', 'C.E King HS']",
370,Loyola Marymount,14,1,0,0,4,0,0,0,"['Archbishop Mitty High School', 'Champlain Lennoxville', 'Oakland Technical High School']",
371,Loyola-Chicago,12,1,0,0,11,0,0,0,"['Beaver Dam', 'Central Catholic', 'Crestwood Prep']",
381,Manhattan,15,1,0,0,13,0,0,0,"['Academy of the Holy Angels', 'Kušlanova Gymnasium', 'Layton Christian Academy (UT)']",
39,Augusta,14,14,0,0,0,0,0,0,[],
394,Marymount (VA),17,8,0,0,9,0,0,0,"['Bishop Loughlin Memorial', 'Brentsville', 'Colgan']",
396,Maryville (TN),23,7,0,0,16,0,0,0,"['Christian Academy of Knoxville', 'Cocke County', 'Cookeville']",
40,Augustana (IL),21,19,0,0,1,0,0,0,['Furtah Preparatory School'],
