college,ncaa_id,college_clean,category
Colorado Premier Basketball Club,,Colorado Premier Basketball Club,Other
Colorado School of Mines,155,Colorado School of Mines,College
Colorado-Colorado Springs,9754,Colorado Springs,College
University of Colorado Colorado Springs,9754,Colorado Springs,College
Colorado St.-Pueblo,2720,Colorado St.-Pueblo,College
Colorado State,156,Colorado State,College
Colorado State University,156,Colorado State University,College
Colorado State University Pueblo,2720,Colorado State University Pueblo,College
Colorado State-Pueblo,2720,Colorado State-Pueblo,College
Columbia,158,Columbia,College
Columbia University,158,Columbia,College
Columbia College,,Columbia College (MO),College
Columbia College (MO),,Columbia College (MO),College
Columbia High School,,Columbia High School,Other
Columbus Afrocentric Early College,,Columbus Afrocentric Early College,Other
Columbus South High School,,Columbus South High School,Other
Columbus St.,159,Columbus St.,College
Columbus State,159,Columbus State,College
Columbus State University,159,Columbus State,College
Complex 7,,Complex 7,Other
Concord,1028,Concord,College
Concord Christian School,,Concord Christian School,Other
Concord College,1028,Concord College,College
Concordia-St. Paul,9081,Concordia,College
Concordia,,Concordia,College
Concordia (CA),30199,Concordia (CA),College
Concordia University,,Concordia (MI),College
Concordia (Mich.),,Concordia (MI),College
"Concordia (St. Paul, Minn.)",9081,"Concordia (St. Paul, Minn.)",College
Concordia Chicago,160,Concordia Chicago,College
Concordia College,160,Concordia College,College
Concordia College-Alabama,,Concordia College-Alabama,College
Concordia University Irvine,30199,Concordia University Irvine,College
Concordia University St. Paul,9081,Concordia University St. Paul,College
"Concordia University, Nebraska",,"Concordia University, Nebraska",College
Concordia Wisconsin,1036,Concordia Wisconsin,College
Connecticut Breeze,,Connecticut Breeze,Other
Connecticut College,163,Connecticut College,College
Connecticut Elite,,Connecticut Elite,Other
Connecticut Sound Youth Basketball Club,,Connecticut Sound Youth Basketball Club,Other
Connecticut STORM AAU,,Connecticut STORM AAU,Other
Connecticut Sun,,Connecticut Sun,Professional
Connelly School of the Holy Child,,Connelly School of the Holy Child,Other
Connors State College,,Connors State College,Community College
Consilium Staffing,,Consilium Staffing,Other
Converse College,8935,Converse,College
Converse University,8935,Converse,College
Converse,8935,Converse,College
Conway High School,,Conway High School,Other
Copiague High School,,Copiague High School,Other
Copiah-Lincoln Community College,,Copiah-Lincoln CC,Community College
Coppin State,165,Coppin State,College
Coppin State University,165,Coppin State,College
Corcoran High School,,Corcoran High School,Other
Core Sports Academy,,Core Sports Academy,Other
Cornell,167,Cornell,College
Cornell University,167,Cornell,College
Cornell College,166,Cornell College,College
Corner Canyon High School,,Corner Canyon High School,Other
Cornerstone University,,Cornerstone,College
Corona del Sol High School,,Corona del Sol High School,Other
Cortland,158,Cortland,College
Corvallis High School,,Corvallis High School,Other
Covenant,30111,Covenant,College
Covenant College,30111,Covenant College,College
Coventry University,,Coventry,College
CP3 Basketball Academy,,CP3 Basketball Academy,Other
Cranston High School West,,Cranston High School West,Other
Credit Suisse First Boston Corp,,Credit Suisse First Boston Corp,Other
Creighton,169,Creighton,College
Creighton University,169,Creighton,College
Cressey Sports Performance,,Cressey Sports Performance,Other
Cretin-Derham Hall,,Cretin-Derham Hall,Other
Crispus Attucks Medical Magnet High School,,Crispus Attucks Medical Magnet High School,Other
Crossover Academy,,Crossover Academy,Other
Crossroad Academy Charter School,,Crossroad Academy Charter School,Other
Crown,30035,Crown,College
Crown Basketball/Long Island Lightning,,Crown Basketball/Long Island Lightning,Other
Crown College,30035,Crown College,College
Crystal Springs High School,,Crystal Springs High School,Other
CSU Monterey Bay,30055,CSU Monterey Bay,College
CSU Pueblo,2720,CSU Pueblo,College
CT Future Stars AAU Basketball,,CT Future Stars AAU Basketball,Other
Cuesta Community College,,Cuesta Community College,Community College
Culver-Stockton College,,Culver-Stockton College,College
Cumberland University,,Cumberland University,College
Cuyahoga Community College,,Cuyahoga CC,Community College
CWRU,122,CWRU,College
D'arbonne Woods Charter School,,D'arbonne Woods Charter School,Other
D'Youville,1059,D'Youville,College
Daemen College,30174,Daemen,College
Daemen University,30174,Daemen,College
Daemen,30174,Daemen,College
"Daily Sports Development, Inc.",,"Daily Sports Development, Inc.",Other
Dakota State,,Dakota State,College
Dakota Wesleyan,,Dakota Wesleyan,College
Dakota Wesleyan University,,Dakota Wesleyan,College
Dallas Mavericks,,Dallas Mavericks,Professional
Dallas Wings,,Dallas Wings,Professional
Damascus High,,Damascus High,Other
Damien High School,,Damien High School,Other
Danville Area Community College,,Danville Area CC,Community College
Dardanelle,,Dardanelle,Other
Dartmouth,172,Dartmouth,College
Dartmouth College,172,Dartmouth,College
Davenport University,30221,Davenport,College
Davenport,30221,Davenport,College
Davidson,173,Davidson,College
Davidson College,173,Davidson,College
Davis & Elkins,174,Davis & Elkins,College
Dayton,175,Dayton,College
Daytona State,175,Dayton,College
University of Dayton,175,Dayton,College
Daytona State College,,Daytona State College,College
Dean College,30219,Dean,College
Decatur Central High School,,Decatur Central High School,Other
Dedham High School,,Dedham High School,Other
Defiance College,1050,Defiance,College
DeKalb County High School,,DeKalb County High School,Other
Delano High School,,Delano High School,Other
Delaware,180,Delaware,College
University of Delaware,180,Delaware,College
Delaware 87ers,,Delaware 87ers,Other
Delaware Blue Coats,,Delaware Blue Coats,Other
Delaware Hayes High School,,Delaware Hayes High School,Other
Delaware State,178,Delaware State,College
Delaware Valley,179,Delaware Valley,College
Delaware Valley High School,,Delaware Valley High School,Other
Delco Goats AAU,,Delco Goats AAU,Other
Delta College,,Delta College,Community College
Delta High School,,Delta High School,Other
Delta St.,181,Delta St.,College
Delta State,181,Delta State,College
Delta State University,181,Delta State,College
DeMatha Catholic High School,,DeMatha Catholic High School,Other
Denison,182,Denison,College
Denver,183,Denver,College
University of Denver,183,Denver,College
Denver Nuggets,,Denver Nuggets,Professional
DePaul,176,DePaul,College
DePauw University,177,DePauw University,College
Derby High School,,Derby High School,Other
Des Moines Roosevelt High School,,Des Moines Roosevelt High School,Other
DeSales,20,DeSales,College
DeSales High School,,DeSales High School,Other
DeSales University,20,DeSales University,College
Desert Mountain High School,,Desert Mountain High School,Other
Desert Vista High School,,Desert Vista High School,Other
DeSoto High School,,DeSoto High School,Other
Detroit,184,Detroit,College
Detroit Mercy,184,Detroit Mercy,College
University of Detroit Mercy,184,Detroit Mercy,College
Detroit Pistons,,Detroit Pistons,Professional
Detroit Queens,,Detroit Queens,Other
Detroit Renaissance High School,,Detroit Renaissance High School,Other
Diablo Valley College,,Diablo Valley CC,Community College
Dickinson College,185,Dickinson,College
Dickinson State,,Dickinson State,College
Dillard University,,Dillard,College
Dinuba High School,,Dinuba High School,Other
Discovery High School,,Discovery High School,Other
DistinXion,,DistinXion,Other
District Heights Boys and Girls Club,,District Heights Boys and Girls Club,Other
Divine Savior Holy Angels High School,,Divine Savior Holy Angels High School,Other
Dixie State,30095,Dixie State,College
Dixie State University,30095,Utah Tech,College
Doane University,,Doane,College
Dodge City Community College,,Dodge City CC,Community College
Dodge City Legend,,Dodge City Legend,Other
Dominican University,1332,Dominican,College
Dominican University of California,30118,Dominican,College
Donald L Tucker Civic Center,,Donald L Tucker Civic Center,Other
Doral Academy,,Doral Academy,Other
Dordt College,,Dordt College,College
Dorman High School,,Dorman High School,Other
Dove Creek Middle,,Dove Creek Middle,Other
Dover-Eyota High School,,Dover-Eyota High School,Other
Drake,189,Drake,College
Drake University,189,Drake,College
Dream Charter School,,Dream Charter School,Other
Drew College Preparatory School,,Drew College Preparatory School,Other
Drexel,191,Drexel,College
Drexel University,191,Drexel,College
Driven Basketball,,Driven Basketball,Other
Driven Elite,,Driven Elite,Other
Drury,1057,Drury,College
Drury University,1057,Drury,College
Dubuque,192,Dubuque,College
Duchesne High School,,Duchesne High School,Other
Duke,193,Duke,College
Dunbar High School,,Dunbar High School,Other
Duncanville High School,,Duncanville High School,Other
DuPont Manual High School,,DuPont Manual High School,Other
Duquesne,194,Duquesne,College
Durango High School,,Durango High School,Other
Durant High School,,Durant High School,Other
Durham,,Durham,Other
Dutchess Community College,,Dutchess Community College,Community College
Dutchtown High School,,Dutchtown High School,Other
Dynamo Kursk,,Dynamo Kursk,Other
E.A. Laney High School,,E.A. Laney High School,Other
Eagle Point High School,,Eagle Point High School,Other
Eaglecrest High School,,Eaglecrest High School,Other
Earlham,195,Earlham,College
Earlham College,195,Earlham College,College
East Bay Xplosion Basketball Club,,East Bay Xplosion Basketball Club,Other
East Carolina,196,East Carolina,College
East Carolina University,196,East Carolina,College
East Central,,East Central CC,Community College
East Central Community College,,East Central CC,Community College
East Coast Conference,,East Coast Conference,Other
East Georgia State College,,East Georgia State College,Community College
East Grand Forks,,East Grand Forks,Other
East High School,,East High School,Other
East Hill Christian High School,,East Hill Christian High School,Other
East Knox High School,,East Knox High School,Other
East Mennonite,203,East Mennonite,Other
East Mississippi CC,,East Mississippi CC,Community College
East Mississippi Community College,,East Mississippi CC,Community College
East Orange Campus,,East Orange Campus,Other
East Peoria High School,,East Peoria High School,Other
East St. Louis High School,,East St. Louis High School,Other
East Stroudsburg,197,East Stroudsburg,College
East Stroudsburg University,197,East Stroudsburg,College
East Tennessee State University,198,East Tennessee State University,College
Texas A&M Commerce,199,East Texas A&M,College
Texas A&M-Commerce,199,East Texas A&M,College
Texas A&M–Commerce,199,East Texas A&M,College
East Texas Baptist,1062,East Texas Baptist,College
East Texas Baptist University,1062,East Texas Baptist University,College
East Wake High School,,East Wake High School,Other
Eastern,8968,Eastern,College
Eastern Alamance High School,,Eastern Alamance High School,Other
Eastern Arizona College,,Eastern Arizona College,Community College
Eastern Florida,,Eastern Florida State College,Community College
Eastern Florida State College,,Eastern Florida State College,Community College
Eastern Illinois,201,Eastern Illinois,College
Eastern Illinois University,201,Eastern Illinois University,College
Eastern Kentucky,202,Eastern Kentucky,College
Eastern Kentucky University,202,Eastern Kentucky,College
Eastern Mennonite,,Eastern Mennonite,College
Eastern Michigan,204,Eastern Michigan,College
Eastern Michigan University,204,Eastern Michigan,College
Eastern N.M.,206,Eastern N.M.,College
Eastern Nazarene College,1064,Eastern Nazarene College,College
Eastern New Mexico,206,Eastern New Mexico,College
Eastern New Mexico University,206,Eastern New Mexico,College
Eastern Oklahoma State College,,Eastern Oklahoma State College,Community College
Eastern Washington,207,Eastern Washington,College
Eastern Washington University,207,Eastern Washington,College
Eastside HS,,Eastside HS,Other
Eckerd,208,Eckerd,College
Eckerd College,208,Eckerd College,College
Ecocontrol Priolo,,Ecocontrol Priolo,Other
ECU,196,ECU,College
EDGE Training Facility,,EDGE Training Facility,Other
Edgewood,1066,Edgewood,College
Edgewood College,1066,Edgewood College,College
Edina High School,,Edina High School,Other
Edinboro,209,Edinboro,College
Edinburg North,,Edinburg North,Other
Edward Waters,30244,Edward Waters,College
EEP Basketball,,EEP Basketball,Other
Effingham County High School,,Effingham County High School,Other
Effingham County Middle School,,Effingham County Middle School,Other
Eisbaeren Bremerhaven,,Eisbaeren Bremerhaven,Other
El Camino College,,El Camino College,Community College
El Dorado High School,,El Dorado High School,Other
ELEV8 Elite Basketball,,ELEV8 Elite Basketball,Other
Elite Falcons Football Club,,Elite Falcons Football Club,Other
Elizabeth City State,210,Elizabeth City State,College
Elizabeth City State University,210,Elizabeth City State,College
Elizabeth High School,,Elizabeth High School,Other
Elkins,,Elkins,Other
Ellsworth Community College,,Ellsworth Community College,Community College
Elmhurst,212,Elmhurst,College
Elmira,213,Elmira,College
Elmira College,213,Elmira College,College
Elon,1068,Elon,College
Elon University,1068,Elon University,College
Embry-Riddle,9680,Embry-Riddle,College
Embry-Riddle Aeronautical University,9680,Embry-Riddle Aeronautical,College
Emerson College,214,Emerson College,College
Emery Unified School District,,Emery Unified School District,Other
Emeryville Recreation Department,,Emeryville Recreation Department,Other
Emmanuel College,215,Emmanuel College,College
Emory,217,Emory,College
Empire Dragons,,Empire Dragons,Other
Empire State Basketball Club,,Empire State Basketball Club,Other
Emporia State,1071,Emporia State,College
Emporia State University,1071,Emporia State,College
Enes Kanter's Basketball Camps,,Enes Kanter's Basketball Camps,Other
Ensworth School,,Ensworth School,Other
Episcopal Academy,,Episcopal Academy,Other
Episcopal High School,,Episcopal High School,Other
Erie Community College,,Erie CC,Community College
Erie Irish,,Erie Irish,Other
ESPN,,ESPN,Other
Essence Nike National Elite Youth Basketball League,,Essence Nike National Elite Youth Basketball League,Other
Estacado High School,,Estacado High School,Other
Etiwanda High School,,Etiwanda High School,Other
ETSU,198,ETSU,College
East Tennessee State,198,ETSU,College
Eureka College,218,Eureka College,College
Evangel University,,Evangel,Community College
Evangelical Christian School,,Evangelical Christian School,Other
Evansville,219,Evansville,College
University of Evansville,219,Evansville,College
Evansville Central High School,,Evansville Central High School,Other
Evergreen State,,Evergreen State,Community College
Evolution Basketball Association,,Evolution Basketball Association,Other
Example Sports AAU,,Example Sports AAU,Other
Fairfax High School,,Fairfax High School,Other
Fairfax Stars,,Fairfax Stars,Other
Fairfax Stars Girls 16U Nike EYBL,,Fairfax Stars Girls 16U Nike EYBL,Other
Fairfield,220,Fairfield,College
Fairfield University,220,Fairfield,College
FDU,222,Fairleigh Dickinson,College
Fairleigh Dickinson,222,Fairleigh Dickinson,College
Fairleigh Dickinson University,222,Fairleigh Dickinson,College
FDU-Florham,221,Fairleigh Dickinson-Florham,College
Fairleigh Dickinson-Florham,221,Fairleigh Dickinson-Florham,College
Fairleigh Dickinson-Madison,221,Fairleigh Dickinson-Madison,College
Fairmont St.,1076,Fairmont St.,College
Fairmont State,1076,Fairmont State,College
Faith West Academy,,Faith West Academy,Other
Falmouth High School,,Falmouth High School,Other
Farmington High School,,Farmington High School,Other
Florida Atlantic,229,FAU,College
Florida Atlantic University,229,FAU,College
Faulkner,,Faulkner,Community College
Faulkner University,,Faulkner,Community College
Fayetteville High School,,Fayetteville High School,Other
Fayetteville State,223,Fayetteville State,College
FBC Carolinas,,FBC Carolinas,Other
FC Cincinnati,,FC Cincinnati,Other
FC Milwaukee Torrent,,FC Milwaukee Torrent,Other
Florida Gulf Coast University,28755,FCGU,College
Feather River College,,Feather River College,Community College
Felician,23157,Felician,College
Femeni Maresme,,Femeni Maresme,Other
Ferris State,224,Ferris State,College
Ferris State University,224,Ferris State University,College
Ferrum College,225,Ferrum College,College
Fever Club Basketball,,Fever Club Basketball,Other
Florida Gulf Coast,28755,FGCU,College
Findlay,1079,Findlay,College
Findlay High School,,Findlay High School,Other
Finger Lakes Community College,,Finger Lakes Community College,Community College
Finlandia,,Finlandia,College
Finlandia University,,Finlandia,College
Fisher College,,Fisher College,College
Fisk University,,Fisk University,College
Fitch High School,,Fitch High School,Other
Fitchburg State,227,Fitchburg State,College
FIU,231,FIU,College
Florida International,231,FIU,College
Florida International University,231,FIU,College
Five-Star Basketball,,Five-Star Basketball,Other
Flagler,30092,Flagler,College
Flagler College,30092,Flagler,College
Flagler Palm Coast,,Flagler Palm Coast,Other
Flathead High School,,Flathead High School,Other
Flint City Monarchs,,Flint City Monarchs,Other
Florida,235,Florida,College
University of Florida,235,Florida,College
Florida A&M,228,Florida A&M,College
Florida A&M University,228,Florida A&M,College
Florida Air Academy,,Florida Air Academy,Other
Florida College,,Florida College,Community College
Florida Memorial University,,Florida Memorial,Community College
Florida Southern,233,Florida Southern,College
Florida Southern College,233,Florida Southern,College
Florida Southwestern State,,Florida Southwestern State,Community College
Florida Southwestern State College,,Florida Southwestern State,Community College
Florida State,234,Florida State,College
Florida State University,234,Florida State,College
Florida State College at Jacksonville,,Florida State College at Jacksonville,Community College
Florida Tech,230,Florida Tech,College
FMR Player Development,,FMR Player Development,Other
Fordham,236,Fordham,College
Fordham University,236,Fordham,College
Forest City High School,,Forest City High School,Other
Forest Park High School,,Forest Park High School,Other
Forest Ridge High School,,Forest Ridge High School,Other
Fort Collins High School,,Fort Collins High School,Other
Fort Hays State,9011,Fort Hays State,College
Fort Lewis,1083,Fort Lewis,College
Fort Lewis College,1083,Fort Lewis College,College
Fort Myers High School,,Fort Myers High School,Other
Fort Smith Northside,,Fort Smith Northside,Other
Fort Valley State,237,Fort Valley State,College
Fountain Central,,Fountain Central,Other
Francis Marion,1085,Francis Marion,College
Francis W. Parker School,,Francis W. Parker School,Other
Frank Phillips College,,Frank Phillips College,Community College
Franklin,2694,Franklin,College
Franklin & Marshall,239,Franklin & Marshall,College
Franklin College,2694,Franklin College,College
Franklin Pierce,241,Franklin Pierce,College
Franklin Pierce University,241,Franklin Pierce University,College
Franklin Road Academy,,Franklin Road Academy,Other
Franklin Youth Girls Basketball Association,,Franklin Youth Girls Basketball Association,Other
Fredericktown High School,,Fredericktown High School,Other
Fredonia,242,Fredonia,College
Freed Hardeman University,,Freed Hardeman University,College
Freedom High School,,Freedom High School,Other
Frenship High School,,Frenship High School,Other
Fresno Pacific,30147,Fresno Pacific,College
Fresno Pacific University,30147,Fresno Pacific University,College
Fresno State,96,Fresno State,College
Fresno State University,96,Fresno State University,College
Friends University,,Friends,Community College
Friends of Hoop Seattle,,Friends of Hoop Seattle,Other
Frostburg St.,243,Frostburg St.,College
Frostburg State,243,Frostburg State,College
Fryshuset Basket,,Fryshuset Basket,Other
Fullerton College,,Fullerton College,Community College
Furman,244,Furman,College
Gallaudet University,245,Gallaudet,College
Game 7 Sports,,Game 7 Sports,Other
Game On Sports Center,,Game On Sports Center,Other
Gannon,246,Gannon,College
Gannon University,246,Gannon,College
Garden City Community College,,Garden City CC,Community College
Garden Grove Unified School District,,Garden Grove Unified School District,Other
Gardner Webb,1092,Gardner-Webb,College
Gardner-Webb,1092,Gardner-Webb,College
Gardner-Webb University,1092,Gardner-Webb University,College
Garner Road YMCA,,Garner Road YMCA,Other
Gateway STEM High School,,Gateway STEM High School,Other
Gatewood School,,Gatewood School,Other
Gem City United,,Gem City United,Other
Geneva College,30084,Geneva College,College
Genoa Central High School,,Genoa Central High School,Other
George Fox,1094,George Fox,College
George Fox University,1094,George Fox,College
George Harriot's Preparatory School,,George Harriot's Preparatory School,Other
George Mason,248,George Mason,College
George Rogers Clark High School,,George Rogers Clark High School,Other
George Washington,249,George Washington,College
George Washington University,249,George Washington,College
Georgetown,251,Georgetown,College
Georgetown University,251,Georgetown,College
Georgetown College,,Georgetown College,Community College
Georgia,257,Georgia,College
Georgia College,1096,Georgia College,College
Georgia College & State University,1096,Georgia College and State,College
Georgia College and State University,1096,Georgia College and State,College
Georgia Metro Nike Travel Team,,Georgia Metro Nike Travel Team,Other
Georgia Metros Nike Elite,,Georgia Metros Nike Elite,Other
Georgia Southern,253,Georgia Southern,College
Armstrong Atlantic State,,Georgia Southern-Armstrong,College
Armstrong State,,Georgia Southern-Armstrong,College
Armstrong State College,,Georgia Southern-Armstrong,College
Georgia Southwestern,1097,Georgia Southwestern,College
Georgia Southwestern State,1097,Georgia Southwestern,College
Georgia State,254,Georgia State,College
Georgia Tech,255,Georgia Tech,College
Georgian Court University,9004,Georgian Court,College
Germantown Friends High School,,Germantown Friends High School,Other
Germantown Lady Panthers/Fairfax Stars,,Germantown Lady Panthers/Fairfax Stars,Other
Gibson County High School,,Gibson County High School,Other
Gig Harbor High School,,Gig Harbor High School,Other
Gill St. Bernard's,,Gill St. Bernard's,Other
Gillette College,,Gillette College,College
Gilmer County High School,,Gilmer County High School,Other
Girls Place,,Girls Place,Other
Glencoe High School,,Glencoe High School,Other
Glendale Community College,,Glendale Community College,Community College
Glenville St.,1098,Glenville St.,College
Glenville State,1098,Glenville State,College
Glenville State College,1098,Glenville State College,College
Glenwood High School,,Glenwood High School,Other
Global Learning Charter Public School,,Global Learning Charter Public School,Other
Globe Institute of Technology,,Globe Institute of Technology,Other
Godby High School,,Godby High School,Other
Goddard High School,,Goddard High School,Other
Goldey-Beacom College,8366,Goldey-Beacom College,College
Gonzaga,260,Gonzaga,College
Gordon College,1099,Gordon College,College
Goucher College,1467,Goucher College,College
Grace University,,Grace,Community College
Graceland,,Graceland University,College
Graceland University,,Graceland University,College
Grambling,261,Grambling State,College
Grambling State,261,Grambling State,College
Granada Hills High School,,Granada Hills High School,Other
Grand Canyon,1104,Grand Canyon,College
Grand Canyon University,1104,Grand Canyon,College
Grand Forks Public Schools,,Grand Forks Public Schools,Other
Grand Rapids Gold,,Grand Rapids Gold,Other
Grand Valley State,262,Grand Valley State,College
Grand View,,Grand View,Community College
Grandview High School,,Grandview High School,Other
Gravette,,Gravette,Other
Grayson College,,Grayson College,Community College
Great Bay Community College,,Great Bay CC,Community College
Green Bay,794,Green Bay,College
Green Bay Southwest High School,,Green Bay Southwest High School,Other
Green Farms Academy,,Green Farms Academy,Other
Green Mountain College,,Green Mountain College,College
Greenbrier,,Greenbrier,Other
Greencastle High School,,Greencastle High School,Other
Greensboro,263,Greensboro,College
Greensboro College,263,Greensboro College,College
Greensboro Gators,,Greensboro Gators,Other
Greenwood High School,,Greenwood High School,Other
Grimsley High School,,Grimsley High School,Other
Grinnell,264,Grinnell,College
Grosse Pointe North,,Grosse Pointe North,Other
Grosse Pointe North High School,,Grosse Pointe North High School,Other
Grove City College,265,Grove City College,College
Guangdong,,Guangdong,Other
Guardian Angels,,Guardian Angels,Other
Guilford,1112,Guilford,College
Guilford County Schools,,Guilford County Schools,Other
Gulf Coast State,,Gulf Coast State,Community College
Gulf Coast State College,,Gulf Coast State,Community College
Gustavus Adolphus College,266,Gustavus Adolphus College,College
Guymon High School,,Guymon High School,Other
Hamilton College,267,Hamilton College,College
Hamilton High School,,Hamilton High School,Other
Hamline University,268,Hamline University,College
Hampden Academy,,Hampden Academy,Other
Hampden-Sydney,269,Hampden-Sydney,College
Hampton,270,Hampton,College
Hampton University,270,Hampton,College
Hampton High School,,Hampton High School,Other
Hampton Roads Pro-Am,,Hampton Roads Pro-Am,Other
Hanau High School,,Hanau High School,Other
Hancock High School,,Hancock High School,Other
Hanover,1115,Hanover,College
Hapoel Tel Aviv,,Hapoel Tel Aviv,Other
Har-Ber High School,,Har-Ber High School,Other
Harcum College,,Harcum College,Community College
Hardin Jefferson,,Hardin Jefferson,Other
Hardin Simmons University,271,Hardin Simmons University,College
Hardin-Simmons,271,Hardin-Simmons,College
Harding,1116,Harding,College
Harding Academy,,Harding Academy,Other
Harper College,,Harper College,College
Harrah HS,,Harrah HS,Other
Harris Stowe State,,Harris-Stowe,Community College
Harris-Stowe,,Harris-Stowe,Community College
Harris-Stowe State University,,Harris-Stowe ,Community College
Harrisburg High School,,Harrisburg High School,Other
Harrison,,Harrison,Other
Harrison-Willow Creek High,,Harrison-Willow Creek High,Other
Harrisonburg High School,,Harrisonburg High School,Other
Hartford,272,Hartford,College
Hartnell College,,Hartnell College,College
Harvard,275,Harvard,College
Hastings College,,Hastings College,Community College
Hatzic,,Hatzic,Other
Hawai'i,277,Hawai'i,College
Hawaii,277,Hawai'i,College
Hawai'i Pacific,2696,Hawai'i Pacific,College
Hawaii Pacific University,2696,Hawai'i Pacific,College
University of Hawaii Manoa,277,Hawaii Manoa,College
Hazlehurst High School,,Hazlehurst High School,Other
HD Intelligence,,HD Intelligence,Other
University of Health Sciences and Pharmacy,,Health Sciences and Pharmacy,Community College
Heart of a Champion,,Heart of a Champion,Other
Heidelberg College,,Heidelberg College,College
Heidelberg University,,Heidelberg University,College
Henderson State,1123,Henderson State,College
Henderson State University,1123,Henderson State,College
Hendrix,1124,Hendrix,College
Hendrix College,1124,Hendrix College,College
Henry County High,,Henry County High,Other
Henry County High School,,Henry County High School,Other
Heritage Park,,Heritage Park,Other
Hertford County High School,,Hertford County High School,Other
Hesston College,,Hesston College,Community College
Hibernians,,Hibernians,Other
Hickman High School,,Hickman High School,Other
Hidden Valley High School,,Hidden Valley High School,Other
High Point,19651,High Point,College
High Point University,19651,High Point,College
High Point Andrews High School,,High Point Andrews High School,Other
High Point Christian Academy,,High Point Christian Academy,Other
High School,,High School,Other
Highland Community College,,Highland CC,Community College
Highland Park Church Sport Ministry,,Highland Park Church Sport Ministry,Other
Highland School,,Highland School,Other
Highlander High School,,Highlander High School,Other
Hilbert,8398,Hilbert,College
Hilbert College,8398,Hilbert College,College
Hilbert High School,,Hilbert High School,Other
Hill Career Regional High School,,Hill Career Regional High School,Other
Hill City High School,,Hill City High School,Other
Hill College,,Hill College,Community College
Hill-Murray,,Hill-Murray,Other
Hillcrest High School,,Hillcrest High School,Other
Hilliard Bradley H.S.,,Hilliard Bradley H.S.,Other
Hillsborough Community College,,Hillsborough CC,Community College
Hillsdale,280,Hillsdale,College
Hillsdale College,8398,Hillsdale College,College
Hinds Community College,,Hinds CC,Community College
Hiram College,281,Hiram College,College
Hobart and William Smith Colleges,282,Hobart and William Smith Colleges,College
Hocking College,,Hocking College,Community College
Hofstra,283,Hofstra,College
Holbrook Middle School,,Holbrook Middle School,Other
Holdat,,Holdat,Other
Holiday High School,,Holiday High School,Other
Hollidaysburg High School,,Hollidaysburg High School,Other
Hollins,284,Hollins,College
Holmes,,Holmes CC,Community College
Holmes Community College,,Holmes CC,Community College
Holston High School,,Holston High School,Other
College of the Holy Cross,285,Holy Cross,College
Holy Cross,285,Holy Cross,College
Holy Cross Boys High School,,Holy Cross Boys High School,Other
Holy Family,1126,Holy Family,College
Holy Family University,1126,Holy Family,College
Holy Savior Menard High School,,Holy Savior Menard High School,Other
Hood,8404,Hood,College
Hood College,8404,Hood College,College
Hoop Dreams Traveling Club,,Hoop Dreams Traveling Club,Other
Hoopaholics Academy,,Hoopaholics Academy,Other
Hoover High School,,Hoover High School,Other
Hope,286,Hope,College
Hope College,286,Hope College,College
Hope International University,,Hope International,Community College
Hopewell High School,,Hopewell High School,Other
Hopkins County Central,,Hopkins County Central,Other
Houghton College,30160,Houghton,College
Houghton University,30160,Houghton,College
Houston,288,Houston,College
University of Houston,288,Houston,College
Houston Astros,,Houston Astros,Professional
Houston Baptist,287,Houston Christian,College
Houston Christian,287,Houston Christian,College
Houston Christian University,287,Houston Christian,College
Houston High School,,Houston High School,Other
Houston Rockets,,Houston Rockets,Professional
Houston Texans,,Houston Texans,Professional
Howard,290,Howard,College
Howard University,290,Howard,College
Howard Payne University,2741,Howard Payne,College
Howard Payne,2741,Howard Payne,College
Hudl,,Hudl,Other
Huntingdon College,1130,Huntingdon College,College
Huntington High School,,Huntington High School,Other
Husson,1133,Husson,College
Hutchinson Community College,,Hutchinson CC,Community College
I Believe Basketball Academy,,I Believe Basketball Academy,Other
I-9 Sports,,I-9 Sports,Other
I'm Possible Training,,I'm Possible Training,Other
I9 Sports,,I9 Sports,Other
Idaho,295,Idaho,College
University of Idaho,295,Idaho,College
Idaho St.,294,Idaho State,College
Idaho State,294,Idaho State,College
Illinois,301,Illinois,College
Illinois Central College,,Illinois Central,Community College
Illinois Col.,297,Illinois Col.,College
Illinois College,297,Illinois College,College
Illinois Lady Thunder,,Illinois Lady Thunder,Other
Illinois State,299,Illinois State,College
Illinois Wesleyan,300,Illinois Wesleyan,College
Illinois-Chicago,302,Illinois-Chicago,College
UIC,302,Illinois-Chicago,College
University of Illinois-Chicago,302,Illinois-Chicago,College
University of Illinois Springfield,30050,Illinois-Springfield,College
University of Illinois-Springfield,30050,Illinois-Springfield,College
IMG Academy,,IMG Academy,Other
Immaculate Heart of Mary School,,Immaculate Heart of Mary School,Other
Impact Academy,,Impact Academy,Other
Incarnate Word,2743,Incarnate Word,College
Independence,,Independence,Other
Independence Community College,,Independence CC,Community College
Indiana,306,Indiana,College
Indiana University,306,Indiana,College
Indiana Fever,,Indiana Fever,Professional
Indiana Pacers Athletic Center,,Indiana Pacers Athletic Center,Other
Indiana State,305,Indiana State,College
Indiana State University,305,Indiana State,College
Indiana Tech,,Indiana Tech,College
Indiana University East,,Indiana University East,College
Indiana University Kokomo,,Indiana University Kokomo,College
Indiana University Northwest,,Indiana University Northwest,College
Indiana University of Pennsylvania,307,Indiana University of Pennsylvania,College
Indiana University Southeast,,Indiana University Southeast,College
