college,ncaa_id,college_clean,category
Ashford University,,Ashford University,College
Ashland University,35,Ashland,College
Ashland,35,Ashland,College
Ashland High School,,Ashland High School,Other
Assist Basketball Network,,Assist Basketball Network,Other
Assumption,36,Assumption,College
Assumption High School,,Assumption High School,Other
ATC Academy,,ATC Academy,Other
ATG Hoops,,ATG Hoops,Other
Athens Drive High School,,Athens Drive High School,Other
Athens High School,,Athens High School,Other
Athletes in Action,,Athletes in Action,Other
Athlos Leadership Academy,,Athlos Leadership Academy,Other
Atkins High School,,Atkins High School,Other
Atlanta Bucks,,Atlanta Bucks,Other
Atlanta Dream,,Atlanta Dream,Professional
Atlanta Metropolitan College,,Atlanta Metropolitan College,College
Atlanta Show,,Atlanta Show,Other
Atlantic Collegiate Academy,,Atlantic Collegiate Academy,Other
Atlantic High School,,Atlantic High School,Other
Atonement Lutheran School,,Atonement Lutheran School,Other
Auburn,37,Auburn,College
Auburn High School,,Auburn High School,Other
Auburn University at Montgomery,30093,Auburn University at Montgomery,College
Augsburg,38,Augsburg,College
Augsburg College,38,Augsburg College,College
Augusta,39,Augusta,College
Augusta College,39,Augusta College,College
Augusta State University,39,Augusta State,College
Augusta University,39,Augusta University,College
Augustana University,41,Augustana,College
Augustana (S.D.) College,41,Augustana,College
Augustana,41,Augustana,College
Augustana (IL),40,Augustana (IL),College
Augustana (SD),41,Augustana (SD),College
Augustana College (S.D.),41,Augustana College (S.D.),College
AUM,30093,AUM,College
Aurora,42,Aurora,College
Aurora Christian Schools,,Aurora Christian Schools,Other
Aurora University,42,Aurora University,College
Austin College,953,Austin College,College
Austin Elite Basketball Program,,Austin Elite Basketball Program,Other
Austin Peay,43,Austin Peay,College
Austin Peay State University,43,Austin Peay,College
Austin Spurs,,Austin Spurs,Professional
Ave Maria,,Ave Maria,College
Avera Select,,Avera Select,Other
Averett,44,Averett,College
Averett University,44,Averett University,College
Avila University,,Avila University,College
Avon Grove Middle School,,Avon Grove Middle School,Other
Avondale High School,,Avondale High School,Other
