rank,program,network,time,duration,rating,viewers,date
1,TNT NCAA BSKBL CHP-PRFR2: IONA VS NORTH CAROLINA,TURNER NETWORK TELEVISION,9:21 PM,130,1.04,"3,013",3/22/19
2,TBS NCAA BSKBL CHP-DYFR2: OREGON VS WISCONSIN,TBS NETWORK,4:35 PM,145,0.85,"2,750",3/22/19
3,TBS NCAA BSKBL CHP-PRFR2: OHIO ST VS IOWA ST,TBS NETWORK,9:38 PM,139,0.81,"2,606",3/22/19
4,TNT NCAA BSKBL CHP-PRFR1: WASHINGTON VS UTAH ST,TURNER NETWORK TELEVISION,6:40 PM,145,0.61,"1,784",3/22/19
5,TRU NCAA BSKBL CHP-PRFR1: LIBERTY VS MISSISSIPPI ST,TRUTV,7:32 PM,144,0.49,"1,533",3/22/19
6,TNT NCAA BSK CHP-BRG-PRFR,TURNER NETWORK TELEVISION,9:05 PM,16,0.44,"1,330",3/22/19
7,GOLD RUSH: SPECIAL,DISCOVERY CHANNEL,9:00 PM,60,0.44,"1,892",3/22/19
8,TBS NCAA BSKBL CHP-PRFR1: GEORGIA ST VS HOUSTON,TBS NETWORK,7:07 PM,137,0.4,"1,187",3/22/19
9,TNT NCAA BSKBL CHP-DYFR2: ARIZONA ST VS BUFFALO,TURNER NETWORK TELEVISION,4:02 PM,158,0.37,"1,121",3/22/19
10,SELECCION MEXICO FRI: MEXICO / CHILE,UNIVISION DEPORTES,10:00 PM,142,0.35,835,3/22/19
11,TRU NCAA BSKBL CHP-PRFR2: SAINT LOUIS VS VIRGINIA TECH,TRUTV,10:21 PM,138,0.32,891,3/22/19
12,TRU NCAA BSK CHP-BRG-PRFR,TRUTV,9:56 PM,25,0.32,"1,006",3/22/19
13,GOLD RUSH:WHITE WATER SPC,DISCOVERY CHANNEL,10:00 PM,62,0.32,"1,297",3/22/19
14,TBS NCAA BSK CHP-BRG-PRFR,TBS NETWORK,9:24 PM,14,0.31,941,3/22/19
15,TRU NCAA BSKBL CHP-DYFR2: GARDNER-WEBB VS VIRGINIA,TRUTV,3:05 PM,135,0.31,"1,164",3/22/19
16,TBS NCAA BSKBL CHP-DYFR1: UC IRVINE VS KANSAS ST,TBS NETWORK,1:51 PM,147,0.31,"1,046",3/22/19
17,TBS NCAA BSK CHP-BRG-DYFR,TBS NETWORK,4:18 PM,17,0.31,998,3/22/19
18,TUCKER CARLSON TONIGHT,FOX NEWS CHANNEL,8:00 PM,60,0.3,"3,199",3/22/19
19,RACHEL MADDOW SHOW,MSNBC,9:00 PM,60,0.3,"2,904",3/22/19
20,"DINERS, DRIVE INS & DIVES",FOOD NETWORK,9:00 PM,30,0.29,"1,087",3/22/19
21,RIDICULOUSNESS SSN13,MTV,8:00 PM,31,0.29,612,3/22/19
22,MY LOTTERY DREAM HOME,HOME AND GARDEN TV,9:00 PM,30,0.28,"1,635",3/22/19
23,REAL TIME WITH BILL MAHER,HBO PRIME,10:00 PM,57,0.27,"1,505",3/22/19
24,HANNITY,FOX NEWS CHANNEL,9:00 PM,60,0.23,"3,132",3/22/19
25,ANDERSON COOPER 360,CNN,8:00 PM,60,0.22,"1,056",3/22/19
26,LAST WORD W/ L. ODONNELL,MSNBC,10:00 PM,60,0.21,"1,969",3/22/19
27,SPORTSCENTER 12AM  L,ESPN,12:30 AM,90,0.21,459,3/22/19
28,SITUATION ROOM,CNN,6:00 PM,60,0.2,968,3/22/19
29,SPORTSCENTER AM      L,ESPN,7:00 AM,60,0.2,440,3/22/19
30,SECRETS OF THE MORGUE,INVESTIGATION DISCOVERY,11:00 PM,60,0.2,886,3/22/19
31,MAMA JUNE FROM NOT TO HOT,WETV,9:00 PM,60,0.19,672,3/22/19
32,SPECIAL RPT W/BRET BAIER,FOX NEWS CHANNEL,6:00 PM,60,0.19,"2,163",3/22/19
33,ERIN BURNETT OUTFRONT,CNN,7:00 PM,60,0.19,938,3/22/19
34,HARDBALL WITH C. MATTHEWS,MSNBC,7:00 PM,60,0.19,"1,778",3/22/19
35,"INGRAHAM ANGLE, THE",FOX NEWS CHANNEL,10:00 PM,60,0.19,"2,434",3/22/19
36,ANCIENT ALIENS AC,HISTORY,9:02 PM,61,0.19,958,3/22/19
37,FIRST TAKE   L: N/A,ESPN,10:00 AM,120,0.19,450,3/22/19
38,ALL IN W/ CHRIS HAYES,MSNBC,8:00 PM,60,0.18,"1,828",3/22/19
39,SITUATION ROOM,CNN,5:00 PM,60,0.18,"1,036",3/22/19
40,ANCIENT ALIENS AC,HISTORY,12:03 AM,60,0.18,724,3/22/19
41,"OFFICE, THE",NICK-AT-NITE,10:30 PM,30,0.18,507,3/22/19
42,SPECIAL RPT W/BRET BAIER,FOX NEWS CHANNEL,5:18 PM,42,0.18,"2,361",3/22/19
43,GHOST ADV REPACK: HISTORIC HAUNTINGS,TRAVEL CHANNEL,9:00 PM,120,0.18,471,3/22/19
44,"STORY, THE",FOX NEWS CHANNEL,7:00 PM,60,0.18,"1,870",3/22/19
45,TNT NCAA BSKBL CHP-DYFR1: NORTHERN KY VS TEXAS TECH,TURNER NETWORK TELEVISION,1:22 PM,145,0.18,600,3/22/19
46,BLAZE & THE MONSTER MCHNS,NICKELODEON,12:00 PM,30,0.18,814,3/22/19
47,"OFFICE, THE",NICK-AT-NITE,10:00 PM,30,0.17,579,3/22/19
48,BEAT W/ARI MELBER,MSNBC,6:00 PM,60,0.17,"1,970",3/22/19
49,SECRETS OF THE MORGUE,INVESTIGATION DISCOVERY,10:00 PM,60,0.17,862,3/22/19
50,GET UP   L: N/A,ESPN,8:00 AM,120,0.17,423,3/22/19
51,"FIVE, THE",FOX NEWS CHANNEL,5:00 PM,18,0.17,"2,205",3/22/19
52,ANDERSON COOPER 360,CNN,9:00 PM,60,0.17,891,3/22/19
53,TRU NCAA BSK POST GAME-FR,TRUTV,12:43 AM,56,0.16,446,3/22/19
54,MY 600-LB LIFE: SUPER SIZ: N/A,TLC,10:00 PM,120,0.16,588,3/22/19
55,DONT BE TARDY,BRAVO,9:00 PM,30,0.16,552,3/22/19
56,SPORTSCENTER MORNING    L,ESPN,2:00 AM,60,0.16,350,3/22/19
57,SPORTSCENTER AM      L,ESPN,12:00 PM,60,0.16,314,3/22/19
58,ANCIENT ALIENS AC,HISTORY,8:00 PM,60,0.15,863,3/22/19
59,11TH HOUR W/B. WILLIAMS,MSNBC,11:00 PM,60,0.15,"1,537",3/22/19
60,TRU NCAA BSKBL CHP-DYFR1: OKLAHOMA VS OLE MISS,TRUTV,12:34 PM,135,0.15,597,3/22/19
61,ELEAGUE,TBS NETWORK,12:35 AM,60,0.15,350,3/22/19
62,FOX NEWS AT NIGHT,FOX NEWS CHANNEL,11:00 PM,60,0.14,"1,308",3/22/19
63,CNN TONIGHT,CNN,10:00 PM,60,0.14,886,3/22/19
64,CONTACTO DEPORTIVO L,UNIVISION DEPORTES,12:22 AM,60,0.14,299,3/22/19
65,ANCIENT ALIENS AC,HISTORY,1:05 AM,61,0.14,634,3/22/19
66,THIS IS NOT HAPPENING,COMEDY CENTRAL,11:00 PM,30,0.14,289,3/22/19
67,FOX AND FRIENDS,FOX NEWS CHANNEL,8:00 AM,60,0.14,"1,657",3/22/19
68,FOX AND FRIENDS,FOX NEWS CHANNEL,7:00 AM,60,0.14,"1,342",3/22/19
69,MTP DAILY,MSNBC,5:00 PM,60,0.13,"1,718",3/22/19
70,CNN TONIGHT,CNN,11:00 PM,60,0.13,667,3/22/19
71,MY 600-LB LIFE: SUPER SIZ: N/A,TLC,8:00 PM,120,0.13,584,3/22/19
72,CNN NEWSROOM,CNN,3:00 PM,60,0.13,657,3/22/19
73,FUTBOL CENTRAL FRI,UNIVISION DEPORTES,9:30 PM,30,0.12,257,3/22/19
74,ANIMAL CRIBS,ANIMAL PLANET,9:00 PM,61,0.12,523,3/22/19
75,LEAD WITH JAKE TAPPER,CNN,4:00 PM,60,0.12,631,3/22/19
76,FOX AND FRIENDS,FOX NEWS CHANNEL,6:00 AM,60,0.12,"1,021",3/22/19
77,TNT NCAA BSK CHP-BRG-DYFR,TURNER NETWORK TELEVISION,3:47 PM,15,0.12,419,3/22/19
78,AMERICAS NEWSROOM,FOX NEWS CHANNEL,11:00 AM,60,0.11,"1,363",3/22/19
79,COLLEGE WRESTLING   L: NCAA WRSTLNG CHAMPIONSHIP,ESPN,8:00 PM,178,0.11,407,3/22/19
80,CNN NEWSROOM,CNN,9:00 AM,60,0.11,661,3/22/19
81,OUTNUMBERED,FOX NEWS CHANNEL,12:00 PM,60,0.11,"1,370",3/22/19
82,AMERICAS NEWSROOM,FOX NEWS CHANNEL,10:00 AM,60,0.11,"1,429",3/22/19
83,MORNING JOE: N/A,MSNBC,6:00 AM,180,0.11,"1,084",3/22/19
84,SYDNEY TO THE MAX,DISNEY CHANNEL,8:30 PM,30,0.11,517,3/22/19
85,AMERICAS NEWSROOM,FOX NEWS CHANNEL,9:00 AM,60,0.11,"1,527",3/22/19
86,CNN NEWSROOM,CNN,2:00 PM,60,0.11,613,3/22/19
87,DEADLINE:WHITE HOUSE,MSNBC,4:00 PM,60,0.1,"1,388",3/22/19
88,SPORTSCENTER LATE       L,ESPN,10:58 PM,92,0.1,233,3/22/19
89,AT THIS HOUR,CNN,11:00 AM,60,0.1,652,3/22/19
90,INSIDE POLITICS,CNN,12:00 PM,60,0.1,604,3/22/19
91,OTL – FIRST REPORT   L,ESPN,1:00 PM,30,0.09,201,3/22/19
92,FUTBOL CENTRAL L,UNIVISION DEPORTES,9:00 PM,30,0.09,201,3/22/19
93,OUTNUMBERED OVERTIME,FOX NEWS CHANNEL,1:00 PM,60,0.09,"1,172",3/22/19
94,CNN NEWSROOM,CNN,10:00 AM,60,0.09,692,3/22/19
95,BRIDEZILLAS,WETV,10:00 PM,60,0.09,286,3/22/19
96,NEW DAY,CNN,8:00 AM,60,0.09,568,3/22/19
97,YOUR WORLD W/NEIL CAVUTO,FOX NEWS CHANNEL,4:00 PM,60,0.09,"1,050",3/22/19
98,TEXAS FLIP AND MOVE,DIY NETWORK,9:00 PM,60,0.09,375,3/22/19
99,DAILY BRIEFING W/D.PERINO,FOX NEWS CHANNEL,2:00 PM,60,0.09,"1,136",3/22/19
100,GIGANTOSAURUS,DISNEY CHANNEL,9:00 AM,25,0.09,417,3/22/19
