ncaa_id,team
29,Arizona
107,California
301,Illinois
270,Hampton
654,Southeast Missouri State
629,San Francisco
651,South Florida
2,Abilene Christian
624,Sam Houston State
380,Maine
149,Coastal Carolina
28600,Lipscomb
493,North Dakota State
464,Omaha
563,Radford
368,UMass Lowell
590,Sacred Heart
663,Southern Methodist
109,UC Irvine
111,UC Riverside
392,Maryland
10411,USC Upstate
1092,Gardner-Webb
183,Denver
199,Tex. A&M-Commerce
315,Jacksonville St.
366,Louisiana Tech
423,Millersville
519,Ohio
541,Pepperdine
669,Missouri St.
693,Chattanooga
817,Youngstown St.
542,Pfeiffer
