team,team_id,season,jersey,name,position,height,academic_year,hometown,high_school,previous_school,url
Alabama,8,2026-27,7,Aaliyah Roberson,F,"6'2""",Senior,"San Antonio, Texas",Clark,TCU,https://rolltide.com/sports/womens-basketball/roster/aaliyah-roberson/17850
Alabama,8,2026-27,10,Kylie Torrence,F,"6'2""",Sophomore,"High Point, N.C.",Winston-Salem Christian,Cincinnati,https://rolltide.com/sports/womens-basketball/roster/kylie-torrence/17633
Alabama,8,2026-27,11,Tianna Chambers,G,"6'1""",Sophomore,"Aurora, Colo.",Cherry Creek,,https://rolltide.com/sports/womens-basketball/roster/tianna-chambers/17545
Alabama,8,2026-27,12,Brooke Coffey,G,,Senior,"St. Charles, Mo.",Incarnate Word,Lindenwood,https://rolltide.com/sports/womens-basketball/roster/brooke-coffey/17590
Alabama,8,2026-27,20,Leah Brooks,G,"6'3""",Junior,"Toney, Ala.",Hazel Green,,https://rolltide.com/sports/womens-basketball/roster/leah-brooks/17544
Alabama,8,2026-27,21,Amirah Anderson,G,"5'11""",Sophomore,"Stafford, Va.",Bishop Ireton,Boston College,https://rolltide.com/sports/womens-basketball/roster/amirah-anderson/17586
Alabama,8,2026-27,22,Caitlin Staley,F,"6'4""",Senior,"Augusta, Ga.",Greenbrier,Charlotte,https://rolltide.com/sports/womens-basketball/roster/caitlin-staley/17667
Alabama,8,2026-27,23,Paris Bradley,G,"5'9""",Junior,"Carrollton, Texas",Hebron,Louisiana Tech,https://rolltide.com/sports/womens-basketball/roster/paris-bradley/17588
Alabama,8,2026-27,31,Naomi Jones,F,"6'4""",Senior,"Jackson, Ala.",Jackson High School,,https://rolltide.com/sports/womens-basketball/roster/naomi-jones/17551
Arizona,29,2026-27,2,Arynn Finley,G,5' 10'',Freshman,"Rancho Cucamonga, Calif.",Etiwanda High School,,https://arizonawildcats.com/sports/womens-basketball/roster/arynn-finley/19624
Arizona,29,2026-27,3,Sumayah Sugapong,G,5' 7'',Senior,"San Diego, Calif.",La Jolla Country Day,UC San Diego,https://arizonawildcats.com/sports/womens-basketball/roster/sumayah-sugapong/19612
Arizona,29,2026-27,5,Molly Ladwig,G,5' 9'',Sophomore,"Omaha, Nebraska",Skutt Catholic,,https://arizonawildcats.com/sports/womens-basketball/roster/molly-ladwig/19611
Arizona,29,2026-27,8,Gerda Raulusaityte,F,6' 3'',Senior,"Varena, Lithuania",Vilnius Ozas Gymnasium,Southern California,https://arizonawildcats.com/sports/womens-basketball/roster/gerda-raulusaityte/19617
Arizona,29,2026-27,10,Callie Hinder,F,6' 6'',Freshman,"Chandler, Ariz.",Phoenix PHH Prep,,https://arizonawildcats.com/sports/womens-basketball/roster/callie-hinder/19619
