season,play_id,game_id,period_number,x_coord,y_coord,play_successful,home_score,visitor_score,play_time,player_name,player_team,player_team_id,play_action_type,play_action_sub_type,play_qualifiers
2022-23,2438769002,2324468,1,0,0,True,0,0,09:57:00,Stephanie Soares,Iowa St.,311,jumpball,won,,LEFT
2022-23,2438769003,2324468,1,0,0,True,0,0,09:57:00,Monika Czinano,Iowa,312,jumpball,lost,,RIGHT
2022-23,2438769004,2324468,1,6,55,False,0,0,09:46:00,Ashley Joens,Iowa St.,311,2pt,layup,pointsinthepaint;blocked;,LEFT
2022-23,2438769005,2324468,1,0,0,True,0,0,09:46:00,McKenna Warnock,Iowa,312,block,,,RIGHT
2022-23,2438769006,2324468,1,0,0,True,0,0,09:42:00,McKenna Warnock,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769007,2324468,1,85,41,True,2,0,09:38:00,Monika Czinano,Iowa,312,2pt,jumpshot,pointsinthepaint;,RIGHT
2022-23,2438769008,2324468,1,0,0,True,2,0,09:38:00,Kate Martin,Iowa,312,assist,,,RIGHT
2022-23,2438769009,2324468,1,4,97,False,2,0,09:14:00,Denae Fritz,Iowa St.,311,3pt,jumpshot,,LEFT
2022-23,2438769010,2324468,1,0,0,True,2,0,09:10:00,Monika Czinano,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769011,2324468,1,92,52,True,4,0,09:02:00,Monika Czinano,Iowa,312,2pt,layup,pointsinthepaint;,RIGHT
2022-23,2438769012,2324468,1,0,0,True,4,0,09:02:00,Caitlin Clark,Iowa,312,assist,,,RIGHT
2022-23,2438769013,2324468,1,20,44,True,4,0,08:50:00,McKenna Warnock,Iowa,312,foul,personal,,RIGHT
2022-23,2438769014,2324468,1,0,0,True,4,0,08:50:00,Ashley Joens,Iowa St.,311,foulon,,,LEFT
2022-23,2438769015,2324468,1,31,72,False,4,0,08:45:00,Lexi Donarski,Iowa St.,311,3pt,jumpshot,,LEFT
2022-23,2438769016,2324468,1,0,0,True,4,0,08:42:00,Stephanie Soares,Iowa St.,311,rebound,offensive,,LEFT
2022-23,2438769017,2324468,1,30,35,False,4,0,08:39:00,Ashley Joens,Iowa St.,311,3pt,jumpshot,2ndchance;,LEFT
2022-23,2438769018,2324468,1,0,0,True,4,0,08:37:00,Kate Martin,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769019,2324468,1,92,47,False,4,0,08:30:00,Caitlin Clark,Iowa,312,2pt,layup,pointsinthepaint;blocked;,RIGHT
2022-23,2438769020,2324468,1,0,0,True,4,0,08:30:00,Stephanie Soares,Iowa St.,311,block,,,LEFT
2022-23,2438769021,2324468,1,0,0,True,4,0,08:26:00,Denae Fritz,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769022,2324468,1,7,48,False,4,0,08:19:00,Ashley Joens,Iowa St.,311,2pt,layup,pointsinthepaint;,LEFT
2022-23,2438769023,2324468,1,0,0,True,4,0,08:17:00,Monika Czinano,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769024,2324468,1,81,53,False,4,0,08:00:00,Caitlin Clark,Iowa,312,2pt,jumpshot,pointsinthepaint;,RIGHT
2022-23,2438769025,2324468,1,0,0,True,4,0,07:57:00,Lexi Donarski,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769026,2324468,1,26,22,False,4,0,07:34:00,Denae Fritz,Iowa St.,311,3pt,jumpshot,,LEFT
2022-23,2438769027,2324468,1,0,0,True,4,0,07:31:00,Monika Czinano,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769028,2324468,1,91,52,True,6,0,07:14:00,Monika Czinano,Iowa,312,2pt,layup,pointsinthepaint;,RIGHT
2022-23,2438769029,2324468,1,0,0,True,6,0,07:14:00,Caitlin Clark,Iowa,312,assist,,,RIGHT
2022-23,2438769030,2324468,1,24,39,False,6,0,06:57:00,Stephanie Soares,Iowa St.,311,2pt,jumpshot,,LEFT
2022-23,2438769031,2324468,1,0,0,True,6,0,06:53:00,Caitlin Clark,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769032,2324468,1,63,52,False,6,0,06:50:00,Caitlin Clark,Iowa,312,3pt,jumpshot,,RIGHT
2022-23,2438769033,2324468,1,0,0,True,6,0,06:47:00,Stephanie Soares,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769034,2324468,1,33,62,True,6,3,06:41:00,Stephanie Soares,Iowa St.,311,3pt,jumpshot,,LEFT
2022-23,2438769035,2324468,1,0,0,True,6,3,06:41:00,Emily Ryan,Iowa St.,311,assist,,,LEFT
2022-23,2438769036,2324468,1,77,92,True,6,3,06:14:00,Stephanie Soares,Iowa St.,311,foul,personal,,LEFT
2022-23,2438769037,2324468,1,0,0,True,6,3,06:14:00,Monika Czinano,Iowa,312,foulon,,,RIGHT
2022-23,2438769038,2324468,1,0,0,True,6,3,06:14:00,Gabbie Marshall,Iowa,312,substitution,out,,RIGHT
2022-23,2438769039,2324468,1,0,0,True,6,3,06:14:00,Monika Czinano,Iowa,312,substitution,out,,RIGHT
2022-23,2438769040,2324468,1,0,0,True,6,3,06:14:00,Molly Davis,Iowa,312,substitution,in,,RIGHT
2022-23,2438769041,2324468,1,0,0,True,6,3,06:14:00,Addison O'Grady,Iowa,312,substitution,in,,RIGHT
2022-23,2438769042,2324468,1,0,0,True,6,3,06:14:00,Stephanie Soares,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769043,2324468,1,0,0,True,6,3,06:14:00,Morgan Kane,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769044,2324468,1,91,97,False,6,3,06:10:00,Caitlin Clark,Iowa,312,3pt,jumpshot,,RIGHT
2022-23,2438769045,2324468,1,0,0,True,6,3,06:07:00,Emily Ryan,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769046,2324468,1,10,52,False,6,3,05:59:00,Emily Ryan,Iowa St.,311,2pt,layup,pointsinthepaint;,LEFT
2022-23,2438769047,2324468,1,0,0,True,6,3,05:57:00,Addison O'Grady,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769048,2324468,1,92,52,False,6,3,05:32:00,Addison O'Grady,Iowa,312,2pt,layup,pointsinthepaint;,RIGHT
2022-23,2438769050,2324468,1,0,0,True,6,3,05:30:00,Denae Fritz,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769051,2324468,1,0,0,True,6,3,05:30:00,Maggie Espenmiller-McGraw,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769052,2324468,1,28,79,False,6,3,05:16:00,Ashley Joens,Iowa St.,311,3pt,jumpshot,,LEFT
2022-23,2438769053,2324468,1,0,0,True,6,3,05:13:00,McKenna Warnock,Iowa,312,rebound,defensive,,RIGHT
2022-23,2438769054,2324468,1,90,46,True,6,3,05:09:00,Lexi Donarski,Iowa St.,311,foul,personal,shooting;2freethrow;,LEFT
2022-23,2438769055,2324468,1,0,0,True,6,3,05:09:00,Caitlin Clark,Iowa,312,foulon,,,RIGHT
2022-23,2438769056,2324468,1,0,0,True,6,3,05:09:00,Ashley Joens,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769057,2324468,1,0,0,True,6,3,05:09:00,Nyamer Diew,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769058,2324468,1,0,0,True,7,3,05:09:00,Caitlin Clark,Iowa,312,freethrow,1of2,fastbreak;,RIGHT
2022-23,2438769059,2324468,1,0,0,True,7,3,05:09:00,Caitlin Clark,Iowa,312,freethrow,2of2,fastbreak;,RIGHT
2022-23,2438769060,2324468,1,0,0,True,7,3,05:08:00,Morgan Kane,Iowa St.,311,rebound,defensive,,LEFT
2022-23,2438769061,2324468,1,8,44,False,7,3,04:57:00,Morgan Kane,Iowa St.,311,2pt,layup,pointsinthepaint;blocked;,LEFT
2022-23,2438769062,2324468,1,0,0,True,7,3,04:57:00,Addison O'Grady,Iowa,312,block,,,RIGHT
2022-23,2438769065,2324468,1,0,0,True,7,3,04:57:00,McKenna Warnock,Iowa,312,substitution,out,,RIGHT
2022-23,2438769066,2324468,1,0,0,True,7,3,04:57:00,Addison O'Grady,Iowa,312,substitution,out,,RIGHT
2022-23,2438769067,2324468,1,0,0,True,7,3,04:57:00,Monika Czinano,Iowa,312,substitution,in,,RIGHT
2022-23,2438769068,2324468,1,0,0,True,7,3,04:57:00,Hannah Stuelke,Iowa,312,substitution,in,,RIGHT
2022-23,2438769069,2324468,1,0,0,True,7,3,04:57:00,Morgan Kane,Iowa St.,311,substitution,out,,LEFT
2022-23,2438769070,2324468,1,0,0,True,7,3,04:57:00,Stephanie Soares,Iowa St.,311,substitution,in,,LEFT
2022-23,2438769071,2324468,1,6,97,False,7,3,04:52:00,Nyamer Diew,Iowa St.,311,3pt,jumpshot,2ndchance;,LEFT
