season,play_id,game_id,period_number,x_coord,y_coord,play_successful,home_score,visitor_score,play_time,player_name,player_team,player_team_id,play_action_type,play_action_sub_type,play_qualifiers
2023-24,2566300507,3953890,1,0,0,True,0,0,10:00:00,Sharon Goodman,Iowa,312,jumpball,won,,LEFT
2023-24,2566300508,3953890,1,0,0,True,0,0,10:00:00,Serah Williams,Wisconsin,796,jumpball,lost,,RIGHT
2023-24,2566300509,3953890,1,20,9,False,0,0,09:42:00,Gabbie Marshall,Iowa,312,3pt,jumpshot,,LEFT
2023-24,2566300510,3953890,1,0,0,True,0,0,09:38:00,Sania Copeland,Wisconsin,796,rebound,defensive,,RIGHT
2023-24,2566300511,3953890,1,93,43,True,2,0,09:31:00,Serah Williams,Wisconsin,796,2pt,drivinglayup,pointsinthepaint;,RIGHT
2023-24,2566300512,3953890,1,0,0,True,2,0,09:31:00,Brooke Schramek,Wisconsin,796,assist,,,RIGHT
2023-24,2566300513,3953890,1,80,58,True,2,0,09:27:00,Sharon Goodman,Iowa,312,turnover,badpass,,LEFT
2023-24,2566300514,3953890,1,0,0,True,2,0,09:27:00,Sania Copeland,Wisconsin,796,steal,,,RIGHT
2023-24,2566300515,3953890,1,92,43,True,4,0,09:03:00,Ronnie Porter,Wisconsin,796,2pt,drivinglayup,fromturnover;pointsinthepaint;,RIGHT
2023-24,2566300516,3953890,1,8,60,True,4,2,08:52:00,Sharon Goodman,Iowa,312,2pt,layup,pointsinthepaint;,LEFT
2023-24,2566300517,3953890,1,0,0,True,4,2,08:52:00,Molly Davis,Iowa,312,assist,,,LEFT
2023-24,2566300518,3953890,1,86,52,True,4,2,08:38:00,Ronnie Porter,Wisconsin,796,turnover,badpass,,RIGHT
2023-24,2566300519,3953890,1,0,0,True,4,2,08:38:00,Molly Davis,Iowa,312,steal,,,LEFT
2023-24,2566300520,3953890,1,9,56,False,4,2,08:30:00,Gabbie Marshall,Iowa,312,2pt,drivinglayup,fromturnover;pointsinthepaint;,LEFT
2023-24,2566300522,3953890,1,21,88,False,4,2,08:27:00,Caitlin Clark,Iowa,312,3pt,jumpshot,2ndchance;fromturnover;,LEFT
2023-24,2566300523,3953890,1,0,0,True,4,2,08:22:00,Sharon Goodman,Iowa,312,rebound,offensive,,LEFT
2023-24,2566300524,3953890,1,10,56,True,4,4,08:22:00,Sharon Goodman,Iowa,312,2pt,layup,2ndchance;fromturnover;pointsinthepaint;,LEFT
2023-24,2566300525,3953890,1,90,56,True,6,4,08:08:00,Serah Williams,Wisconsin,796,2pt,layup,pointsinthepaint;,RIGHT
2023-24,2566300526,3953890,1,0,0,True,6,4,08:08:00,Ronnie Porter,Wisconsin,796,assist,,,RIGHT
2023-24,2566300527,3953890,1,18,53,True,6,4,07:54:00,Sharon Goodman,Iowa,312,turnover,badpass,,LEFT
2023-24,2566300528,3953890,1,0,0,True,6,4,07:54:00,Brooke Schramek,Wisconsin,796,steal,,,RIGHT
2023-24,2566300529,3953890,1,90,55,True,8,4,07:47:00,Sania Copeland,Wisconsin,796,2pt,drivinglayup,fromturnover;pointsinthepaint;fastbreak;,RIGHT
2023-24,2566300530,3953890,1,9,58,False,8,4,07:31:00,Kate Martin,Iowa,312,2pt,layup,pointsinthepaint;,LEFT
2023-24,2566300531,3953890,1,0,0,True,8,4,07:28:00,Serah Williams,Wisconsin,796,rebound,defensive,,RIGHT
2023-24,2566300532,3953890,1,90,47,True,8,4,07:24:00,Ronnie Porter,Wisconsin,796,turnover,badpass,,RIGHT
2023-24,2566300533,3953890,1,0,0,True,8,4,07:24:00,Kate Martin,Iowa,312,steal,,,LEFT
2023-24,2566300534,3953890,1,0,0,True,8,4,07:24:00,Sharon Goodman,Iowa,312,substitution,out,,LEFT
2023-24,2566300535,3953890,1,0,0,True,8,4,07:24:00,Hannah Stuelke,Iowa,312,substitution,in,,LEFT
2023-24,2566300536,3953890,1,0,0,True,8,4,07:24:00,Serah Williams,Wisconsin,796,substitution,out,,RIGHT
2023-24,2566300537,3953890,1,0,0,True,8,4,07:24:00,Halle Douglass,Wisconsin,796,substitution,in,,RIGHT
2023-24,2566300538,3953890,1,10,53,True,8,4,07:16:00,Sania Copeland,Wisconsin,796,foul,personal,,RIGHT
2023-24,2566300539,3953890,1,0,0,True,8,4,07:16:00,Caitlin Clark,Iowa,312,foulon,,,LEFT
2023-24,2566300540,3953890,1,13,5,False,8,4,07:02:00,Molly Davis,Iowa,312,3pt,jumpshot,fromturnover;,LEFT
2023-24,2566300541,3953890,1,0,0,True,8,4,06:58:00,Brooke Schramek,Wisconsin,796,rebound,defensive,,RIGHT
2023-24,2566300542,3953890,1,91,45,False,8,4,06:34:00,Halle Douglass,Wisconsin,796,2pt,drivinglayup,pointsinthepaint;,RIGHT
2023-24,2566300543,3953890,1,0,0,True,8,4,06:31:00,Caitlin Clark,Iowa,312,rebound,defensive,,LEFT
2023-24,2566300544,3953890,1,11,49,True,8,4,06:17:00,Natalie Leuzinger,Wisconsin,796,foul,personal,shooting;2freethrow;,RIGHT
2023-24,2566300545,3953890,1,0,0,True,8,4,06:17:00,Hannah Stuelke,Iowa,312,foulon,,,LEFT
2023-24,2566300546,3953890,1,0,0,True,8,4,06:17:00,Molly Davis,Iowa,312,substitution,out,,LEFT
2023-24,2566300547,3953890,1,0,0,True,8,4,06:17:00,Sydney Affolter,Iowa,312,substitution,in,,LEFT
