ncaa_id,team_name,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
721,Air Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,26,33,7,32,32
697,Texas A&M,0,0,0,0,32,32,37,35,34,38,35,35,36,33,32,34,36,34,30,28,29,29,32,29
8,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,31,30,27,34,31,34,31
29,Arizona,0,0,0,0,0,0,30,31,31,33,32,30,30,30,32,30,30,37,31,27,29,32,34,33
725,Army,0,0,0,0,0,0,0,0,0,29,30,31,33,31,32,31,31,30,31,20,29,30,29,31
37,Auburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,29,24,28,31,32,0
796,Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,30,33,31,24,29,31,32,30
51,Baylor,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,37,33,38,30,31,35,33,34,36
52,Bellarmine,0,0,0,0,0,0,0,0,0,0,0,30,27,27,28,30,28,29,29,22,28,31,29,33
67,Boston College,0,0,0,0,0,0,0,0,32,33,29,31,31,29,31,30,30,30,32,19,33,33,33,34
528,Oregon State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,33,34,32,20,31,31,35,35
14927,Belmont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,36
596,St. Bonaventure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,30,30
107,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,33,31,17,24,30,34,34
415,Miami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,31,28
30135,California Baptist,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,38,29,30,31,27,32,35,32,31
136,Chicago State,0,0,0,0,0,0,0,0,0,0,0,30,30,29,29,29,30,30,28,14,27,28,27,33
147,Clemson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Central Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,27,29,29,28,31
169,Creighton,0,0,0,0,0,0,0,0,0,0,0,33,34,31,35,32,32,31,30,22,32,31,32,28
157,Colorado,0,0,0,0,30,30,34,28,30,34,35,32,34,32,30,33,31,30,30,23,31,34,34,32
165,Coppin State,0,0,0,0,0,0,0,0,0,0,0,32,31,29,32,29,29,30,29,15,28,30,30,33
688,Syracuse,0,0,0,0,0,0,0,0,0,0,0,32,33,32,38,33,31,34,31,24,29,33,32,30
311,Iowa State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,35,29,28,35,32,33,35
175,Dayton,0,0,0,0,0,0,0,0,33,33,30,31,31,35,29,32,30,31,33,19,32,28,31,31
189,Drake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,35,34
193,Duke,0,0,0,0,0,0,0,0,0,0,0,36,35,34,32,34,33,30,30,4,30,33,34,37
194,Duquesne,0,0,0,0,0,27,30,32,32,33,32,32,32,33,34,34,33,32,31,16,29,31,34,33
648,South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35,37,36,33,32,31,35,38,39,38
794,Green Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,32,22,27,34,34,35
251,Georgetown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,17,29,31,35,31
649,South Dakota State,0,0,0,0,0,0,0,35,0,0,0,0,0,0,34,32,33,35,33,25,36,35,33,34
249,George Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,29,33,30,30,23,31,31,31,31
430,Mississippi State,0,0,0,0,0,32,31,33,34,30,30,30,36,34,36,39,39,36,33,19,29,33,35,32
742,Virginia Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,30,25,33,36,33,0
