ncaa_id,game_id,date,team,opponent,official
697,18187,12/1/2021,Texas A&M,Little Rock,Fatou Cissoko-Stephens
697,18187,12/1/2021,Texas A&M,Little Rock,Jody Cantrell
697,18187,12/1/2021,Texas A&M,Little Rock,Bryan Enterline
8,13336,11/14/2021,Alabama,Tulane,Stephanie Barksdale
8,13336,11/14/2021,Alabama,Tulane,Teresa Stuck
8,13336,11/14/2021,Alabama,Tulane,Joseph Vaszily
8,13361,1/30/2022,Alabama,Missouri,Christopher Sauceda
8,13361,1/30/2022,Alabama,Missouri,Meadow Overstreet
8,13361,1/30/2022,Alabama,Missouri,Beverly Roberts
8,13341,11/28/2021,Alabama,Bethune-Cookman,Ify Seales
8,13341,11/28/2021,Alabama,Bethune-Cookman,Ashlee Goode
8,13341,11/28/2021,Alabama,Bethune-Cookman,Cameron Inouye
8,13340,11/26/2021,Alabama,Western Caro.,Starr Jefferson
8,13340,11/26/2021,Alabama,Western Caro.,Greg Small
8,13340,11/26/2021,Alabama,Western Caro.,Doug Knight
8,13337,11/17/2021,Alabama,Southern Miss.,Royce Blevins
8,13337,11/17/2021,Alabama,Southern Miss.,Ashlee Goode
8,13337,11/17/2021,Alabama,Southern Miss.,Beverly Roberts
8,13598,3/2/2022,Alabama,Auburn,Cameron Inouye
8,13598,3/2/2022,Alabama,Auburn,Angelica Suffren
8,13598,3/2/2022,Alabama,Auburn,Dee Kantner
8,13345,12/13/2021,Alabama,Sam Houston,Jody Cantrell
8,13345,12/13/2021,Alabama,Sam Houston,Fatou CIssoko-Stephans
8,13345,12/13/2021,Alabama,Sam Houston,Dawn Marsh
8,13365,2/17/2022,Alabama,Tennessee,Karen Preato
8,13365,2/17/2022,Alabama,Tennessee,Brian Garland
8,13365,2/17/2022,Alabama,Tennessee,Cameron Inouye
8,13364,2/13/2022,Alabama,Kentucky,Maggie Tieman
8,13364,2/13/2022,Alabama,Kentucky,Angelica Suffren
8,13364,2/13/2022,Alabama,Kentucky,Mark Zentz
8,13368,2/27/2022,Alabama,Vanderbilt,Teresa Stuck
8,13368,2/27/2022,Alabama,Vanderbilt,Brian Enterline
8,13368,2/27/2022,Alabama,Vanderbilt,Joesph Vaszily
8,13359,1/20/2022,Alabama,Arkansas,Luis Gonzalez
8,13359,1/20/2022,Alabama,Arkansas,Katie Lukanich
8,13359,1/20/2022,Alabama,Arkansas,Denise Brooks
8,13355,1/6/2022,Alabama,Mississippi St.,Luis Gonzalez
8,13355,1/6/2022,Alabama,Mississippi St.,Cameron Inouye
8,13355,1/6/2022,Alabama,Mississippi St.,Angelica Suffren
8,13343,12/3/2021,Alabama,Houston,Christopher Sauceda
8,13343,12/3/2021,Alabama,Houston,Karleena Tobin
8,13343,12/3/2021,Alabama,Houston,Kevin Pethtel
8,13339,11/24/2021,Alabama,Mercer,Meadow Overstreet
8,13339,11/24/2021,Alabama,Mercer,William L. Smith
8,13339,11/24/2021,Alabama,Mercer,Karen Preato
8,13342,11/30/2021,Alabama,Memphis,Nykesha Thompson
8,13342,11/30/2021,Alabama,Memphis,Eric Koch
8,13342,11/30/2021,Alabama,Memphis,Beverly Roberts
8,13354,1/2/2022,Alabama,Auburn,Saif Esho
8,13354,1/2/2022,Alabama,Auburn,Maggie Tieman
8,13354,1/2/2022,Alabama,Auburn,William Smith
8,13335,11/9/2021,Alabama,Charleston So.,Natosha Harris
8,13335,11/9/2021,Alabama,Charleston So.,Timothy Greenee
8,13335,11/9/2021,Alabama,Charleston So.,Dawn Marsh
8,13358,1/16/2022,Alabama,Florida,Timothy Greenee
8,13358,1/16/2022,Alabama,Florida,Kylie Galloway
8,13358,1/16/2022,Alabama,Florida,Brian Garland
29,26280,3/3/2022,Arizona,Colorado,Benny Luna
29,26280,3/3/2022,Arizona,Colorado,In'Fini Robinson
29,26280,3/3/2022,Arizona,Colorado,Lisa Jones
29,25855,11/12/2021,Arizona,Louisville,Roy Gulbeyan
29,25855,11/12/2021,Arizona,Louisville,Katie Lukanich
29,25855,11/12/2021,Arizona,Louisville,Maj Forsberg
29,25859,11/27/2021,Arizona,Rutgers,Tim Resch
29,25859,11/27/2021,Arizona,Rutgers,Bruce Morris
29,25859,11/27/2021,Arizona,Rutgers,Karleena Tobin
29,25854,11/9/2021,Arizona,Csun,Sha'Rae Mitchell
29,25854,11/9/2021,Arizona,Csun,Brian Woods
29,25854,11/9/2021,Arizona,Csun,Melissa Barlow
29,25897,2/24/2022,Arizona,Ucla,Brian Woods
29,25897,2/24/2022,Arizona,Ucla,Kyle Bacon
29,25897,2/24/2022,Arizona,Ucla,Michol Murray
29,25890,1/23/2022,Arizona,Colorado,Kelly Broomfield
29,25890,1/23/2022,Arizona,Colorado,Brian Woods
29,25890,1/23/2022,Arizona,Colorado,Anita Ortega
29,25864,12/9/2021,Arizona,North Dakota St.,Clarke Stevens
29,25864,12/9/2021,Arizona,North Dakota St.,In'Fini Robinson
29,25864,12/9/2021,Arizona,North Dakota St.,Michol Murray
29,25892,2/4/2022,Arizona,Oregon,Tyler Trimble
29,25892,2/4/2022,Arizona,Oregon,Kenneth Nash
29,25892,2/4/2022,Arizona,Oregon,Lisa Jones
29,25885,1/7/2022,Arizona,Washington St.,In'Fini Robinson
29,25885,1/7/2022,Arizona,Washington St.,Robert Woods
29,25885,1/7/2022,Arizona,Washington St.,Mike Price
29,25903,2/6/2022,Arizona,Oregon St.,Darren Krzesnik
29,25903,2/6/2022,Arizona,Oregon St.,Kyle Bacon
29,25903,2/6/2022,Arizona,Oregon St.,Anita Ortega
29,25889,1/21/2022,Arizona,Utah,Alecia Murray
29,25889,1/21/2022,Arizona,Utah,In'Fini Robinson
29,25889,1/21/2022,Arizona,Utah,Lisa Jones
29,25866,11/15/2021,Arizona,Texas Southern,Stacie Blow
29,25866,11/15/2021,Arizona,Texas Southern,Kenneth Nash
29,25866,11/15/2021,Arizona,Texas Southern,Anita Ortega
29,25857,11/25/2021,Arizona,Vanderbilt,Sarah Williams
29,25857,11/25/2021,Arizona,Vanderbilt,Karleena Tobin
29,25857,11/25/2021,Arizona,Vanderbilt,Rod Creech
29,25894,2/13/2022,Arizona,Arizona St.,Brian Woods
29,25894,2/13/2022,Arizona,Arizona St.,Tyler Trimble
29,25894,2/13/2022,Arizona,Arizona St.,Melissa Barlow
29,25898,2/26/2022,Arizona,Southern California,Kenneth Nash
29,25898,2/26/2022,Arizona,Southern California,Anita Ortega
29,25898,2/26/2022,Arizona,Southern California,Melissa Barlow
29,25860,12/12/2021,Arizona,New Mexico,Rochelle Bennett
29,25860,12/12/2021,Arizona,New Mexico,Karen Lasuik
29,25860,12/12/2021,Arizona,New Mexico,Robert Scofield
29,25856,11/19/2021,Arizona,Marist,Marc Merritt
29,25856,11/19/2021,Arizona,Marist,Cheryl Flores
29,25856,11/19/2021,Arizona,Marist,Michael Price
725,13064,2/9/2022,Army West Point,Boston U.,Rich Fetter
725,13064,2/9/2022,Army West Point,Boston U.,Lori Deutsch
725,13064,2/9/2022,Army West Point,Boston U.,Kevin Farlow
725,13044,11/18/2021,Army West Point,Quinnipiac,Shawn Goode
725,13044,11/18/2021,Army West Point,Quinnipiac,Kaitlyn Tortorice
725,13044,11/18/2021,Army West Point,Quinnipiac,Scott Berkins
725,13069,2/26/2022,Army West Point,Holy Cross,Gary Schimel
725,13069,2/26/2022,Army West Point,Holy Cross,Katie Wood
725,13069,2/26/2022,Army West Point,Holy Cross,Corey Pothier
725,13065,2/12/2022,Army West Point,Navy,Warren Harding
725,13065,2/12/2022,Army West Point,Navy,Elizabeth Kuzmeski
725,13065,2/12/2022,Army West Point,Navy,Scott Osborne
725,13049,12/4/2021,Army West Point,Rider,Michael Vangelder
725,13049,12/4/2021,Army West Point,Rider,Ashley Olsen
725,13049,12/4/2021,Army West Point,Rider,Michael Henderson
725,13042,1/31/2022,Army West Point,Immaculata,Ashley Olsen
725,13042,1/31/2022,Army West Point,Immaculata,Laura Isabelle
725,13042,1/31/2022,Army West Point,Immaculata,Brian Callahan
725,13062,1/29/2022,Army West Point,Lafayette,Paolo Trujillo
725,13062,1/29/2022,Army West Point,Lafayette,Lamar Diamond
725,13062,1/29/2022,Army West Point,Lafayette,Carlos Alvarez
725,13056,1/8/2022,Army West Point,Colgate,Deidra Chatman
725,13056,1/8/2022,Army West Point,Colgate,Ryan Nunes
725,13056,1/8/2022,Army West Point,Colgate,Keith Miller
725,13061,1/26/2022,Army West Point,Lehigh,Katlyn Tortorice
725,13061,1/26/2022,Army West Point,Lehigh,Lori Deutsch
725,13061,1/26/2022,Army West Point,Lehigh,Geraldine Smith Washington
725,13070,3/2/2022,Army West Point,Loyola Maryland,Gine Catanzariti
725,13070,3/2/2022,Army West Point,Loyola Maryland,Ashlee Goode
725,13070,3/2/2022,Army West Point,Loyola Maryland,Pastor Torres
725,13046,11/24/2021,Army West Point,Air Force,Ashlee Goode
725,13046,11/24/2021,Army West Point,Air Force,Nyesha Thompson
725,13046,11/24/2021,Army West Point,Air Force,Tom Danaher
725,13047,11/26/2021,Army West Point,Maine,Kevin Ruland
725,13047,11/26/2021,Army West Point,Maine,Gina Catanzariti
725,13047,11/26/2021,Army West Point,Maine,Norma Jones
725,13067,2/19/2022,Army West Point,American,Gary Schimel
725,13067,2/19/2022,Army West Point,American,Katie Wood
725,13067,2/19/2022,Army West Point,American,Corey Pothier
37,20051,11/16/2021,Auburn,Alabama St.,Kaz Beverley
37,20051,11/16/2021,Auburn,Alabama St.,Ashlee Goode
37,20051,11/16/2021,Auburn,Alabama St.,Luis Gonzalez
37,20088,1/23/2022,Auburn,Alabama,Metta Christensen
37,20088,1/23/2022,Auburn,Alabama,Roy Gulbeyan
37,20088,1/23/2022,Auburn,Alabama,Eric Brewton
37,20089,1/27/2022,Auburn,Tennessee,Fatou Cissoko-Stephens
37,20089,1/27/2022,Auburn,Tennessee,Bryan Enterline
37,20089,1/27/2022,Auburn,Tennessee,Dee Kantner
37,20085,1/9/2022,Auburn,Lsu,Ify Seales
37,20085,1/9/2022,Auburn,Lsu,Saif Esho
37,20085,1/9/2022,Auburn,Lsu,Denise Brooks
37,20093,2/14/2022,Auburn,Florida,Karleena Tobin
37,20093,2/14/2022,Auburn,Florida,Beverly Roberts
37,20093,2/14/2022,Auburn,Florida,Mark Zentz
37,20082,1/25/2022,Auburn,Kentucky,Meadow Overstreet
37,20082,1/25/2022,Auburn,Kentucky,Michael McConnell
37,20082,1/25/2022,Auburn,Kentucky,Felicia Grinter
37,20095,2/20/2022,Auburn,Georgia,Kristen Bell
37,20095,2/20/2022,Auburn,Georgia,Doug Knight
37,20095,2/20/2022,Auburn,Georgia,Eric Brewton
37,20059,12/20/2021,Auburn,Kennesaw St.,Eric Baker
37,20059,12/20/2021,Auburn,Kennesaw St.,Fatou Cissoko-Stephens
37,20059,12/20/2021,Auburn,Kennesaw St.,Billy Smith
37,20096,2/24/2022,Auburn,Ole Miss,Talisa Green
37,20096,2/24/2022,Auburn,Ole Miss,Saif Esho
37,20096,2/24/2022,Auburn,Ole Miss,Cameron Inouye
37,20055,12/5/2021,Auburn,Oklahoma St.,Bill Larance
37,20055,12/5/2021,Auburn,Oklahoma St.,Beverly Roberts
37,20055,12/5/2021,Auburn,Oklahoma St.,Bryan Enterline
37,20054,11/30/2021,Auburn,North Florida,Kaz Beverley
37,20054,11/30/2021,Auburn,North Florida,Kristen Bell
37,20054,11/30/2021,Auburn,North Florida,Felicia Grinter
37,20058,12/18/2021,Auburn,Grambling,Teresa Stuck
37,20058,12/18/2021,Auburn,Grambling,Carla Fountain
37,20058,12/18/2021,Auburn,Grambling,Denise Brooks
37,20053,11/26/2021,Auburn,Charleston So.,Tim Daley
37,20053,11/26/2021,Auburn,Charleston So.,Christopher Sauceda
37,20053,11/26/2021,Auburn,Charleston So.,Angelica Suffren
37,20049,11/11/2021,Auburn,Ga. Southern,Teresa Stuck
37,20049,11/11/2021,Auburn,Ga. Southern,Starr Jefferson
37,20049,11/11/2021,Auburn,Ga. Southern,Denise Brooks
37,20091,2/3/2022,Auburn,Mississippi St.,Timothy Greenee
37,20091,2/3/2022,Auburn,Mississippi St.,Angelica Suffren
37,20091,2/3/2022,Auburn,Mississippi St.,Pualani Spurlock
796,13727,11/22/2021,Wisconsin,Chicago St.,Jamie Broderick
796,13727,11/22/2021,Wisconsin,Chicago St.,Karleena Tobin
796,13727,11/22/2021,Wisconsin,Chicago St.,Brian Hall
796,13731,12/1/2021,Wisconsin,Virginia Tech,Tiara Cruse
796,13731,12/1/2021,Wisconsin,Virginia Tech,Mark Berger
796,13731,12/1/2021,Wisconsin,Virginia Tech,Beverly Roberts
796,13834,1/5/2022,Wisconsin,Indiana,Angelica Suffren
796,13834,1/5/2022,Wisconsin,Indiana,Nykesha Thompson
796,13834,1/5/2022,Wisconsin,Indiana,Michael McConnell
796,13863,2/6/2022,Wisconsin,Illinois,Mark Resch
796,13863,2/6/2022,Wisconsin,Illinois,Cameron Inouye
796,13863,2/6/2022,Wisconsin,Illinois,Angie Enlund
796,13862,2/3/2022,Wisconsin,Iowa,Erika Herriman
796,13862,2/3/2022,Wisconsin,Iowa,Tiara Cruse
796,13862,2/3/2022,Wisconsin,Iowa,Beverly Roberts
796,13869,2/23/2022,Wisconsin,Nebraska,Angelica Suffren
796,13869,2/23/2022,Wisconsin,Nebraska,Tiara Cruse
796,13869,2/23/2022,Wisconsin,Nebraska,Gina Cross
796,13832,12/9/2021,Wisconsin,Michigan,Angelica Suffren
796,13832,12/9/2021,Wisconsin,Michigan,Felicia Grinter
796,13832,12/9/2021,Wisconsin,Michigan,Gina Cross
796,13867,2/13/2022,Wisconsin,Purdue,Xiomara Cruz
796,13867,2/13/2022,Wisconsin,Purdue,Erika Herriman
796,13867,2/13/2022,Wisconsin,Purdue,Bryan Enterline
