Conference,Team,Season,Away,Home,Neutral,Diff
A-10 WBB,Davidson,2017-2018,19.941176470588236,20.307692307692307,NA,0.3665158371040711
A-10 WBB,Davidson,2018-2019,19,15.733333333333333,NA,-3.2666666666666675
A-10 WBB,Davidson,2019-2020,17.055555555555557,17.46153846153846,NA,0.40598290598290276
A-10 WBB,Davidson,2020-2021,16,18.083333333333332,NA,2.083333333333332
A-10 WBB,Davidson,2021-2022,17.5,17.733333333333334,NA,0.23333333333333428
A-10 WBB,Davidson,2022-2023,17.466666666666665,15.8,18,-1.6666666666666643
A-10 WBB,Davidson,2023-2024,18.77777777777778,15.153846153846153,NA,-3.6239316239316253
A-10 WBB,Dayton,2017-2018,16.615384615384617,15.4375,18,-1.1778846153846168
A-10 WBB,Dayton,2018-2019,20.125,19.466666666666665,NA,-0.658333333333335
A-10 WBB,Dayton,2019-2020,19,15.277777777777779,NA,-3.7222222222222214
A-10 WBB,Dayton,2020-2021,17.666666666666668,17.4,NA,-0.26666666666666927
A-10 WBB,Dayton,2021-2022,17.214285714285715,14.444444444444445,NA,-2.7698412698412707
A-10 WBB,Dayton,2022-2023,16.727272727272727,17.153846153846153,18.25,0.4265734265734267
A-10 WBB,Dayton,2023-2024,17.375,19.181818181818183,19.5,1.8068181818181834
A-10 WBB,Duquesne,2017-2018,17.38888888888889,17.266666666666666,NA,-0.12222222222222356
A-10 WBB,Duquesne,2018-2019,16.4375,16.875,NA,0.4375
A-10 WBB,Duquesne,2019-2020,16.352941176470587,17,NA,0.647058823529413
A-10 WBB,Duquesne,2020-2021,17.454545454545453,17.2,NA,-0.25454545454545396
A-10 WBB,Duquesne,2021-2022,16.357142857142858,15.866666666666667,NA,-0.4904761904761905
A-10 WBB,Duquesne,2022-2023,14.75,14.764705882352942,14,0.014705882352942012
A-10 WBB,Duquesne,2023-2024,15.8,17.9,15,2.099999999999998
A-10 WBB,Fordham,2017-2018,14.333333333333334,14.31578947368421,NA,-0.017543859649123306
A-10 WBB,Fordham,2018-2019,12.642857142857142,13.8,NA,1.1571428571428584
A-10 WBB,Fordham,2019-2020,16.733333333333334,14.352941176470589,NA,-2.3803921568627455
A-10 WBB,Fordham,2020-2021,16.22222222222222,13.555555555555555,NA,-2.666666666666666
A-10 WBB,Fordham,2021-2022,15.461538461538462,15.25,NA,-0.21153846153846168
A-10 WBB,Fordham,2022-2023,15.538461538461538,15.875,13.333333333333334,0.3365384615384617
A-10 WBB,Fordham,2023-2024,16.4,15.333333333333334,NA,-1.0666666666666647
A-10 WBB,George Mason,2017-2018,16.571428571428573,14.35,NA,-2.2214285714285733
A-10 WBB,George Mason,2018-2019,17.533333333333335,15.666666666666666,NA,-1.866666666666669
A-10 WBB,George Mason,2019-2020,17.8,17.2,NA,-0.6000000000000014
A-10 WBB,George Mason,2020-2021,14,15.833333333333334,NA,1.833333333333334
A-10 WBB,George Mason,2021-2022,16.125,15.76923076923077,NA,-0.35576923076922995
A-10 WBB,George Mason,2022-2023,16.727272727272727,14.866666666666667,19.6,-1.8606060606060595
A-10 WBB,George Mason,2023-2024,17.75,16.444444444444443,NA,-1.3055555555555571
A-10 WBB,George Washington,2017-2018,14.625,13.529411764705882,NA,-1.0955882352941178
A-10 WBB,George Washington,2018-2019,14.714285714285714,13.5,NA,-1.2142857142857135
A-10 WBB,George Washington,2019-2020,14.6,13.2,NA,-1.4000000000000004
A-10 WBB,George Washington,2020-2021,16.09090909090909,12.666666666666666,NA,-3.424242424242424
A-10 WBB,George Washington,2021-2022,16.846153846153847,14.722222222222221,NA,-2.1239316239316253
A-10 WBB,George Washington,2022-2023,18.384615384615383,14.285714285714286,17.5,-4.098901098901097
A-10 WBB,George Washington,2023-2024,18,15.818181818181818,19.333333333333332,-2.1818181818181817
A-10 WBB,La Salle,2017-2018,17.11111111111111,17.166666666666668,NA,0.055555555555557135
A-10 WBB,La Salle,2018-2019,19.72222222222222,18.076923076923077,NA,-1.6452991452991448
A-10 WBB,La Salle,2019-2020,15.733333333333333,20,NA,4.2666666666666675
A-10 WBB,La Salle,2020-2021,17.833333333333332,17.785714285714285,NA,-0.04761904761904745
A-10 WBB,La Salle,2021-2022,15.833333333333334,16.625,NA,0.7916666666666661
A-10 WBB,La Salle,2022-2023,16.3125,16,21,-0.3125
A-10 WBB,La Salle,2023-2024,18.272727272727273,17.22222222222222,NA,-1.050505050505052
A-10 WBB,Loyola (IL),2022-2023,16.214285714285715,14.615384615384615,12.333333333333334,-1.5989010989011003
A-10 WBB,Loyola (IL),2023-2024,16.9,17.5,NA,0.6000000000000014
A-10 WBB,Massachusetts,2017-2018,17.214285714285715,13.875,NA,-3.3392857142857153
A-10 WBB,Massachusetts,2018-2019,17.625,15.9375,NA,-1.6875
A-10 WBB,Massachusetts,2019-2020,16.142857142857142,14.058823529411764,NA,-2.084033613445378
A-10 WBB,Massachusetts,2020-2021,16.333333333333332,16.166666666666668,NA,-0.1666666666666643
A-10 WBB,Massachusetts,2021-2022,15.666666666666666,13.88888888888889,NA,-1.7777777777777768
A-10 WBB,Massachusetts,2022-2023,15.923076923076923,13.5625,17,-2.3605769230769234
A-10 WBB,Massachusetts,2023-2024,19,18.11111111111111,18,-0.8888888888888893
A-10 WBB,Rhode Island,2017-2018,17.8125,21,NA,3.1875
A-10 WBB,Rhode Island,2018-2019,19,19.5,NA,0.5
A-10 WBB,Rhode Island,2019-2020,16.2,14.214285714285714,NA,-1.9857142857142858
A-10 WBB,Rhode Island,2020-2021,15,12.545454545454545,NA,-2.454545454545455
A-10 WBB,Rhode Island,2021-2022,12.923076923076923,12.5,NA,-0.42307692307692335
A-10 WBB,Rhode Island,2022-2023,17,14.8125,14.5,-2.1875
A-10 WBB,Rhode Island,2023-2024,15,14.454545454545455,21,-0.545454545454545
A-10 WBB,Richmond,2017-2018,18.6875,18.866666666666667,NA,0.17916666666666714
A-10 WBB,Richmond,2018-2019,17.571428571428573,16.375,NA,-1.196428571428573
A-10 WBB,Richmond,2019-2020,16.210526315789473,17.846153846153847,NA,1.6356275303643741
A-10 WBB,Richmond,2020-2021,16.076923076923077,14.444444444444445,NA,-1.632478632478632
A-10 WBB,Richmond,2021-2022,16.428571428571427,15.625,NA,-0.803571428571427
A-10 WBB,Richmond,2022-2023,14.333333333333334,13,14,-1.333333333333334
A-10 WBB,Richmond,2023-2024,16.444444444444443,13,12.25,-3.444444444444443
A-10 WBB,Saint Joseph's,2017-2018,17.65,15.142857142857142,NA,-2.5071428571428562
A-10 WBB,Saint Joseph's,2018-2019,17.714285714285715,16.058823529411764,NA,-1.6554621848739508
A-10 WBB,Saint Joseph's,2019-2020,16.25,15.764705882352942,NA,-0.485294117647058
A-10 WBB,Saint Joseph's,2020-2021,20,19.11111111111111,NA,-0.8888888888888893
A-10 WBB,Saint Joseph's,2021-2022,14.4375,15.071428571428571,NA,0.6339285714285712
A-10 WBB,Saint Joseph's,2022-2023,14.76923076923077,12.6875,13.5,-2.08173076923077
A-10 WBB,Saint Joseph's,2023-2024,12.090909090909092,12.166666666666666,NA,0.07575757575757436
A-10 WBB,Saint Louis,2017-2018,21.352941176470587,16.75,NA,-4.602941176470587
A-10 WBB,Saint Louis,2018-2019,17.333333333333332,16.0625,NA,-1.2708333333333321
A-10 WBB,Saint Louis,2019-2020,16.0625,15.5625,NA,-0.5
A-10 WBB,Saint Louis,2020-2021,11.25,15.363636363636363,NA,4.113636363636363
A-10 WBB,Saint Louis,2021-2022,12.733333333333333,13,NA,0.2666666666666675
A-10 WBB,Saint Louis,2022-2023,17.2,16.857142857142858,18.5,-0.34285714285714164
A-10 WBB,Saint Louis,2023-2024,22.3,17.5,19.666666666666668,-4.800000000000001
A-10 WBB,St. Bonaventure,2017-2018,17.733333333333334,15.333333333333334,NA,-2.4000000000000004
A-10 WBB,St. Bonaventure,2018-2019,17,17.46153846153846,NA,0.4615384615384599
A-10 WBB,St. Bonaventure,2019-2020,17.266666666666666,15.133333333333333,NA,-2.133333333333333
A-10 WBB,St. Bonaventure,2020-2021,15,16.3,NA,1.3000000000000007
A-10 WBB,St. Bonaventure,2021-2022,15.923076923076923,14.266666666666667,NA,-1.6564102564102559
A-10 WBB,St. Bonaventure,2022-2023,16.533333333333335,15.214285714285714,19.333333333333332,-1.3190476190476215
A-10 WBB,St. Bonaventure,2023-2024,16.833333333333332,13.777777777777779,NA,-3.0555555555555536
A-10 WBB,Virginia Commonwealth,2017-2018,18.6875,16.307692307692307,NA,-2.3798076923076934
A-10 WBB,Virginia Commonwealth,2018-2019,17.75,17.77777777777778,NA,0.027777777777778567
A-10 WBB,Virginia Commonwealth,2019-2020,17.571428571428573,14.444444444444445,NA,-3.1269841269841283
A-10 WBB,Virginia Commonwealth,2020-2021,15.6875,13.7,12,-1.9875000000000007
A-10 WBB,Virginia Commonwealth,2021-2022,16,14.176470588235293,NA,-1.8235294117647065
A-10 WBB,Virginia Commonwealth,2022-2023,14.666666666666666,16.076923076923077,17,1.4102564102564106
A-10 WBB,Virginia Commonwealth,2023-2024,17,14.5,15,-2.5
A-Sun WBB,Austin Peay,2022-2023,18.714285714285715,17.833333333333332,20.333333333333332,-0.8809523809523832
A-Sun WBB,Austin Peay,2023-2024,19,18.384615384615383,17.5,-0.6153846153846168
