"team","in_out","player","height","year","position","hometown"
"Abilene Christian","out","Yle Exposito Perez","5-7","JR","shooting guard","Canary Islands, Spain"
"Abilene Christian","out","Claire Graham","5-9","SO","guard","Tuscola, TX"
"Abilene Christian","out","Tristin Keller","5-8","SO","point guard","Mason, TX"
"Abilene Christian","out","Addison Martin","6-1","RS SO","wing/forward","Shreveport, LA"
"Abilene Christian","out","Kenadi Rising","5-11","JR","wing","Rapid City, SD"
"Abilene Christian","out","Aspen Thornton","5-6","JR","guard","Hot Springs, AR"
"Abilene Christian","out","Gracy Wernli","5-9","FR","guard","Bixby, OK"
"Akron","out","Reagan Bass","6-1","JR","forward","Strongsville, OH"
"Akron","out","Olivia Brown","5-7","FR","point guard","Fishers, IN"
"Akron","out","Leila Jones","5-10","FR","shooting guard/wing","Westerville, OH"
"Akron","out","Dacia Lewandowski","5-11","FR","point guard","Pittsburgh, PA"
"Akron","out","Alexis Stewart","5-10","SR","wing","Hamilton, ON"
"Akron","out","Tahmala Thorpe","5-4","SR","point guard","Mississauga, ON"
"Akron","out","Annie Watson","6-0","SO","forward","Akron, OH"
"Alabama","out","Allie Craig Cruce","6-1","GR","forward","Killen, AL"
"Alabama","out","Meg Newman","6-3","RS SO","wing","Indianapolis, IN"
"Alabama A&M","out","Darian Burgin","5-7","SR","shooting guard","Cincinnati, OH"
"Alabama A&M","out","Victoria Dixon","5-5","SO","guard","Grand Prairie, TX"
"Alabama A&M","out","Kailyn Nash","5-10","JR","forward","Muskegon, MI"
"Alabama A&M","out","Asianae Nicholson","5-10","SO","forward","South Euclid, OH"
"Alabama A&M","out","Clemisha Prackett","6-1","FR","forward","West Memphis, AR"
"Alabama A&M","out","Amiah Simmons","5-9","JR","guard","Overland Park, KS"
"Alabama A&M","out","Taylor Smith","5-5","SR","point guard","Fosters, AL"
"Alabama A&M","out","Kaylah Turner","5-5","FR","point guard","Orange Park, FL"
"Alabama A&M","out","Alisha Wilson","6-2","JR","center","LaVerne, CA"
"UAB","in","Aniya Hubbard","5-8","SO","wing","Hoover, AL"
"UAB","out","Denim DeShields","5-6","SO","point guard","Atlanta, GA"
"Alabama State","out","Che'mya Carouthers","5-10","JR","guard","Tupelo, MS"
"Alabama State","out","Whitney Dunn","5-9","SO","guard","Chicago, IL"
"Alabama State","out","Camariyana Tavares","6-3","FR","center","Murfreesboro, TN"
"Albany","out","Jessica Cooper","6-0","FR","forward","South Plainfield, NJ"
"Albany","out","Deja Evans","6-2","FR","forward","Conshohocken, PA"
"Albany","out","Hailee Ford","5-11","FR","wing","Perry Hall, MD"
"Albany","out","Selina Monestime","5-11","FR","shooting guard/wing","Framingham, MA"
"Albany","out","Marie Sepp","5-5","SO","point guard","Tallinn, Estonia"
"Alcorn State","out","Jazmine Jackson","5-8","SO","combo guard","Jacksonville, FL"
"American","out","Kayla Henning","5-7","SR","point guard","Evanston, IL"
"American","out","Emily Johns","6-1","SR","forward","Washington Township, NJ"
"American","out","Molly Lavin","6-2","SO","forward","London, England"
"American","out","Marisa Lee","6-1","SR","forward","Marlborough, CT"
"American","out","Anna LeMaster","5-9","SR","wing","Ashburn, VA"
"Appalachian State","out","Alexis Black","5-9","SO","combo guard","Washington, DC"
"Appalachian State","out","Nadiyah Byard","6-0","SO","forward","Washington, DC"
"Appalachian State","out","Tate Chappell","5-11","FR","guard","Reidsville, NC"
"Appalachian State","out","MaKenzie Drout","5-9","FR","guard","Kimberly, WI"
"Appalachian State","out","Lexi Grant","5-9","SO","point guard","Charleston, SC"
"Appalachian State","out","Cha'e Harris","5-8","SO","guard","Snellville, GA"
"Appalachian State","out","Jurnee McLaurin","5-8","GR","guard","Soso, MS"
"Arizona","out","Kailyn Gilbert","5-8","SO","point guard","Tampa Bay, FL"
"Arizona","out","Salimatou Kourouma","5-11","RS SR","wing","Kati, Mali"
"Arizona State","in","Kennedy Fauntleroy","5-7","SO","point guard","Upper Marlboro, MD"
"Arizona State","in","Heavenly Greer","6-2","RS JR","forward","Phoenix, AZ"
"Arizona State","in","Makayla Moore","6-0","SO","wing","San Jose, CA"
"Arizona State","out","Trayanna Crisp","5-8","SO","guard","Goodyear, AZ"
"Arizona State","out","Treasure Hunt","6-2","SR","wing","Chattanooga, TN"
"Arizona State","out","Sandra Magolico","6-2","JR","forward","Maputo, Mozambique"
"Arizona State","out","Marina Radocaj","6-2","FR","wing/forward","Richmond, BC"
"Arizona State","out","Jaddan Simmons","5-9","SR","point guard","Houston, TX"
"Arizona State","out","Journey Thompson","6-3","SO","forward","McMurray, PA"
"Arkansas","in","Izzy Higginbottom","5-7","JR","guard","Batesville, AR"
"Arkansas","out","Saylor Poffenbarger","6-2","RS SO","wing","Middletown, MD"
"Arkansas","out","Taliah Scott","5-9","FR","shooting guard","Orange Park, FL"
"Arkansas-Pine Bluff","in","Starr Jacobs","6-2","RS SR","forward","Dallas, TX"
"Arkansas-Pine Bluff","out","Coriah Beck","5-11","SR","guard","Memphis, TN"
"Arkansas-Pine Bluff","out","Zaay Green","6-2","GR","guard","Duncanville, TX"
"Arkansas-Pine Bluff","out","Starr Jacobs","6-2","RS SR","forward","Dallas, TX"
"Arkansas-Pine Bluff","out","Tia Morgan","5-8","SR","point guard","Chicago, IL"
"Arkansas-Pine Bluff","out","Maya Peat","6-6","SR","center","Chandler, AZ"
"Arkansas-Pine Bluff","out","Jelissa Reese","5-9","SR","guard","Cordele, GA"
"Arkansas-Pine Bluff","out","Kourtney Rittenberry","6-1","SR","wing","Loganville, GA"
"Arkansas-Pine Bluff","out","Demetria Shephard","5-8","SR","guard","Pontotoc, MS"
"Arkansas-Pine Bluff","out","Kalia Walker","5-5","SR","point guard","Alexander, AR"
"Arkansas State","out","Izzy Higginbottom","5-7","JR","guard","Batesville, AR"
"Arkansas State","out","Bre Sutton","5-9","JR","point guard","New Orleans, LA"
"Auburn","out","McKenna Eddings","6-0","JR","shooting guard/wing","Williamsburg, VA"
"Auburn","out","Kionna Gaines","5-9","JR","guard","Columbus, GA"
"Auburn","out","Sydney Shaw","5-9","SO","guard","Miami, FL"
"Austin Peay","out","Kaili Chamberlin","5-9","JR","shooting guard","Medford, OR"
"Ball State","out","Ana Barreto","5-9","SO","wing","Portugal"
"Ball State","out","Nyla Hampton","5-7","SR","point guard","Huber Heights, OH"
"Ball State","out","Hana Mühl","5-8","SO","combo guard","Zagreb, Croatia"
"Baylor","out","Catarina Ferriera","6-0","SR","wing","São Paulo, Brazil"
"Baylor","out","Denae Fritz","5-11","RS SO","combo guard","Maryville, TN"
