ncaa_id,game_id,date,home,home_fouls,home_technicals,visitor,visitor_fouls,visitor_technicals,officials
697,4965,11/25/2012,Texas A&M,15,1,Marquette,23,1,"Michael McConnell,  Gina Cross,  Bruce Morris"
697,4973,1/1/2013,Texas A&M,13,0,Rice,12,0,"Lawson Newton,  Angel Stanton,  Kylie Galloway"
697,4969,12/19/2012,Kansas State,16,0,Texas A&M,9,0,"James Clarke Stevens,  Maj Forsberg,  Scotty Herman"
697,4986,2/21/2013,Texas A&M,10,0,Ole Miss,12,0,"Bryan Enterline,  Michael McConnell,  Amy Bonner"
697,4990,3/8/2013,Texas A&M,20,0,South Carolina,21,0,"Bob Trammell,  Cameron Inouye,  Carla Fountain"
697,4991,3/9/2013,Tennessee,15,0,Texas A&M,14,0,"Scott Yarborough,  Felicia Grinter,  Laura Morris"
697,4968,12/15/2012,Usc,18,0,Texas A&M,18,0,"Brenda Pantoja,  Michol Murray,  Benny Luna"
697,4987,2/24/2013,Vanderbilt,17,0,Texas A&M,17,0,"Mark Zentz,  Cameron Inouye & Gina Cross"
697,4972,12/28/2012,Texas A&M,12,0,Prairie View A&M,12,0,"Michael Price,  Gina Cross,  Brian Garland"
697,4964,11/23/2012,Texas A&M,11,0,Southern,22,0,"Michael McConnell,  Metta Roberts,  Bruce Morris"
697,4980,1/27/2013,Texas A&M,11,0,Missouri,14,0,"Laura Morris,  Eric Brewton,  Cameron Inouye"
697,4979,1/24/2013,Mississippi State,15,0,Texas A&M,11,0,"Bryan Enterline,  Bruce Morris,  Jennifer Rezac"
697,4963,11/20/2012,Texas A&M,17,0,Liberty,16,0,"Scott Yarbrough,  Beverly Roberts,  Maj Forsberg"
697,4975,1/6/2013,Arkansas,18,0,Texas A&M,18,0,"Mark Zentz,  Brian Hall,  Jules Gallien"
697,4974,1/3/2013,Texas A&M,11,0,Alabama,19,0,"Lisa Mattingly,  Wesley Dean,  Kelly Johnson"
697,4962,11/18/2012,Texas A&M,14,0,UConn,14,0,"Lisa Mattingly,  Dee Kantner,  Mark Zentz"
697,4978,1/20/2013,Georgia,16,0,Texas A&M,19,0,"Felicia Grinter,  Kelly Johnson,  Eric Baker"
697,4981,1/31/2013,Texas A&M,7,0,Vanderbilt,13,0,"Mark Zentz,  Frank Steratore,  Rob Fessler"
697,4994,3/25/2013,Texas A&M,15,0,Nebraska,10,0,"Barbara Smith,  Michael McConnell,  Cheryl Flores"
697,4982,2/4/2013,Lsu,15,0,Texas A&M,15,0,"Tina Napier,  Scott Yarbrough,  Felicia Grinter"
697,4977,1/13/2013,Texas A&M,15,0,Auburn,21,0,"Beverly Roberts,  Eric Koch,  Charlie Hust"
697,4961,11/14/2012,Texas A&M,17,0,Penn State,21,0,"Bob Trammel,  Tina Napier,  Jesse Dickerson"
697,4960,11/9/2012,Louisville,16,0,Texas A&M,16,0,"Dee Kantner,  Denise Brooks,  Cameron Inouye"
697,4976,1/10/2013,Kentucky,12,0,Texas A&M,18,1,"DEE KANTNER,  BRYAN ENTERLINE,  TROY WINDERS"
697,4983,2/10/2013,South Carolina,16,0,Texas A&M,22,0,"Lisa Mattingly,  Billy Smith,  Eric Koch"
697,4971,12/21/2012,Texas A&M,21,0,Notre Dame,14,0,"Gator Parrish,  Maj Forsberg,  Scotty Herman"
697,4988,2/28/2013,Tennessee,7,0,Texas A&M,16,0,"Lisa Mattingly,  Michael Price,  Eric Koch"
697,4967,12/8/2012,Texas A&M,12,1,Tcu,20,0,"Beverly Roberts,  Bill Larance,  Kim Thebo"
697,4992,3/10/2013,Kentucky,17,0,Texas A&M,11,0,"Lisa Mattingly,  Tina Napier,  Mark Zentz"
697,4984,2/14/2013,Texas A&M,9,0,Florida,21,0,"Bob Trammell,  Jesse Dickerson,  Laura Morris"
697,4985,2/18/2013,Texas A&M,15,1,Kentucky,20,1,"Tina Napier,  Sue Blauch,  Carla Fountain"
697,4993,3/23/2013,Texas A&M,13,0,Wichita State,16,0,"Michael McConnell,  Cheryl Flores,  Randy Campbell"
697,4989,3/3/2013,Texas A&M,13,0,Lsu,16,0,"Beverly Roberts,  Roy Gulbeyan,  Bill Larance"
697,4966,12/4/2012,Texas A&M,10,0,Louisiana Tech,11,0,"Bob Trammell,  Denise Brooks,  Mary Day"
697,4970,12/20/2012,Texas A&M,10,0,Old Dominion,16,1,"Melissa Barlow,  Lisa Jones,  James CLarke Stevens"
29,4637,1/25/2013,Ucla,20,0,Arizona,10,0,"Michael Price,  Wanda Szeremeta,  In'Fini Robinson"
29,4660,3/7/2013,Utah,13,0,Arizona,6,0,"Robert Scofield,  Anita Ortega,  Kyle Bacon"
29,4600,11/20/2012,Arizona,15,0,Byu,17,0,"Michael Price,  Michol Murray,  Alejandro Moreno"
29,4591,11/9/2012,CSU Bakersfield,14,0,Arizona,15,0,"AV Cervantes,  Cheryll Blue,  Janetta Graham"
29,4657,3/3/2013,Arizona,10,0,Ucla,19,0,"Lisa Jones,  Chuck Gonzalez,  Rick Showers"
29,4620,1/4/2013,Washington State,18,0,Arizona,12,0,"Anita Ortega,  Darren Krzesnik,  Mary Whatford"
29,4650,2/17/2013,Arizona,12,0,Utah,13,0,"Penny Davis,  Eric Larsen,  Lucy Banuelos"
29,4607,11/28/2012,North Texas,18,0,Arizona,16,0,"Marlin Ramsey,  Chaney Muench,  Bobby Jarmon"
29,4626,1/11/2013,Arizona,12,0,Oregon State,16,0,"Marianne Karp,  Penny Davis,  Kenneth Nash"
29,4610,12/2/2012,Long Beach State,18,1,Arizona,14,0,"Brandon Self,  Deon Lewis,  Kristen Bell"
29,4597,11/17/2012,Arizona,15,0,Cal State Northridge,24,0,"Barlow,  Ortega,  Graham"
29,4651,2/19/2013,Arizona,14,0,Arizona State,19,0,"Michael Price,  Cathi Cornell,  Michelle Russi"
29,4644,2/3/2013,Arizona,12,0,Washington State,13,0,"Lisa Jones,  Kyle Bacon,  Benito Luna"
29,4605,11/24/2012,Texas Southern,14,0,Arizona,20,0,"Shannon Feck,  Carla Fountain,  Anita Ortega"
29,4594,11/13/2012,Unlv,14,0,Arizona,17,0,"Gator Parrish,  James Clarke Stevens,  Scotty Hermann"
29,4648,2/10/2013,California,17,0,Arizona,27,0,"Cathi Cornell,  Kent Johnson,  Lorena Ahumada"
29,4624,1/6/2013,Washington,16,0,Arizona,17,0,"Lisa Jones, Cathi Cornell,  Shelley Nakasone"
29,4649,2/15/2013,Arizona,15,0,Colorado,17,0,"Robert Scofield,  Michol Murray & Karen Lasuik"
29,4628,1/13/2013,Arizona,21,0,Oregon,20,0,"Michael Price,  Eric Larsen,  Teresa Turner"
29,4653,2/24/2013,Arizona State,13,1,Arizona,15,1,"Melissa Barlow,  Kent Johnson,  Kenneth Nash"
29,4612,12/8/2012,New Mexico,16,0,Arizona,12,0,"Melissa Barlow,  Penny Davis,  Michol Murray"
29,4645,2/8/2013,Stanford,18,0,Arizona,21,0,"Charles Gonzalez,  Bart Baldwin,  Wanda Szeremeta"
29,4635,1/20/2013,Colorado,16,0,Arizona,13,0,"Cathi Cornell,  Kent Johsnon,  Karen Lasuik"
29,4642,2/1/2013,Arizona,16,0,Washington,13,1,"Melissa Barlow,  Rick Showers,  Cheryl Flores"
29,4615,12/16/2012,Arizona,20,0,Weber State,21,0,"Marianne Karp,  Penny Davis,  Mary Whatford"
29,4603,11/23/2012,Arizona,15,0,Texas El Paso,14,1,"Beth Graves,  Joanne Aldrich,  Anita Ortega"
29,4639,1/27/2013,Usc,20,0,Arizona,20,0,"Anita Ortega,  Eric Larson,  Paul Patterson"
29,4655,3/1/2013,Arizona,13,0,Usc,15,0,"Robert Scofield,  Anita Ortega,  Darren Krzesnik"
29,4634,1/18/2013,Utah,10,0,Arizona,10,0,"Robert Schofield,  Charles Gonzales,  Lorena Ahumada"
29,4618,12/20/2012,Arizona,16,0,Longwood,19,0,"Robert Scofield,  Wanda Szeremeta,  In'Fini Robinson"
725,6098,3/7/2013,Army,16,0,Colgate,18,0,"Geraldine Smith(R),  Maggie Tieman(U1),  Tiara Cruse(U2)"
725,6077,12/4/2012,Manhattan,15,0,Army,15,1,"Joe Vaszily,  Tracy Stamper,  Kevin George"
725,6082,1/2/2013,Brown,16,0,Army,12,0,"Pastor Torres,  William Dugan Jr.,  David O'Connor"
725,6094,2/20/2013,Colgate,12,0,Army,13,0,"Bonnie Pettus,  Karen Preato,  Robert S. McDow"
725,6095,2/23/2013,Army,16,0,American,19,0,"Mark Behrens(R),  Diana DePaul(U2),  Shawn Good(U2)"
725,6083,1/6/2013,Morgan State,18,2,Army,21,0,"T. Bryant,  N. Harris,  K. Moyer"
725,6099,3/21/2013,Fordham,8,0,Army,16,0,"Geraldine Smith,  Maggie Tieman,  Hillary Harwell"
725,6076,12/1/2012,Army,13,1,Yale,12,0,"Kevin Sparrock (R),  Leslie Porschen (U1),  Nykesha Thompson"
725,6084,1/12/2013,Army,18,0,Bucknell,18,0,"Geraldine Smith(R),  Gary Schimel(U1),  Michelle Ross(U2)"
725,6092,2/13/2013,Army,18,0,Lafayette,21,0,"Mike DoCouto(R),  Geraldine Smith(U1),  Nykesha Thompson(U2)"
725,6088,1/26/2013,American,10,0,Army,19,0,"Kristi Vera,  Shawn Goode,  Desiree Peterkin"
725,6071,11/15/2012,Fdu,21,0,Army,17,0,"James ""Butch"" Discher,  Shannon Feck,  Don Cummiskey"
725,6070,11/12/2012,Army,18,0,Sfnyw,12,0,"Bonnie Pettus(R),  Kerri Homan,  Donald Cummiskey"
725,6089,1/30/2013,Army,14,0,Holy Cross,14,0,"Joe Vaszily(R),  Kevin Sparrock(U1),  Geraldine Smith(U2)"
725,6093,2/16/2013,Navy,14,0,Army,11,0,"Joseph Vaszily,  Bonita Spence,  Diana DePaul"
725,6085,1/16/2013,Lafayette,14,0,Army,13,0,"Bonnie Petrus,  Karen Preato,  Janice Aliberti"
725,6090,2/2/2013,Lehigh,14,0,Army,20,0,"Mark Behrens,  Roger E. Brown,  Jr.,  Hassan Brown"
725,6069,11/9/2012,Wagner,13,0,Army,11,0,"Gary Schimel,  Jon Levinson,  Kristi Mosely"
725,6086,1/20/2013,Army,11,0,Navy,11,0,"Gary Schimel(R),  Maggie Tieman(U),  Michael Schmidt(U)"
725,6073,11/21/2012,Weber State,16,0,Army,18,0,"Tiffany Bird,  K. Jeneane Pence,  Bob Scofield"
725,6072,11/18/2012,Army,15,1,Penn,21,0,"Pastor Torres (R),  Michelle Ross (U1),  Hassan Brown (U2)"
725,6087,1/23/2013,Army,11,0,Colgate,13,0,"Kevin Farlow(R),  Michael DoCouto(U1),  Lynda Kashouh(U2)"
725,6091,2/9/2013,Bucknell,12,0,Army,14,0,"Shawn Goode,  Kevin Pethtel,  Kevin Farlow"
725,6075,11/28/2012,Army,14,0,Columbia,22,0,"Karen Preato (R),  Daniel Martin (U1),  Paul Barksdale (U2)"
725,6079,12/10/2012,Army,15,0,Loyola,13,0,"Joseph Vaszily(R), Fiedel Gonzalez(U1), Geraldine SMith(U2)"
725,6096,2/27/2013,Holy Cross,14,0,Army,14,0,"Geraldine Smith,  Michael DoCouto,  Fatou Cissoko-Stephens"
