ncaa_id,game_id,date,home,home_fouls,home_technicals,visitor,visitor_fouls,visitor_technicals,officials
721,12301,2/8/2020,San Diego St.,8,0,Air Force,16,0,"Clarke Stevens,  In'fini Robinson,  Benny Luna"
721,12291,12/30/2019,Air Force,13,0,Neb. Wesleyan,16,0,"Jessica Fortner,  Kevin Kizewski,  Clarke Stevens"
721,12287,12/4/2019,Air Force,12,0,Wyoming,9,0,"Jack Jones,  Tiffany Bird,  Melissa Barlow"
721,12286,12/1/2019,Tennessee,13,0,Air Force,15,0,"Eric Koch,  Angelica Suffren,  Mark Zentz"
721,12290,12/21/2019,Cal St. Fullerton,17,0,Air Force,18,0,"Danielle Johnson,  Mark Munoz,  Jen Zylstra"
721,12300,2/5/2020,Air Force,15,0,Nevada,14,0,"Cheryll Blue,  Kyle Bacon,  Melissa Barlow"
721,12307,2/27/2020,Air Force,14,0,Colorado St.,19,0,"Zac Brost,  Anita Ortega,  Randy Campbell"
721,12297,1/22/2020,Air Force,14,0,Utah St.,15,0,"Darren Krzesnik,  Tiffany Bird,  Brian Woods"
721,12281,11/13/2019,Air Force,15,0,Army West Point,10,0,"Benny  Luna,  Tiffany Bird,  Melissa  Barlow"
721,12280,11/8/2019,Air Force,13,0,Njit,12,0,"Robert Strong,  Bob Schofield,  Brenda Pantoja"
721,12296,1/18/2020,Colorado State,12,0,Air Force,15,0,"Laura  Rahe, Robert Strong, Ken  Nash"
721,12279,11/5/2019,Arizona St.,17,0,Air Force,17,0,"Rochelle Bennett,  Brian Woods,  Kyle  Bacon"
721,12306,2/24/2020,New Mexico,15,1,Air Force,23,0,"Roy Gulbeyan,  Alecia Murray,  Kyle Bacon"
721,12283,11/19/2019,Northern Colo.,21,0,Air Force,23,0,"Kyle  Bacon,  Cheryll Blue,  Maggie DeWall"
721,12295,1/15/2020,Boise St.,16,0,Air Force,16,0,"Teresa Turner,  Kyle Bacon,  Melissa Barlow"
721,12305,2/22/2020,Wyoming,13,0,Air Force,19,1,"Michael Price,  Laura Rahe,  Scott Fruehling"
721,12299,1/29/2020,Fresno State,12,0,Air Force,18,0,"Melissa Barlow,  Roy Gulbeyan,  Alecia Murray"
721,12309,3/2/2020,Boise St.,16,0,Air Force,14,0,"Benny Luna,  Chuck Gonzalez,  Lisa Jones"
721,12298,1/25/2020,Air Force,22,0,San Jose St.,16,0,"Peter Contreras,  Adria Molina,  Robert Strong"
721,12304,2/19/2020,Air Force,13,0,Fresno St.,17,1,"Tiffany Bird,  Ken Nash,  Lisa Jones"
721,12294,1/11/2020,Air Force,12,0,New Mexico,16,0,"Gator Parrish,  Clarke Stevens,  Lisa Jones"
721,12282,11/16/2019,Air Force,20,0,San Diego,23,1,"Brenda Pantoja,  Darla Foutz,  Cheryl Flores"
721,12289,12/18/2019,Long Beach St.,17,0,Air Force,25,0,"McCall Judd,  Dana Pysz,  Angie Leite"
721,12285,11/27/2019,Navy,21,0,Air Force,15,0,"Michael Henderson,  Ray Bullock,  Toni Patillo"
721,12293,1/8/2020,Utah State,14,0,Air Force,15,0,"R:Brenda Pantoja,  U1:Bob Scofield,  U2:Randy Campbell"
721,12303,2/15/2020,San Jose St.,18,0,Air Force,21,0,"Janetta Graham,  Kent Johnson,  Michael Price"
721,12302,2/12/2020,Air Force,11,0,Boise St.,11,0,"Anita Ortega,  Kenny Nash,  Cheryl Flores"
721,12292,1/4/2020,Air Force,18,0,Unlv,24,0,"Robert Strong,  Rick Thorne,  Anita Ortega"
