official,games_worked,avg_fouls_per_game,min_fouls,max_fouls,std_fouls,avg_home_fouls,avg_visitor_fouls,home_visitor_diff,avg_technicals,z_score,percentile
Zackary Clark,5,46.4,35,56,7.861297602813419,22.0,24.4,-2.3999999999999986,1.6,3.971732229070098,100.0
Christopher Cooper,8,43.875,33,51,5.566160513059505,22.125,21.75,0.375,0.375,3.1779104030763725,99.8960498960499
Erik Curtis,8,43.5,38,53,5.80640040940045,22.25,21.25,1.0,0.375,3.060016072483245,99.7920997920998
Ivan Jackson,8,43.25,37,53,5.175491695067657,21.875,21.375,0.5,0.25,2.9814198520878263,99.68814968814968
Esteban Gonzalez,6,42.833333333333336,29,49,7.494442385305705,20.0,22.833333333333332,-2.833333333333332,0.16666666666666666,2.8504261514287963,99.58419958419958
Crista Couch,7,42.714285714285715,40,47,3.0937725468153876,22.714285714285715,20.0,2.7142857142857153,0.14285714285714285,2.81299937981193,99.48024948024948
John O'Neil,5,42.6,23,52,11.865917579353061,19.4,23.2,-3.8000000000000007,0.8,2.7770696790597387,99.37629937629939
Keith Harris,6,42.333333333333336,33,51,6.742897497861484,20.333333333333332,22.0,-1.6666666666666679,0.3333333333333333,2.6932337106379594,99.27234927234927
Tyrell Johnson,7,41.857142857142854,31,49,7.267016155859557,22.428571428571427,19.428571428571427,3.0,0.14285714285714285,2.5435266241704944,99.16839916839916
Montrel Simmons,5,41.8,37,52,6.1400325732035,20.0,21.8,-1.8000000000000007,0.6,2.5255617737943985,99.06444906444906
Chris Bonchosky,13,41.61538461538461,26,54,8.665433837364612,18.23076923076923,23.384615384615383,-5.153846153846153,1.0,2.467521487963936,98.96049896049897
Mason Souza,5,41.6,33,49,6.18869937870632,21.2,20.4,0.8000000000000007,0.4,2.4626847974780652,98.85654885654886
Marlon Wong,7,41.285714285714285,33,51,6.156684327197709,19.285714285714285,22.0,-2.7142857142857153,0.14285714285714285,2.3638781204095385,98.75259875259876
Leon Lipsick,5,41.2,35,44,4.08656334834051,18.6,22.6,-4.0,0.0,2.336930844845396,98.64864864864865
Mara Wager,5,41.0,29,50,9.513148795220223,21.6,19.4,2.200000000000003,0.2,2.2740538685290606,98.49272349272348
Harry Rourke,6,41.0,30,50,8.270429251254134,19.5,21.5,-2.0,0.0,2.2740538685290606,98.49272349272348
Howard Midkiff,6,40.833333333333336,23,51,11.052903087726168,20.833333333333332,20.0,0.8333333333333321,0.3333333333333333,2.221656388265449,98.33679833679834
Rachel Rayford,5,40.8,38,45,2.9495762407505253,19.0,21.8,-2.8000000000000007,0.2,2.211176892212725,98.23284823284824
Ken Mcclain,13,40.69230769230769,25,52,7.47645878056155,19.46153846153846,21.23076923076923,-1.76923076923077,0.23076923076923078,2.1773200588116226,98.12889812889813
Jessamyn Bradley,6,40.666666666666664,30,50,6.531972647421808,21.333333333333332,19.333333333333332,2.0,0.0,2.169258908001835,98.02494802494802
Tim Greenwood,5,40.6,30,49,7.021395872616783,21.2,19.4,1.8000000000000007,0.6,2.1482999158963914,97.92099792099792
Navodda Wilson,9,40.44444444444444,32,58,8.353309390761112,19.666666666666668,20.77777777777778,-1.1111111111111107,0.1111111111111111,2.099395600983686,97.81704781704782
Charette Guthrie,7,40.42857142857143,30,51,7.4801324154309565,20.285714285714285,20.142857142857142,0.14285714285714235,0.8571428571428571,2.0944053647681047,97.66112266112266
Walter Quiller,7,40.42857142857143,33,47,6.051367417290708,21.714285714285715,18.714285714285715,3.0,0.2857142857142857,2.0944053647681047,97.66112266112266
William Dugan,6,40.333333333333336,26,53,12.176480060619598,20.833333333333332,19.5,1.3333333333333321,0.16666666666666666,2.064463947474612,97.4012474012474
Princess Freeman,9,40.333333333333336,21,52,10.259142264341596,18.333333333333332,22.0,-3.666666666666668,0.2222222222222222,2.064463947474612,97.4012474012474
Christopher Sauceda,6,40.333333333333336,28,55,11.057425860780919,19.5,20.833333333333332,-1.3333333333333321,0.8333333333333334,2.064463947474612,97.4012474012474
Antoine Love,8,40.25,18,55,12.668859459319927,18.875,21.375,-2.5,0.375,2.038265207342805,97.1933471933472
Paige Hurst,9,40.22222222222222,23,54,8.212456663169947,19.22222222222222,21.0,-1.7777777777777786,0.5555555555555556,2.0295322939655365,97.0893970893971
Tanner Gray,9,40.0,27,56,7.7781745930520225,19.333333333333332,20.666666666666668,-1.3333333333333357,0.2222222222222222,1.959668986947387,96.93347193347194
Connell Mclean,5,40.0,30,54,10.0,20.8,19.2,1.6000000000000014,0.2,1.959668986947387,96.93347193347194
David Varriano,5,39.8,32,45,5.215361924162119,19.0,20.8,-1.8000000000000007,0.0,1.8967920106310512,96.77754677754677
Clark Stridsberg,8,39.75,26,54,9.145646895810987,20.875,18.875,2.0,0.125,1.8810727665519684,96.67359667359668
Terri Piatak,9,39.666666666666664,29,54,7.582875444051551,19.77777777777778,19.88888888888889,-0.11111111111111072,0.2222222222222222,1.8548740264201615,96.51767151767152
Bridget Borelli,9,39.666666666666664,23,58,10.735455276791944,18.555555555555557,21.11111111111111,-2.5555555555555536,0.1111111111111111,1.8548740264201615,96.51767151767152
Clifford Sims,8,39.625,30,49,6.06953752062591,22.0,17.625,4.375,0.125,1.8417746563542592,96.36174636174636
Anthony Bagnoli,7,39.57142857142857,29,56,8.79122939558025,18.571428571428573,21.0,-2.428571428571427,0.42857142857142855,1.8249326091266689,96.25779625779626
Kevin Brooks,9,39.55555555555556,31,50,6.672913739722534,19.444444444444443,20.11111111111111,-0.6666666666666679,0.2222222222222222,1.819942372911088,96.15384615384616
Brooke Shoulders,9,39.44444444444444,29,48,6.5404722901161945,19.11111111111111,20.333333333333332,-1.2222222222222214,0.3333333333333333,1.7850107194020122,96.04989604989605
Wes Mangrum-Smith,7,39.42857142857143,35,44,3.2071349029490923,19.285714285714285,20.142857142857142,-0.8571428571428577,0.42857142857142855,1.780020483186431,95.89397089397089
Nathan Mendes,7,39.42857142857143,36,42,2.699206232527312,19.571428571428573,19.857142857142858,-0.2857142857142847,0.14285714285714285,1.780020483186431,95.89397089397089
Courtnie Duncan,5,39.4,31,45,5.856620185738529,19.4,20.0,-0.6000000000000014,0.0,1.7710380579983822,95.73804573804574
Eurskine Robinson,6,39.333333333333336,30,50,8.091147425839345,19.5,19.833333333333332,-0.33333333333333215,0.0,1.7500790658929384,95.63409563409564
Ike Jessee,5,39.2,30,49,7.19027120489902,16.0,23.2,-7.199999999999999,0.0,1.7081610816820487,95.47817047817048
Stanley Wormely,5,39.2,32,49,6.978538528947161,19.2,20.0,-0.8000000000000007,0.4,1.7081610816820487,95.47817047817048
Josiah Mccallister,12,39.166666666666664,25,45,5.7656243584215785,19.5,19.666666666666668,-0.16666666666666785,0.16666666666666666,1.6976815856293246,95.27027027027027
Jason Wolfe,6,39.166666666666664,23,48,9.196013629104007,18.666666666666668,20.5,-1.8333333333333321,0.0,1.6976815856293246,95.27027027027027
Tim Rein,8,39.125,25,54,9.357006542082326,20.0,19.125,0.875,0.25,1.6845822155634225,95.11434511434511
Brian Alves,17,39.11764705882353,28,56,6.4699531773921715,19.176470588235293,19.941176470588236,-0.764705882352942,0.23529411764705882,1.6822705620223806,95.01039501039502
Matt Krause,9,39.111111111111114,29,59,9.020039418489873,19.88888888888889,19.22222222222222,0.6666666666666679,0.4444444444444444,1.680215758874789,94.85446985446985
Brittany Meyer,9,39.111111111111114,32,50,6.411794687223781,20.666666666666668,18.444444444444443,2.222222222222225,0.5555555555555556,1.680215758874789,94.85446985446985
Kyle Adams,9,39.0,27,53,8.231038816577165,18.0,21.0,-3.0,0.1111111111111111,1.6452841053657132,94.64656964656965
Leesa Daniel,5,39.0,21,49,13.114877048604,20.4,18.6,1.7999999999999972,0.2,1.6452841053657132,94.64656964656965
Ivory Smith,14,38.92857142857143,21,58,10.723549109063914,18.0,20.928571428571427,-2.928571428571427,0.07142857142857142,1.6228280423955943,94.4906444906445
Jenna Buffi,11,38.90909090909091,31,57,8.00567980192245,18.454545454545453,20.454545454545453,-2.0,0.45454545454545453,1.6167036615855601,94.38669438669439
Ty Bills,22,38.86363636363637,26,55,7.133391997169467,19.90909090909091,18.954545454545453,0.9545454545454568,0.2727272727272727,1.6024134396954859,94.28274428274428
Felicia Grinter,33,38.84848484848485,22,55,7.31915813175093,17.333333333333332,21.515151515151516,-4.181818181818183,0.09090909090909091,1.5976500323987939,94.17879417879418
Ron Bouchard,5,38.8,34,42,3.96232255123179,20.0,18.8,1.1999999999999993,0.2,1.5824071290493775,94.07484407484408
Quinn Mathlin,8,38.75,28,53,7.363035088486657,17.375,21.375,-4.0,0.0,1.5666878849702948,93.97089397089398
Joe Toren,7,38.714285714285715,29,50,7.825477316949762,18.142857142857142,20.571428571428573,-2.4285714285714306,0.14285714285714285,1.5554598534852353,93.86694386694387
Chris Stafford,16,38.6875,26,50,7.391154623376964,18.8125,19.875,-1.0625,0.1875,1.5470388298714401,93.76299376299376
Jeffrey Yoder,6,38.666666666666664,31,44,4.4121045620731465,19.0,19.666666666666668,-0.6666666666666679,0.3333333333333333,1.5404891448384879,93.5031185031185
Persio Reyes,6,38.666666666666664,31,45,4.926120853842978,18.5,20.166666666666668,-1.6666666666666679,0.5,1.5404891448384879,93.5031185031185
Titonka Williams,6,38.666666666666664,30,53,8.066391179868893,20.0,18.666666666666668,1.3333333333333321,0.3333333333333333,1.5404891448384879,93.5031185031185
Ronald Bouchard,6,38.666666666666664,31,50,7.061633427661525,17.333333333333332,21.333333333333332,-4.0,0.3333333333333333,1.5404891448384879,93.5031185031185
Jesse Dickerson,24,38.583333333333336,24,51,7.234678963861834,16.958333333333332,21.625,-4.666666666666668,0.20833333333333334,1.5142904047066832,93.1912681912682
Sarah Fleming,12,38.583333333333336,31,50,5.946096249310181,18.5,20.083333333333332,-1.5833333333333321,0.16666666666666666,1.5142904047066832,93.1912681912682
Adrian Lindsey,7,38.57142857142857,28,53,8.017837257372731,18.857142857142858,19.714285714285715,-0.8571428571428577,0.14285714285714285,1.5105477275449952,93.03534303534303
Garrett Larson,13,38.53846153846154,25,56,7.698651230522835,20.23076923076923,18.307692307692307,1.9230769230769234,0.07692307692307693,1.5001833907895565,92.93139293139293
Matt Coute,10,38.5,32,53,6.570134448142341,18.4,20.1,-1.7000000000000028,0.1,1.4880916645748763,92.77546777546777
Daylan Acevedo Alers,6,38.5,30,51,7.20416546173115,19.166666666666668,19.333333333333332,-0.1666666666666643,0.3333333333333333,1.4880916645748763,92.77546777546777
Mark Sojkowski,5,38.4,30,53,9.235799911215056,18.2,20.2,-2.0,0.0,1.4566531764167086,92.51559251559252
Matthew Pink,5,38.4,30,43,5.128352561983234,20.2,18.2,2.0,0.0,1.4566531764167086,92.51559251559252
Jay Ferrick,5,38.4,36,40,1.51657508881031,20.0,18.4,1.6000000000000014,0.2,1.4566531764167086,92.51559251559252
Troy Ramey,13,38.38461538461539,29,55,8.251650961458779,18.076923076923077,20.307692307692307,-2.23076923076923,0.3076923076923077,1.4518164859308378,92.3076923076923
Jackie Cruz,8,38.375,26,47,6.738747234146291,20.25,18.125,2.125,0.75,1.448793554377167,92.2037422037422
Carson Hattel,6,38.333333333333336,27,49,8.453795991545258,18.166666666666668,20.166666666666668,-2.0,0.0,1.4356941843112647,92.0997920997921
Chaka Wade,14,38.214285714285715,29,45,4.80670319495552,18.857142857142858,19.357142857142858,-0.5,0.2857142857142857,1.3982674126943984,91.995841995842
Alexis Burton,12,38.166666666666664,28,45,5.507570547286102,19.083333333333332,19.083333333333332,0.0,0.5833333333333334,1.383296704047651,91.8918918918919
Ric Raffone,13,38.15384615384615,27,49,6.593508851465885,18.615384615384617,19.53846153846154,-0.9230769230769234,0.0,1.3792661286427583,91.78794178794179
Alicia Shivers,20,38.15,28,50,6.183807377676841,18.95,19.2,-0.25,0.05,1.37805695602129,91.68399168399168
