ncaa_id,game_id,date,home,home_fouls,home_technicals,visitor,visitor_fouls,visitor_technicals,officials
183,3146,12/16/2001,University of Denver,13,0,Arkansas-Pine Bluff,19,0,"Lorenzo Alvarez,  Artrial Tillman,  Michaela Fox"
183,3151,1/3/2002,University of Denver,17,0,Asu,18,0,"Randy Campbell,  Craig Erdman,  Shannon Eastin"
183,3147,12/18/2001,Sms,16,0,Denver,13,0,"Greg Small,  Robyn Ensminger,  Doug Knight"
183,3140,11/30/2001,University of Denver,23,0,Iowa,21,0,"Artroil Tillman,  Rick Raybolid,  Shannon Easton"
183,3156,1/24/2002,University of Denver,12,0,New Mexico State,16,0,"Eric Larson,  Michaela Fox,  Stan Evans"
183,3137,11/18/2001,University of Denver,14,0,San Diego,22,0,"Geoff Hatch,  Brian Owens,  Scott Reetz"
183,3160,2/14/2002,University of New Orleans,24,0,Denver,19,0,"David Scroggins,  Jimmy Rice,  Richard Partin"
183,3161,2/16/2002,University of Denver,8,0,Middle Tennessee,14,0,"Lorenzo Alverez,  Michaela Fox,  Stan Evans"
183,3136,11/16/2001,University of Denver,18,0,Air Force,24,0,"Craig Erdmor,  John Haefell,  Mark Hughes"
183,3157,1/26/2002,University of Denver,19,0,Louisiana-Lafayette,18,0,"Craig Erdman,  Kelly Copeland,  Sandy Sundine"
183,3141,12/5/2001,Northwestern Wildcats,17,0,Denver Pioneers,20,0,"Sue Blauch,  John Whitson,  Mark Braden"
183,3139,11/27/2001,Texas A&M-Corpus Christi,15,0,Denver,19,0,"John Stigliano,  Karen Wright,  Lolly Saenz"
183,3154,1/17/2002,North Texas,11,0,Denver,18,1,"Lolly Saena,  Lorenzo Alvarez,  Darcy Schlabach"
183,3142,12/7/2001,Bradley Braves,16,0,Denver,17,0,"Kelly Hill,  Rich Choponis,  Marvin Sykes"
183,3162,2/21/2002,University of Denver,14,0,South Alabama,18,1,"Michelle Eglinger,  Mark Hughes,  John Haefeli"
183,3158,2/2/2002,University of Denver,22,0,North Texas,22,0,"Jeff Stromgren,  Glen Dixon,  Zina Carlson"
183,3159,2/7/2002,South Alabama,13,0,Denver,12,0,"Barry Roberts,  Kelly Johnson,  Tony Brown"
183,3163,2/24/2002,University of Denver,18,0,University of New Orleans,22,0,"Robyn Ensminger,  Craig Erdman,  Ernie Solis"
183,3143,12/9/2001,Monmouth,13,0,Denver,24,0,John Orminski (R) Janice Aliberti (U1) Bill Maikranz (U2)
183,3155,1/19/2002,Western Kentucky,18,0,Denver,15,0,"Randy Morrow,  Jay Asher,  Felicia Grinter"
183,3138,11/25/2001,Baylor Lady Bears,18,0,Denver,20,0,"Robert Rodriguez,  Sue Kennedy,  David Scroggins"
183,3164,3/3/2002,University of Denver,16,0,Mt,13,2,"Laurie Porter (R),  Kelly Copeland (U1),  Scotty Hermann(U2)"
183,3148,12/20/2001,University of Denver,21,0,Old Dominion,19,0,"Laurie Porter,  David Scroggins,  Craig Erdman"
183,3152,1/6/2002,University of Denver,9,0,Arkansas-Little Rock,13,0,"John Heofel,  Amy Bonner,  Sandy Sundine"
183,3145,12/15/2001,University of Denver,20,0,Brigham Young University,22,0,"Lorenzo Alvarez,  Brent Duguid,  Artrail Tillman"
183,3153,1/12/2002,Florida International,6,0,Denver,16,0,"Bernard Scott,  Kelly Johnson,  Steve Bruno"
183,3149,12/28/2001,New Mexico State,14,0,University of Denver,15,0,"Lolly Saenz,  Kevin Malthaner,  Cid Garcia"
183,3165,3/4/2002,Fiu,17,0,University of Denver,29,1,"Terri Maddock(R),  Artrail Tillman,  Felicia Grinter"
300,10717,11/17/2001,Thomas More College,24,0,Illinois Wesleyan U.,24,0,"Warren Smith,  Mike Gruver,  Candice Daniel"
300,10741,2/23/2002,North Park,15,0,Illinois Wesleyan,15,0,"Jay Lyons,  Tonya Dotson,  Joe Ponsetto"
300,10716,11/16/2001,Illinois Wesleyan U.,24,0,Washington (Mo.) Univ.,19,0,"Dwight Rickert,  Fred Lee,  Jason Ferguson"
300,10720,11/27/2001,Illinois Wesleyan,17,0,Aurora - Women,17,0,"Jerry Pelz,  Mark Campbell,  Peggy Fonteneau"
300,10731,1/16/2002,Elmhurst,17,0,Illinois Wesleyan,11,0,"Rhonda Mont (R),  Tonya Dotson (U),  John Dacey (U)"
300,10730,1/12/2002,Illinois Wesleyan,15,0,North Central,15,0,"Terry Taylor,  Rick Doane,  Tony Gurchak"
300,10729,1/7/2002,Manchester College,25,0,Illinois Wesleyan University,18,1,"Dave Sheridan,  Bud Wolf,  Jerry Stieglitz"
300,10725,12/15/2001,Illinois Wesleyan,16,0,Wheaton,12,0,"Jeff Otterby,  Terry Taylor,  Marv Carlson"
300,10732,1/19/2002,Carthage,23,0,Illinois Wesleyan,23,0,"Dennis Lipski,  Patrick Miles & Dave Delsman"
300,10719,11/24/2001,Illinois Wesleyan,19,0,Benedictine U.,22,0,"Larry O'Neal,  Rudy Higgins,  Chris Schroeder"
300,10723,12/4/2001,Eureka College,17,2,Illinois Wesleyan University,20,1,"Rob Munson,  Doug Mullany,  Ed Palmer"
300,10735,1/30/2002,Augustana,22,0,Illinois Wesleyan,21,0,"Jeff Clark,  Craig Morse,  Darrel Leftwick"
300,10739,2/15/2002,Wheaton,8,0,Illinois Wesleyan,17,0,"Darrell Leftwich,  Bob Hawkins and Bud Felichio"
