ncaa_id,game_id,date,home,home_fouls,home_technicals,visitor,visitor_fouls,visitor_technicals,officials
697,5620,1/4/2012,Kansas State,18,0,Texas A&M,18,0,"Tina Napier,  Bob Trammell,  Brenda Pantoja"
697,5636,2/27/2012,Texas A&M,24,0,Baylor,20,0,"Tina Napier,  Lisa Jones,  Felicia Grinter"
697,5616,12/6/2011,UConn,15,0,Texas A&M,13,0,"Dee Kantner,  Eric Brewton,  Maj Forsbeg"
697,5641,3/17/2012,Texas A&M,15,0,Albany,19,0,"Clarke Stevens,  Dawn Marsh,  Theresa Funk"
697,5640,3/10/2012,Baylor,17,1,Texas A&M,21,0,"Lisa Mattingly,  Dee Kantner,  Beverly Roberts"
697,5617,12/11/2011,Tcu,13,0,Texas A&M,10,0,"Michael Price,  Lisa Jones,  Clarke Stevens"
697,5637,3/4/2012,Texas,16,0,Texas A&M,18,0,"Michael Price,  Brian Hall,  Amy Bonner"
697,5621,1/8/2012,Texas A&M,19,0,Oklahoma,20,0,"Lisa Jones,  Brian Hall,  Greg Small"
697,5610,11/15/2011,Texas A&M,21,0,Louisville,23,0,"Lisa Mattingly,  Eric Brewton,  Dee Kantner"
697,5626,1/24/2012,Oklahoma State,16,0,Texas A&M,22,0,"Scott Yarbrough,  Scotty Hermann,  Bill Larance"
697,5630,2/8/2012,Texas A&M,10,0,Kansas State,18,0,"Lisa Mattingly,  Melissa Barlow,  Scotty Hermann"
697,5631,2/11/2012,Baylor,13,0,Texas A&M,14,0,"Dee Kantner,  Michael Price,  Maj Forsberg"
697,5627,1/29/2012,Texas A&M,16,0,Iowa State,14,0,"Dee Kantner,  Lisa Jones,  Jesse Dickerson"
697,5611,11/17/2011,Ualr,19,0,Texas A&M,16,0,"Kelly Johnson,  Gina Cross,  Doug Williams"
697,5628,2/1/2012,Texas Tech,20,0,Texas A&M,23,0,"Lisa Mattingly,  Eric Brewton,  Brenda Pantoja"
697,5612,11/20/2011,Texas A&M,19,0,Mississippi State,19,0,"Jesse Dickerson,  Laurie Porter,  Bill Larance"
697,5632,2/14/2012,Missouri,12,0,Texas A&M,15,0,"Felicia Grinter,  Jesse Dickerson,  Billy Smith"
697,5624,1/18/2012,Texas A&M,19,0,Missouri,14,0,"Lisa Mattingly,  Beverly Roberts,  Laura Morris"
697,5609,11/12/2011,Texas A&M,19,0,Lamar,20,0,"Scott Yarbrough,  Marc Merritt,  Michol Murray"
697,5625,1/21/2012,Kansas,16,0,Texas A&M,20,0,"Tina Napier,  Melissa Barlow,  Gina Cross"
697,5633,2/18/2012,Texas A&M,13,0,Oklahoma State,19,0,"Melissa Barlow,  Cameron Inouye,  Brian Hall"
697,5613,11/25/2011,Texas A&M,14,0,Temple,19,1,"Sue Blauch,  Joanne Aldrich,  Jesse Dickerson"
697,5629,2/4/2012,Texas A&M,11,0,Kansas,17,0,"Beverly Roberts,  Felicia Grinter,  Michol Murray"
697,5634,2/21/2012,Oklahoma,20,0,Texas A&M,20,0,"Scott Yarbrough,  Brenda Pantoja,  Scotty Hermann"
697,5622,1/11/2012,Texas A&M,19,0,Texas,17,0,"Melissa Barlow,  Clarke Stevens,  Eric Brewton"
697,5618,12/18/2011,Texas A&M,18,0,Usc,16,0,"Melissa Barlow,  Billy Smith,  Michol Murray"
697,5638,3/8/2012,Texas A&M,15,0,Kansas,18,0,"Tina Napier,  Beverly Roberts,  Scott Yarbrough"
697,5643,3/25/2012,Maryland,14,0,Texas A&M,19,0,"Scott Yarbrough,  Tom Danaher,  Gina Cross"
697,5614,11/26/2011,Texas A&M,18,0,Iowa,18,0,"Maj Forsberg,  Sue Blauch,  Jesse Dickerson"
697,5615,12/4/2011,Purdue,22,1,Texas A&M,20,0,"Lisa Mattingly,  Roy Gulbeyan,  Michael McConnell"
697,5642,3/19/2012,Texas A&M,15,0,Arkansas,15,0,"Clarke Stevens,  Brian Hall,  Kevin Farlow"
697,5639,3/9/2012,Oklahoma,18,0,Texas A&M,20,0,"Dee Kantner,  Lisa Mattingly,  Scott Yarbrough"
697,5619,12/30/2011,Texas A&M,18,0,McNeese State,28,0,"Eric Brewton,  Gator Parrish,  Roy Gulbeyan"
697,5623,1/14/2012,Iowa State,8,0,Texas A&M,17,0,"Michael Price,  Felicia Grinter,  Bryan Enterline"
697,5635,2/25/2012,Texas A&M,18,0,Texas Tech,22,0,"Beverly Roberts,  Laura Morris,  Bob Trammell"
29,4011,1/14/2012,Oregon State,11,0,Arizona,9,0,"Cathi Cornell,  Penny Davis,  Mazetta Garrett"
29,3995,11/21/2011,New Mexico State,17,0,Arizona,19,0,"Melissa Barlow,  Charles Carroll,  Bobby Jarmon"
29,4010,1/12/2012,Oregon,12,0,Arizona,14,0,"Anita Ortega,  Eric Larson,  Wanda Szeremeta"
29,4047,3/8/2012,Arizona State,19,0,Arizona,14,0,"Melissa Barlow,  Clarke Stevens,  Rick Showers"
29,4006,12/31/2011,Arizona State,15,0,Arizona,11,0,"Bob Scofield,  Kent Johnson,  Rick Showers"
29,3999,12/2/2011,Arizona,15,0,Syracuse,23,1,"Laura Rahe,  Ken Sobe,  Mike Ishikawa"
29,4030,2/11/2012,Utah,15,0,Arizona,22,0,"Anita Ortega,  Rick Showers,  Cheryl Flores"
29,4001,12/3/2011,BYU-Hawaii,17,0,Arizona,10,0,"Laura Rahe,  Ken Sobe,  Amber Lee"
29,3992,11/11/2011,Georgia Southern,15,0,Arizona,17,0,"David Jenkins,  Derrick Taylor,  Doglas Cloud"
29,4037,2/23/2012,Usc,16,0,Arizona,20,0,"Cathi Cornell,  Kent Johnson,  Richard Waters"
29,4021,2/2/2012,Arizona,19,0,California,23,0,"Lisa Jones,  Mark Munoz,  Brian Woods"
29,3993,11/13/2011,Georgia State,18,0,Arizona,16,0,"Joe Cunningham,  Taiqua Stewart,  Rashan Michel"
29,4016,1/26/2012,Washington,14,0,Arizona,10,0,"Michael Price,  Michelle Russi,  Bart Baldwin"
29,4041,2/25/2012,Ucla,16,1,Arizona,14,0,"Clarke Stevens,  Kyle Bacon,  Bret Gervasoni"
29,4015,1/22/2012,Arizona,14,0,Colorado,16,1,"Chuck Gonzalez,  Kyle Bacon,  Rich Showers"
29,4035,2/19/2012,Arizona,21,0,Washington,21,0,"Michael Price,  Darren Krzesnik,  Lorena Ahumada"
29,4019,1/28/2012,Washington State,18,0,Arizona,14,0,"Anita Ortega,  Alejandro Moreno,  Bret Gervasoni"
29,4002,12/11/2011,Arizona,12,0,Long Beach State,21,0,"Melissa Barlow,  Eric Larson,  Bret Gervasoni"
29,4043,3/3/2012,Arizona,15,0,Arizona State,23,0,"Marianne Karp,  Sheeley Nakasone,  Chryle Flores"
29,4013,1/19/2012,Arizona,13,0,Utah,13,0,"Melissa Barlow,  Clarke Stevens,  James Morrell"
29,4004,12/21/2011,Arizona,7,0,New Mexico,14,0,"Michelle Russi,  Michol Murray,  Lorena Ahumada"
29,4045,3/7/2012,Ucla,14,0,Arizona,9,0,"Michael Price,  Penny Davis,  Michelle McCoy"
29,3997,12/1/2011,Byu,12,0,Arizona,14,0,"Laura Rahe,  Ken Sobe,  Kirk Hottendorf"
29,4028,2/9/2012,Colorado,13,0,Arizona,10,0,"Penny Davis,  Mary Whatford,  Michol Murray"
29,4008,1/7/2012,Arizona,19,0,Usc,17,0,"Marianne Karp,  Mary Whatford,  Alejandro Moreno"
29,4032,2/16/2012,Arizona,20,0,Washington State,13,0,"Marianne Karp,  Wanda Szeremeta,  Kenneth Nash"
29,4024,2/4/2012,Arizona,11,0,Stanford,13,0,"Cathi Cornell,  Clarke Stevens,  Richard Waters"
725,6061,2/4/2012,Army,14,0,Bucknell,12,0,"Kavin Sparrock (R),  Fidel Gonzalez,  Michael DoCouto"
725,6057,1/18/2012,Colgate,16,0,Army,17,0,"Mark Resch,  Michael Schmidt,  Kimberly Hunter"
725,6040,11/13/2011,Army,17,0,Seton Hall,16,0,"Janice Aliberti (R),  Shannon Feck,  Fidel Gonzalez"
725,6056,1/14/2012,Navy,13,0,Army,13,0,"Bryan Brunette,  Diana DePaul,  Kevin Pethtel"
725,6060,1/29/2012,Army,13,0,Lehigh,15,0,"Joanne Aldrich (R),  Daniel Martin,  An-Jamilah Gregory"
725,6051,12/30/2011,Army,18,0,Quinnipiac,15,0,"Joanne Aldrich (R),  Gary Schimel,  Carlos Alvarez"
725,6047,12/3/2011,Loyola (Md.),18,0,Army,20,0,"Tom Danaher,  Ronald DePasquate,  Ronald Clarkson"
725,6067,2/25/2012,Lehigh,13,0,Army,20,3,"Diana DePaul,  Kevin Farlow,  Mark Behrens"
725,6066,2/22/2012,Army,18,0,Holy Cross,20,0,"Daniel Martin (R),  Janice Aliberti,  Kevin Sparrock"
725,6046,12/1/2011,Army,21,0,Hawai'i,14,0,"Bonnie Pettus (R),  Shawne Goode,  Hillary Harwell"
725,6050,12/20/2011,Arizona State,16,0,Army,13,1,"Wanda Szeremeta,  Mary Whatford,  Lorena Ahumada"
725,6045,11/27/2011,Columbia,22,0,Army,19,0,"John Palermo,  Fidel Gonzalez,  Nykesha Thompson"
725,6053,1/3/2012,Bryant,13,0,Army,20,0,"John Palermo,  Rita Ellen Roach,  David O'Connor"
725,6049,12/10/2011,Penn,15,0,Army,22,0,"Warren Harding,  Brian Callahan,  Desiree Peterkin"
725,6065,2/18/2012,American,20,0,Army,17,0,"Bonnie Pettus,  Kristi Vera,  Shawn Goode"
725,6064,2/15/2012,Army,15,0,Colgate,15,0,"Kevin Farlow (R),  Daniel Martin,  Kenneth Kelly"
725,6048,12/6/2011,Army,12,0,Binghamton,7,0,"Bonnie Pettus (R),  Carlos Alvarez,  Bonita Spence"
725,6068,3/1/2012,Army,15,0,Holy Cross,15,0,"Joseph Vaszily (R),  Geraldine Smith,  Michael DoCouto"
725,6052,1/1/2012,Yale,17,0,Army,18,0,"Joanne Aldrich (R),  Kathleen Lynch,  Hillary Harwell"
725,6044,11/25/2011,Army,18,0,Manhattanville,16,0,"Daniel Martin (R),  Michelle Ross,  Leslie Porschen"
725,6059,1/25/2012,Holy Cross,10,0,Army,12,1,"Michael DoCouto,  Fatou Cissoko,  Ryan Nunes"
725,6063,2/11/2012,Army,13,0,Navy,12,0,"Joseph Vaszily (R),  Bonnie Pettus,  Janice Aliberti"
725,6043,11/23/2011,Army,17,0,Manhattan,12,0,"Joseph Vaszily (R),  Kenneth Kelly,  Hillary Harwell"
725,6055,1/11/2012,Army,17,0,Lafayette,16,0,"Kevin Sparrock (R),  Maggie Tieman,  Nykesha Thompson"
725,6039,11/11/2011,Army,16,0,Wagner,19,0,"Fatou Cissoko (R),  Lynda Kashouh (U),  Michael Motta (U)"
725,6054,1/7/2012,Bucknell,14,0,Army,11,0,"Michael Schmidt,  Nykesha Thompson,  Shannon Feck"
725,6042,11/19/2011,Army,14,0,Fairleigh Dickinson,20,1,"Cynthia Brooks (R),  Bonita Spence,  Jose Rodriguez"
725,6062,2/8/2012,Lafayette,21,0,Army,17,0,"Rachelle Jones,  Shawn Goode,  Daniel Martin"
725,6058,1/21/2012,Army,12,0,American,11,0,"Janice Aliberti (R),  Shawn Goode,  Shannon Feck"
67,7518,1/21/2012,Virginia,13,0,Boston College,18,0,"Felicia Grinter,  Lawson Newton,  Carla Fountain"
67,7522,2/5/2012,Boston College,14,0,Wake Forest,20,0,"Bonita Spence,  Angela Lewis,  Daryl Humphrey"
67,7502,11/20/2011,Arizona State,19,0,Boston College,19,0,"Anita Ortega,  Karen Lasuik,  Brian Woods"
67,7514,1/8/2012,Wake Forest,19,1,Boston College,17,0,"Dee Kantner,  Billy Smith,  Dan Outlaw"
67,7515,1/12/2012,NC State,10,0,Boston College,17,0,"Bonita Spence,  Jesse Dickerson,  Taiqua Stewart"
67,7503,11/27/2011,Boston College,10,0,Bryant,14,0,"Dennis DeMayo,  Duane Mack,  Tom Danaher"
67,7523,2/9/2012,Boston College,11,0,Duke,10,0,"Lawson Newton,  Billy Smith,  Maj Forsberg"
67,7519,1/25/2012,North Carolina,16,0,Boston College,18,0,"Bryan Enterline,  Billy Smith,  Rachelle Jones"
67,7504,11/30/2011,Wisconsin,13,0,Boston College,12,0,"Felicia Grinter,  Beverly Roberts,  Kevin Dillard"
67,7512,1/2/2012,Boston College,8,0,Central Connecticut,16,0,"Joanne Aldrich,  Joseph Vaszily,  Fatou Cissoko"
67,7528,2/26/2012,Miami,10,0,Boston College,15,0,"Denise Brooks,  Angelica Suffren,  Dawn Marsh"
67,7508,12/13/2011,Boston College,16,1,Boston University,10,0,"Billy Smith,  Dee Kantner,  Geraldine Smith"
67,7524,2/13/2012,Virginia Tech,13,0,Boston College,15,0,"Susan Blauch,  Ed Sidlasky,  Angel Stanton"
67,7525,2/16/2012,Boston College,6,0,Clemson,14,0,"Bryan Brunette,  Mark Hardcastle,  Joann Aldrich"
67,7509,12/18/2011,Boston College,14,0,Holy Cross,16,0,"Kathleen Lynch,  Duane Mack,  Joseph Vaszily"
67,7529,3/1/2012,Virginia,8,0,Boston College,13,0,"Wesley Dean,  Ed Sidlasky,  Angelica Suffren"
67,7513,1/5/2012,Boston College,14,0,Virginia Tech,12,0,"Carla Fountain,  Luis Gonzalez,  Mark Behrens"
67,7505,12/4/2011,Dayton,19,0,Boston College,20,0,"Joe Vaszily,  Zach Klein,  Natosha Harris"
67,7506,12/7/2011,Boston College,11,0,Umass,22,0,"Susan Blauch,  Karen Preato,  Fatou Cissoko"
67,7526,2/19/2012,Georgia Tech,13,0,Boston College,13,0,"Wesley Dean,  Bonita Spence,  Joseph Vaszily"
67,7527,2/23/2012,Boston College,15,0,NC State,12,0,"Susan Blauch,  Kathleen Lynch,  Daryl Humphrey"
67,7507,12/10/2011,Univ. of Hartford,8,1,Boston College,16,0,"Michelle O'Connor-St. Pierre,  John Palermo,  Duane Mack"
67,7511,12/29/2011,Saint Joseph's,16,0,Boston College,19,0,"Rachelle Jones,  Pastor Torres,  Kevin Farlow"
67,7520,1/29/2012,Boston College,22,0,Miami,12,0,"Ed Sidlasky,  Angel Stanton,  Jennifer Rezac"
67,7516,1/15/2012,Boston College,20,0,Georgia Tech,12,0,"Dennis DeMayo,  Angelica Suffren,  Rachelle Jones"
67,7500,11/11/2011,Boston College,21,0,Fairleigh Dickinson,23,0,"Bonita Spence,  Rachelle Jones,  Norma Jones"
67,7501,11/16/2011,Rutgers,16,0,Boston College,14,0,"Dennis DeMayo,  Rachelle Jones,  Bryan Brunette"
67,7517,1/19/2012,Boston College,17,0,Florida State,6,0,"Denise Brooks,  Mark Hardcastle,  Dawn Marsh"
67,7521,2/2/2012,Maryland,9,0,Boston College,15,0,"Joe Cunningham,  Wesley Dean,  Luis Gonzalez"
157,1931,1/26/2012,Colorado,12,0,Usc,14,1,"Robert Scofield,  Kent Johnson,  Richard Waters"
157,1927,1/14/2012,Colorado,15,0,Stanford,17,0,"Anita Ortega,  Alejandro Moreno,  Karen Lasuik"
157,1907,11/26/2011,Colorado,14,1,Wisconsin,18,0,"Michael Price,  Alejandro Moreno,  Mary Whatford"
157,1911,11/30/2011,Colorado,16,0,San Francisco,12,0,"Robert Scofield,  Shelley Nakasone,  Brian Woods"
157,1947,3/7/2012,Utah,17,0,Colorado,14,0,"Robert Scofield,  Marianne Karp,  Wanda Szeremeta"
157,1951,3/14/2012,Colorado,17,0,Northern Colorado,18,0,"Randy Campbell,  Warren Smith,  Leah Gonyeau"
157,1926,1/12/2012,Colorado,13,0,California,7,0,"Robert Scofield,  Michol Murray,  Paul Patterson"
157,1930,1/22/2012,Arizona,14,0,Colorado,16,1,"Chuck Gonzalez,  Kyle Bacon,  Rich Showers"
157,1891,11/16/2011,Texas A&M - Corpus C,18,0,Colorado,22,0,"Peter Contreras,  Lorenzo Alvarez Jr.,  Ivory Bickham"
157,1937,2/9/2012,Colorado,13,0,Arizona,10,0,"Penny Davis,  Mary Whatford,  Michol Murray"
157,1921,12/21/2011,Colorado,11,0,Creighton,9,0,"Darci Doll,  Travis Jones,  Cynthia Clark"
157,1916,12/20/2011,Texas-Pan American,17,0,Colorado,16,0,"Darci Doll,  Ivory Bickham,  Travis Jones"
157,1941,2/23/2012,Stanford,14,0,Colorado,25,0,"Clarke Stevens,  Mark Munoz,  Paul Patterson"
157,1957,3/25/2012,Oklahoma State,11,0,Colorado,20,0,"Bill Larance,  Charles Carroll,  Cathi Cornell"
157,1915,12/17/2011,Colorado,11,0,Weber State,13,0,"Marianne Karp,  Michol Murray,  Bret Gervasoni"
157,1942,2/25/2012,California,13,0,Colorado,16,0,"Michael Price,  Rick Showers,  Cheryl Flores"
157,1939,2/18/2012,Colorado,18,1,Utah,15,1,"Marianne Karp,  Kyle Bacon,  Jimm Morrell"
157,1923,1/5/2012,Washington,14,0,Colorado,23,0,"Brenda Pantoja,  Clarke Stevens,  Mazetta Garrett"
157,1935,2/4/2012,Oregon,10,0,Colorado,20,0,"Melissa Barlow,  Rick Showers,  Bart Baldwin"
