season,division,team_id,team,url
2025,1,591979,A&M-Corpus Christi,https://stats.ncaa.org/teams/591979
2025,1,591665,Abilene Christian,https://stats.ncaa.org/teams/591665
2025,1,591934,Air Force,https://stats.ncaa.org/teams/591934
2025,1,591666,Akron,https://stats.ncaa.org/teams/591666
2025,1,591669,Alabama,https://stats.ncaa.org/teams/591669
2025,1,591667,Alabama A&M,https://stats.ncaa.org/teams/591667
2025,1,591668,Alabama St.,https://stats.ncaa.org/teams/591668
2025,1,591672,Alcorn,https://stats.ncaa.org/teams/591672
2025,1,591673,American,https://stats.ncaa.org/teams/591673
2025,1,591674,App State,https://stats.ncaa.org/teams/591674
2025,1,591676,Arizona,https://stats.ncaa.org/teams/591676
2025,1,591675,Arizona St.,https://stats.ncaa.org/teams/591675
2025,1,591973,Ark.-Pine Bluff,https://stats.ncaa.org/teams/591973
2025,1,591678,Arkansas,https://stats.ncaa.org/teams/591678
2025,1,591677,Arkansas St.,https://stats.ncaa.org/teams/591677
2025,1,591935,Army West Point,https://stats.ncaa.org/teams/591935
2025,1,591680,Auburn,https://stats.ncaa.org/teams/591680
2025,1,591681,Austin Peay,https://stats.ncaa.org/teams/591681
2025,1,591692,BYU,https://stats.ncaa.org/teams/591692
2025,1,591682,Ball St.,https://stats.ncaa.org/teams/591682
2025,1,591684,Baylor,https://stats.ncaa.org/teams/591684
2025,1,591932,Bellarmine,https://stats.ncaa.org/teams/591932
2025,1,591657,Belmont,https://stats.ncaa.org/teams/591657
2025,1,591685,Bethune-Cookman,https://stats.ncaa.org/teams/591685
2025,1,591686,Binghamton,https://stats.ncaa.org/teams/591686
2025,1,591687,Boise St.,https://stats.ncaa.org/teams/591687
2025,1,591688,Boston College,https://stats.ncaa.org/teams/591688
2025,1,591689,Boston U.,https://stats.ncaa.org/teams/591689
2025,1,591690,Bowling Green,https://stats.ncaa.org/teams/591690
2025,1,591691,Bradley,https://stats.ncaa.org/teams/591691
2025,1,591693,Brown,https://stats.ncaa.org/teams/591693
2025,1,591694,Bryant,https://stats.ncaa.org/teams/591694
2025,1,591695,Bucknell,https://stats.ncaa.org/teams/591695
2025,1,591696,Buffalo,https://stats.ncaa.org/teams/591696
2025,1,591697,Butler,https://stats.ncaa.org/teams/591697
2025,1,591699,CSU Bakersfield,https://stats.ncaa.org/teams/591699
2025,1,591703,CSUN,https://stats.ncaa.org/teams/591703
2025,1,591698,Cal Poly,https://stats.ncaa.org/teams/591698
2025,1,591701,Cal St. Fullerton,https://stats.ncaa.org/teams/591701
2025,1,591706,California,https://stats.ncaa.org/teams/591706
2025,1,591981,California Baptist,https://stats.ncaa.org/teams/591981
