rank,program,network,time,duration,rating,viewers,date
1,WWE ENTERTAINMENT,USA NETWORK,9:00 PM,60,0.96,"2,754",2019-04-01
2,WWE ENTERTAINMENT,USA NETWORK,8:00 PM,60,0.96,"2,788",2019-04-01
3,WWE ENTERTAINMENT,USA NETWORK,10:00 PM,61,0.83,"2,374",2019-04-01
4,LOVE & HIP HOP ATLANTA 8,VH1,8:00 PM,61,0.80,"1,639",2019-04-01
5,VANDERPUMP RULES,BRAVO,9:00 PM,60,0.57,"1,362",2019-04-01
6,TEEN MOM II SSN9,MTV,9:00 PM,62,0.50,966,2019-04-01
7,LOVE & HIP HOP AWARDS,VH1,9:01 PM,60,0.46,990,2019-04-01
8,STREET OUTLAWS: N/A,DISCOVERY CHANNEL,9:00 PM,121,0.44,"1,247",2019-04-01
9,SPRING BAKING CHAMPION,FOOD NETWORK,9:00 PM,60,0.39,"1,274",2019-04-01
10,AMERICAN DAD TBS,TBS NETWORK,10:00 PM,30,0.35,736,2019-04-01
11,BETRAYED,INVESTIGATION DISCOVERY,10:00 PM,60,0.30,"1,098",2019-04-01
12,TUCKER CARLSON TONIGHT,FOX NEWS CHANNEL,8:00 PM,60,0.27,"3,053",2019-04-01
13,DAILY SHOW,COMEDY CENTRAL,11:00 PM,36,0.27,832,2019-04-01
14,FAMILY FOOD SHOWDOWN,FOOD NETWORK,10:00 PM,60,0.25,757,2019-04-01
15,ONE OF A KIND,HOME AND GARDEN TV,10:00 PM,30,0.24,"1,276",2019-04-01
16,HOME TOWN,HOME AND GARDEN TV,9:00 PM,60,0.24,"1,269",2019-04-01
17,MLB WEEKDAY  L: CHICAGO CUBS/ATLANTA,ESPN,7:13 PM,192,0.23,759,2019-04-01
18,HOUSE HUNTERS,HOME AND GARDEN TV,8:00 PM,30,0.23,961,2019-04-01
19,RACHEL MADDOW SHOW,MSNBC,9:00 PM,60,0.23,"2,489",2019-04-01
20,COPS (O),PARAMOUNT,10:00 PM,30,0.23,655,2019-04-01
21,HANNITY,FOX NEWS CHANNEL,9:00 PM,60,0.22,"2,939",2019-04-01
22,SUMMER HOUSE,BRAVO,10:00 PM,60,0.21,570,2019-04-01
23,GRAVE MYSTERIES,INVESTIGATION DISCOVERY,9:00 PM,60,0.20,842,2019-04-01
24,SPRING BAKING CHAMPION,FOOD NETWORK,8:00 PM,60,0.20,755,2019-04-01
25,HOUSE HUNTERS INTL,HOME AND GARDEN TV,10:30 PM,30,0.20,"1,086",2019-04-01
26,THE FIRST 48,A&E NETWORK,9:00 PM,59,0.20,574,2019-04-01
27,"FIVE, THE",FOX NEWS CHANNEL,5:00 PM,60,0.19,"2,592",2019-04-01
28,"INGRAHAM ANGLE, THE",FOX NEWS CHANNEL,10:00 PM,60,0.19,"2,467",2019-04-01
29,MLB OPENING DAY      L: SAN FRANCISCO/LA DODGERS,ESPN,10:25 PM,166,0.19,474,2019-04-01
30,"STORY, THE",FOX NEWS CHANNEL,7:00 PM,60,0.18,"2,015",2019-04-01
31,JESUS: HIS LIFE,HISTORY,8:00 PM,60,0.18,"1,175",2019-04-01
32,WMNS NCAA BKBL CHAMP L,ESPN2,9:04 PM,109,0.18,"1,092",2019-04-01
33,"SUBSTITUTE, THE",NICKELODEON,2:00 PM,30,0.18,866,2019-04-01
34,LAST WORD W/ L. ODONNELL,MSNBC,10:00 PM,60,0.18,"2,058",2019-04-01
35,JESUS: HIS LIFE,HISTORY,9:00 PM,60,0.18,"1,249",2019-04-01
36,TEEN MOM BEING CORY,MTV,10:02 PM,61,0.18,398,2019-04-01
37,CUOMO PRIME TIME,CNN,9:00 PM,60,0.17,973,2019-04-01
38,INTO THE BADLANDS,AMC,10:00 PM,61,0.17,609,2019-04-01
39,FOX AND FRIENDS,FOX NEWS CHANNEL,8:00 AM,60,0.17,"1,874",2019-04-01
40,SPECIAL RPT W/BRET BAIER,FOX NEWS CHANNEL,6:00 PM,60,0.16,"2,211",2019-04-01
41,FOX NEWS AT NIGHT,FOX NEWS CHANNEL,11:00 PM,60,0.16,"1,435",2019-04-01
42,SPORTSCENTER AM      L,ESPN,12:00 PM,60,0.15,350,2019-04-01
43,THE FIRST 48,A&E NETWORK,1:03 AM,59,0.15,401,2019-04-01
44,"EXPENDABLES TRIPLE THREAT: EXPENDABLES, THE",AMC,7:30 PM,150,0.15,566,2019-04-01
45,FIRST TAKE   L: N/A,ESPN,10:00 AM,120,0.15,400,2019-04-01
46,SPORTSCENTER 1AM        L,ESPN,1:11 AM,61,0.15,300,2019-04-01
47,SPORTSCENTER AM      L,ESPN,7:00 AM,60,0.15,365,2019-04-01
48,WE BARE BEARS,THE CARTOON NETWORK,7:00 PM,30,0.15,518,2019-04-01
49,AMERICAS NEWSROOM,FOX NEWS CHANNEL,9:00 AM,60,0.15,"1,807",2019-04-01
50,NHL REGULAR SEASON  L: COLORADO/ST. LOUIS,NBC SPORTS NETWORK,8:03 PM,163,0.15,365,2019-04-01
51,WMNS NCAA BKBL CHAMP L,ESPN2,7:00 PM,116,0.15,942,2019-04-01
52,CNN TONIGHT,CNN,10:00 PM,60,0.15,882,2019-04-01
53,MLB OPENING DAY      L,ESPN,6:01 PM,72,0.15,513,2019-04-01
54,FOX AND FRIENDS,FOX NEWS CHANNEL,7:00 AM,60,0.14,"1,563",2019-04-01
55,GET UP   L: N/A,ESPN,8:00 AM,120,0.14,396,2019-04-01
56,HOSTILE PLANET,NATIONAL GEOGRAPHIC,9:00 PM,61,0.14,691,2019-04-01
57,ALL IN W/ CHRIS HAYES,MSNBC,8:00 PM,60,0.14,"1,470",2019-04-01
58,AMERICAS NEWSROOM,FOX NEWS CHANNEL,10:00 AM,60,0.14,"1,754",2019-04-01
59,CORN AND PEG,NICKELODEON,9:00 AM,30,0.14,560,2019-04-01
60,AMERICAS NEWSROOM,FOX NEWS CHANNEL,11:00 AM,60,0.14,"1,647",2019-04-01
61,E! NEWS,E!,7:00 PM,60,0.13,423,2019-04-01
62,WE BARE BEARS,THE CARTOON NETWORK,7:30 PM,30,0.13,526,2019-04-01
63,ANDERSON COOPER 360,CNN,8:00 PM,60,0.13,791,2019-04-01
64,ESCAPING POLYGAMY,LIFETIME TELEVISION,10:03 PM,60,0.13,427,2019-04-01
65,11TH HOUR W/B. WILLIAMS,MSNBC,11:00 PM,60,0.13,"1,452",2019-04-01
66,SHADOWHUNTERS,FREEFORM,8:00 PM,61,0.13,367,2019-04-01
67,HARDBALL WITH C. MATTHEWS,MSNBC,7:00 PM,60,0.12,"1,355",2019-04-01
68,HAUNTED HOSPITALS,TRAVEL CHANNEL,10:00 PM,60,0.12,388,2019-04-01
69,SPORTSCENTER LATE       L,ESPN2,10:53 PM,67,0.12,419,2019-04-01
70,MLB OPENING DAY      L: ST. LOUIS/PITTSBURGH,ESPN,1:00 PM,301,0.12,480,2019-04-01
71,OUTNUMBERED,FOX NEWS CHANNEL,12:00 PM,60,0.12,"1,693",2019-04-01
72,FOX AND FRIENDS,FOX NEWS CHANNEL,6:00 AM,60,0.12,"1,148",2019-04-01
73,YOUR WORLD W/NEIL CAVUTO,FOX NEWS CHANNEL,4:00 PM,60,0.12,"1,458",2019-04-01
74,ERIN BURNETT OUTFRONT,CNN,7:00 PM,60,0.12,684,2019-04-01
75,SITUATION ROOM,CNN,6:00 PM,60,0.11,617,2019-04-01
76,DAILY BRIEFING W/D.PERINO,FOX NEWS CHANNEL,2:00 PM,60,0.11,"1,347",2019-04-01
77,ESCAPING POLYGAMY,LIFETIME TELEVISION,8:00 PM,58,0.11,358,2019-04-01
78,OUTDAUGHTRED: QUINT CUTE: N/A,TLC,8:00 PM,180,0.11,500,2019-04-01
79,CRAIG OF THE CREEK,THE CARTOON NETWORK,5:00 PM,30,0.10,427,2019-04-01
80,SITUATION ROOM,CNN,5:00 PM,60,0.10,688,2019-04-01
81,TEEN TITANS GO,THE CARTOON NETWORK,6:00 PM,30,0.10,418,2019-04-01
82,LPBW: CLIPSHOW: N/A,TLC,6:00 PM,120,0.10,458,2019-04-01
83,SHEPARD SMITH REPORTING,FOX NEWS CHANNEL,3:00 PM,60,0.10,"1,299",2019-04-01
84,WILD HAWAII COMPILATION,NATIONAL GEOGRAPHIC,8:00 PM,60,0.10,533,2019-04-01
85,SPORTSCENTER EARLY      L,ESPN2,6:02 PM,58,0.10,279,2019-04-01
86,OUTNUMBERED OVERTIME,FOX NEWS CHANNEL,1:00 PM,60,0.10,"1,426",2019-04-01
87,PARANORMAL 911,TRAVEL CHANNEL,9:00 PM,60,0.09,357,2019-04-01
