rank,program,network,time,duration,rating,viewers,date
1,NBA BASKETBALL: WARRIORS/LAKERS,TURNER NETWORK TELEVISION,10:41 PM,127,0.56,"1,677",2019-04-04
2,NBA BASKETBALL: BUCKS/76ERS,TURNER NETWORK TELEVISION,8:14 PM,147,0.51,"1,576",2019-04-04
3,EX BEACH S2 REUNION PT 2,MTV,8:00 PM,61,0.35,672,2019-04-04
4,RUPAULS DRAG RACE 11,VH1,9:00 PM,90,0.31,627,2019-04-04
5,HOUSE HUNTERS INTL,HOME AND GARDEN TV,10:30 PM,30,0.29,"1,373",2019-04-04
6,BEAT B.FLAY,FOOD NETWORK,10:00 PM,30,0.28,891,2019-04-04
7,TUCKER CARLSON TONIGHT,FOX NEWS CHANNEL,8:00 PM,60,0.28,"2,814",2019-04-04
8,KILLING TIME,INVESTIGATION DISCOVERY,10:00 PM,60,0.27,953,2019-04-04
9,INSIDE THE NBA,TURNER NETWORK TELEVISION,12:48 AM,43,0.26,735,2019-04-04
10,DEAD OF NIGHT,INVESTIGATION DISCOVERY,9:00 PM,60,0.26,"1,020",2019-04-04
11,SWAMP PEOPLE,HISTORY,9:00 PM,63,0.26,"1,438",2019-04-04
12,HOUSE HUNTERS,HOME AND GARDEN TV,10:00 PM,30,0.26,"1,296",2019-04-04
13,RACHEL MADDOW SHOW,MSNBC,9:00 PM,60,0.25,"2,826",2019-04-04
14,FIRST 48 AC: FALLEN ANGEL (HOMICIDE SQD ATL),A&E NETWORK,8:00 PM,182,0.23,807,2019-04-04
15,COLL SLAM DUNK 3PT CHP L: N/A,ESPN,9:03 PM,142,0.23,698,2019-04-04
16,IMPRACTICAL JOKERS,TRUTV,10:00 PM,30,0.23,499,2019-04-04
17,DAILY SHOW,COMEDY CENTRAL,11:00 PM,36,0.23,752,2019-04-04
18,HANNITY,FOX NEWS CHANNEL,9:00 PM,60,0.22,"2,937",2019-04-04
19,UNTUCKED 10,VH1,10:30 PM,30,0.22,422,2019-04-04
20,PROJECT RUNWAY,BRAVO,8:00 PM,90,0.21,941,2019-04-04
21,"INGRAHAM ANGLE, THE",FOX NEWS CHANNEL,10:00 PM,60,0.20,"2,552",2019-04-04
22,SPORTSCENTER LATE       L,ESPN,11:25 PM,35,0.20,455,2019-04-04
23,TACOMA FD,TRUTV,10:30 PM,30,0.20,399,2019-04-04
24,FLIP OR FLOP VEGAS,HOME AND GARDEN TV,9:00 PM,30,0.20,988,2019-04-04
25,NBA TIP-OFF,TURNER NETWORK TELEVISION,8:00 PM,14,0.20,689,2019-04-04
26,MY 600LB LIFE WATN: SUPER: N/A,TLC,8:00 PM,120,0.19,617,2019-04-04
27,PARDON THE INTERRUPTION,ESPN,5:30 PM,30,0.19,632,2019-04-04
28,SPORTSCENTER 12AM  L,ESPN,12:00 AM,60,0.19,385,2019-04-04
29,LITTLE WOMEN ATL,LIFETIME TELEVISION,9:00 PM,63,0.19,629,2019-04-04
30,LAST WORD W/ L. ODONNELL,MSNBC,10:00 PM,60,0.18,"2,320",2019-04-04
31,BRAXTON FAMILY VALUES,WETV,9:00 PM,60,0.18,642,2019-04-04
32,"STORY, THE",FOX NEWS CHANNEL,7:30 PM,30,0.18,"1,691",2019-04-04
33,GAME OF CLONES,MTV,9:01 PM,61,0.17,330,2019-04-04
34,HOWARD SCHULTZ TOWN HALL,FOX NEWS CHANNEL,6:30 PM,60,0.17,"1,877",2019-04-04
35,TEEN TITANS GO,THE CARTOON NETWORK,6:00 AM,60,0.16,385,2019-04-04
36,"AMERICAN FARM, THE",HISTORY,10:03 PM,62,0.16,833,2019-04-04
37,11TH HOUR W/B. WILLIAMS,MSNBC,11:00 PM,60,0.15,"1,449",2019-04-04
38,BETTER THINGS,FX,10:00 PM,39,0.15,418,2019-04-04
39,FOX NEWS AT NIGHT,FOX NEWS CHANNEL,11:00 PM,60,0.15,"1,413",2019-04-04
