rank,program,network,time,duration,rating,viewers,date
1,CURSE OF OAK ISLAND,HISTORY,9:00 PM,63,0.52,"3,181",2021-03-23
2,NBA BASKETBALL: 76ERS/WARRIORS,TURNER NETWORK TELEVISION,10:19 PM,157,0.35,996,2021-03-23
3,NBA BASKETBALL: LAKERS/PELICANS,TURNER NETWORK TELEVISION,7:43 PM,156,0.32,920,2021-03-23
4,MOONSHINERS,DISCOVERY CHANNEL,8:00 PM,61,0.27,"1,112",2021-03-23
5,MAYANS M.C.,FX,10:00 PM,77,0.27,843,2021-03-23
6,TEEN MOM SSN 9,MTV,8:00 PM,60,0.24,532,2021-03-23
7,TUCKER CARLSON TONIGHT,FOX NEWS CHANNEL,8:00 PM,60,0.23,"3,205",2021-03-23
8,HANNITY,FOX NEWS CHANNEL,9:00 PM,60,0.22,"2,814",2021-03-23
9,CHOPPED,FOOD NETWORK,9:00 PM,60,0.21,839,2021-03-23
10,"INGRAHAM ANGLE, THE",FOX NEWS CHANNEL,10:00 PM,60,0.21,"2,188",2021-03-23
11,"OVAL, THE S2",BLACK ENTERTAINMENT TV,9:00 PM,60,0.20,897,2021-03-23
12,TEMPTATION ISLAND,USA NETWORK,10:00 PM,72,0.19,526,2021-03-23
13,RACHEL MADDOW SHOW,MSNBC,9:00 PM,60,0.19,"2,711",2021-03-23
14,BASKETBALL WIVES 9,VH1,8:00 PM,60,0.19,458,2021-03-23
15,HOUSE HUNTERS,HOME AND GARDEN TV,10:01 PM,30,0.19,"1,181",2021-03-23
16,HOUSE HUNTERS INTL,HOME AND GARDEN TV,10:31 PM,30,0.18,"1,107",2021-03-23
17,"FIVE, THE",FOX NEWS CHANNEL,5:00 PM,60,0.18,"2,955",2021-03-23
18,REAL HOUSEWIVES OF DALLAS,BRAVO,9:00 PM,60,0.18,490,2021-03-23
19,SITUATION ROOM,CNN,5:00 PM,60,0.18,"1,121",2021-03-23
20,ANDERSON COOPER 360,CNN,8:00 PM,60,0.17,"1,374",2021-03-23
21,NBA PRE-GAME SHOW,TURNER NETWORK TELEVISION,7:30 PM,13,0.17,422,2021-03-23
22,ERIN BURNETT OUTFRONT,CNN,7:00 PM,60,0.17,"1,249",2021-03-23
23,ASSEMBLY REQUIRED,HISTORY,10:03 PM,62,0.17,904,2021-03-23
24,SITUATION ROOM,CNN,6:00 PM,60,0.17,953,2021-03-23
25,TEMPTATION ISLAND,USA NETWORK,8:59 PM,61,0.16,469,2021-03-23
26,CNN TONIGHT,CNN,10:00 PM,60,0.16,"1,059",2021-03-23
27,STILL A MYSTERY,INVESTIGATION DISCOVERY,10:00 PM,60,0.16,681,2021-03-23
28,WMNS NCAA BKBL CHAMP L,ESPN,9:01 PM,115,0.16,804,2021-03-23
29,OUTDAUGHTERED,TLC,8:00 PM,60,0.16,846,2021-03-23
30,UNSELLABLE HOUSES REPACK,HOME AND GARDEN TV,9:01 PM,30,0.15,992,2021-03-23
31,"MISERY INDEX, THE",TBS NETWORK,10:30 PM,30,0.15,523,2021-03-23
32,DAILY SHOW,COMEDY CENTRAL,11:00 PM,31,0.15,526,2021-03-23
33,DPLUS FL: PIG ROYALTY,DISCOVERY CHANNEL,9:01 PM,68,0.15,573,2021-03-23
34,LEAD WITH JAKE TAPPER,CNN,4:00 PM,60,0.15,"1,090",2021-03-23
35,UNSELLABLE HOUSES REPACK,HOME AND GARDEN TV,8:31 PM,30,0.15,906,2021-03-23
36,UNSELLABLE HOUSES REPACK,HOME AND GARDEN TV,9:31 PM,30,0.15,989,2021-03-23
37,ANDERSON COOPER 360,CNN,9:00 PM,60,0.15,"1,210",2021-03-23
38,CNN NEWSROOM,CNN,1:00 PM,60,0.15,"1,143",2021-03-23
39,CNN NEWSROOM,CNN,12:00 PM,60,0.14,"1,117",2021-03-23
40,DAILY SHOW – SUS,COMEDY CENTRAL,11:31 PM,11,0.14,390,2021-03-23
41,PARDON THE INTERRUPTION,ESPN,5:30 PM,30,0.14,562,2021-03-23
42,CNN TONIGHT,CNN,11:00 PM,60,0.13,813,2021-03-23
43,SPECIAL RPT W/BRET BAIER,FOX NEWS CHANNEL,6:00 PM,60,0.13,"2,049",2021-03-23
44,CNN NEWSROOM,CNN,11:00 AM,60,0.13,"1,112",2021-03-23
45,UNSELLABLE HOUSES REPACK,HOME AND GARDEN TV,8:00 PM,31,0.13,875,2021-03-23
46,FOX NEWS PRIMETIME,FOX NEWS CHANNEL,7:00 PM,60,0.13,"1,811",2021-03-23
47,CNN NEWSROOM,CNN,2:00 PM,60,0.13,"1,049",2021-03-23
48,CNN NEWSROOM,CNN,3:00 PM,60,0.13,"1,037",2021-03-23
49,AMERICA REPORTS,FOX NEWS CHANNEL,1:00 PM,60,0.12,"1,392",2021-03-23
50,CNN NEWSROOM,CNN,10:00 AM,60,0.12,"1,042",2021-03-23
51,CNN NEWSROOM,CNN,9:00 AM,60,0.12,934,2021-03-23
52,LAST WORD W/ L. ODONNELL,MSNBC,10:00 PM,60,0.12,"1,686",2021-03-23
53,AROUND THE HORN,ESPN,5:00 PM,30,0.11,405,2021-03-23
54,INSIDE THE NBA,TURNER NETWORK TELEVISION,12:56 AM,65,0.11,303,2021-03-23
55,FOX AND FRIENDS,FOX NEWS CHANNEL,8:00 AM,60,0.11,"1,447",2021-03-23
56,AMERICAS NEWSROOM,FOX NEWS CHANNEL,10:00 AM,60,0.11,"1,505",2021-03-23
57,16 AND PREGNANT SSN 6B,MTV,9:00 PM,60,0.11,291,2021-03-23
58,"FAULKNER FOCUS, THE",FOX NEWS CHANNEL,11:00 AM,60,0.11,"1,427",2021-03-23
59,FOX NEWS AT NIGHT,FOX NEWS CHANNEL,11:00 PM,60,0.11,"1,216",2021-03-23
60,BLENDED BUNCH,TLC,9:00 PM,60,0.11,494,2021-03-23
61,GENIUS,NATIONAL GEOGRAPHIC,9:00 PM,58,0.11,984,2021-03-23
62,OUTNUMBERED,FOX NEWS CHANNEL,12:00 PM,60,0.10,"1,487",2021-03-23
63,DELICIOUSNESS SSN2,MTV,7:00 PM,30,0.10,235,2021-03-23
64,SPORTSCENTER 12AM  L,ESPN,12:00 AM,60,0.10,272,2021-03-23
65,AMERICA REPORTS,FOX NEWS CHANNEL,2:00 PM,60,0.10,"1,206",2021-03-23
66,AMERICAS NEWSROOM,FOX NEWS CHANNEL,9:00 AM,60,0.10,"1,521",2021-03-23
67,WATCH WHAT HAPPENS LIVE,BRAVO,10:00 PM,30,0.10,301,2021-03-23
68,YOUR WORLD W/NEIL CAVUTO,FOX NEWS CHANNEL,4:00 PM,60,0.10,"1,254",2021-03-23
69,WMNS NCAA BKBL CHAMP L: OREGON STATE/SOUTH CAROLINA,ESPN,7:00 PM,121,0.10,530,2021-03-23
70,SPORTSCENTER 12AM  L,ESPN,10:56 PM,64,0.10,340,2021-03-23
71,RIZZOLI & ISLES,LIFETIME TELEVISION,9:00 PM,61,0.10,658,2021-03-23
72,STORAGE WARS,A&E NETWORK,8:00 PM,28,0.10,488,2021-03-23
73,NEW DAY,CNN,8:00 AM,60,0.10,773,2021-03-23
74,UNEXPECTED: MORE TO LOVE,TLC,10:00 PM,60,0.10,377,2021-03-23
75,11TH HOUR W/B. WILLIAMS,MSNBC,11:00 PM,60,0.10,"1,298",2021-03-23
76,"STORY, THE",FOX NEWS CHANNEL,3:00 PM,60,0.09,"1,127",2021-03-23
77,FIRST TAKE   L: N/A,ESPN,10:00 AM,120,0.09,335,2021-03-23
78,GENIUS,NATIONAL GEOGRAPHIC,9:58 PM,61,0.09,"1,025",2021-03-23
79,SPORTSCENTER EARLY      L,ESPN,6:00 PM,60,0.09,332,2021-03-23
80,TYLER PERRYS RUTHLESS,BLACK ENTERTAINMENT TV,10:00 PM,60,0.09,428,2021-03-23
81,REIDOUT,MSNBC,7:00 PM,60,0.09,"1,495",2021-03-23
82,BELOW DECK SAILING YACHT,BRAVO,7:00 PM,60,0.09,230,2021-03-23
83,SPORTSCENTER AM      L,ESPN,1:00 PM,60,0.09,279,2021-03-23
84,RIZZOLI & ISLES,LIFETIME TELEVISION,8:00 PM,58,0.08,621,2021-03-23
85,SPORTSCENTER AM      L,ESPN,12:00 PM,60,0.08,324,2021-03-23
86,NEW DAY,CNN,7:00 AM,60,0.08,652,2021-03-23
87,NFL LIVE                L,ESPN,4:00 PM,60,0.08,275,2021-03-23
88,QUEEN SUGAR,OPRAH WINFREY NETWORK,8:00 PM,60,0.08,630,2021-03-23
89,DELICIOUSNESS SSN2,MTV,7:30 PM,30,0.08,166,2021-03-23
90,REAL HOUSEWIVES OF DALLAS,BRAVO,8:00 PM,60,0.08,209,2021-03-23
91,ALL IN W/ CHRIS HAYES,MSNBC,8:00 PM,60,0.08,"1,700",2021-03-23
92,PROFIT BONUS EDITION,CNBC,10:00 PM,60,0.08,304,2021-03-23
93,FOOD PARADISE,FOOD NETWORK,12:00 PM,60,0.07,341,2021-03-23
94,GET UP   L: N/A,ESPN,8:00 AM,120,0.07,301,2021-03-23
95,WMNS NCAA BKBL CHAMP L: MICHIGAN/TENNESSEE,ESPN2,5:02 PM,122,0.07,453,2021-03-23
96,SPORTSCENTER 1AM        L,ESPN,1:00 AM,60,0.07,168,2021-03-23
97,MSNBC LIVE W/K.TUR,MSNBC,2:00 PM,60,0.07,935,2021-03-23
98,GRAVEYARD CARZ,MOTOR TREND,10:00 PM,60,0.07,266,2021-03-23
99,SPORTSCENTER AM      L,ESPN,7:00 AM,60,0.07,241,2021-03-23
100,NEW DAY,CNN,6:00 AM,60,0.07,538,2021-03-23
101,BELOW DECK SAILING YACHT,BRAVO,6:00 PM,60,0.07,203,2021-03-23
102,MTP DAILY,MSNBC,1:00 PM,60,0.07,"1,114",2021-03-23
103,HIGHLY QUESTIONABLE,ESPN,2:30 PM,30,0.07,236,2021-03-23
104,NHL REGULAR SEASON  L: NEW JERSEY/PHILADELPHIA,NBC SPORTS NETWORK,7:01 PM,162,0.07,200,2021-03-23
105,BELOW DECK SAILING YACHT,BRAVO,5:00 PM,60,0.07,190,2021-03-23
106,JALEN & JACOBY,ESPN,2:00 PM,30,0.06,215,2021-03-23
107,PEOPLE PUZZLER,GSN,6:00 PM,30,0.06,510,2021-03-23
108,BEAT W/ARI MELBER,MSNBC,6:00 PM,60,0.06,"1,410",2021-03-23
109,OVERSERVED WITH LVP,BRAVO,10:30 PM,30,0.06,222,2021-03-23
110,MORNING JOE: N/A,MSNBC,6:00 AM,180,0.06,"1,102",2021-03-23
111,ANDREA MITCHELL REPORTS,MSNBC,12:00 PM,60,0.06,"1,064",2021-03-23
112,WMNS NCAA BKBL CHAMP L,ESPN2,7:04 PM,117,0.06,380,2021-03-23
113,MSNBC LIVE W/ C.MELVIN,MSNBC,11:15 AM,45,0.06,"1,073",2021-03-23
114,MSNBC LIVE W/ S.RUHLE,MSNBC,9:00 AM,60,0.06,"1,106",2021-03-23
115,MSNBC LIVE W/A.MOHYELDIN,MSNBC,3:00 PM,60,0.06,893,2021-03-23
