rank,program,network,time,duration,rating,viewers,date
1,TBS NCAA BSKBL CHMP SA-2: PURDUE VS VIRGINIA,TBS NETWORK,8:45 PM,145,2.93,"10,486",2019-03-30
2,TBS NCAA BSKBL-BRIDGE-SAT,TBS NETWORK,8:29 PM,16,2.55,"8,826",2019-03-30
3,TBS NCAA BSKBL CHMP SA-1: TEXAS TECH VS GONZAGA,TBS NETWORK,6:00 PM,149,2.04,"7,722",2019-03-30
4,TBS NCAA BKB POST GAME-SA,TBS NETWORK,11:15 PM,30,1.21,"3,701",2019-03-30
5,LIVE PD: 195 LIVE PD,A&E NETWORK,9:00 PM,180,0.62,"1,949",2019-03-30
6,LAST OG POST ELITE 8,TBS NETWORK,11:45 PM,23,0.61,"1,633",2019-03-30
7,DRAGON BALL SUPER,ADULT SWIM,11:00 PM,30,0.33,777,2019-03-30
8,ROAD TO FINAL FOUR-SAT,TBS NETWORK,5:00 PM,60,0.29,"1,225",2019-03-30
9,UFC FIGHT NIGHT  L: BARBOZA VS. GAETHJE,ESPN,7:00 PM,181,0.26,828,2019-03-30
10,BORUTO:NARUTO NEXT GEN,ADULT SWIM,11:30 PM,30,0.24,507,2019-03-30
11,HALL ORIGINAL MOVIE: A BRUSH WITH LOVE,HALLMARK CHANNEL,8:00 PM,120,0.22,"2,057",2019-03-30
12,"KITCHEN AT FN, THE",FOOD NETWORK,11:00 AM,60,0.21,"1,116",2019-03-30
13,SPORTSCENTER 1AM        L,ESPN,1:00 AM,60,0.21,454,2019-03-30
14,POWER RANGERS BM,NICKELODEON,8:00 AM,30,0.21,713,2019-03-30
15,ALVINNN!!! AND THE CHIPMU,NICKELODEON,11:00 AM,30,0.20,925,2019-03-30
16,SPORTSCENTER WEEKEND-AM L,ESPN,9:00 AM,60,0.20,657,2019-03-30
17,LIGA MX SAT: AMERICA / TIGRES,UNIVISION DEPORTES,8:56 PM,125,0.20,526,2019-03-30
18,TRADING SPACES,TLC,8:00 PM,62,0.20,760,2019-03-30
19,PREMIER LEAGUE L: WATFORD/MANCHESTER UNITED,NBC SPORTS NETWORK,10:56 AM,137,0.19,493,2019-03-30
20,PGA TOUR: 2019 WGC-DELL MATCH PLAY,GOLF CHANNEL,10:00 AM,246,0.19,"1,249",2019-03-30
21,SPORTSCENTER WEEKEND-AM L,ESPN,8:00 AM,60,0.19,588,2019-03-30
22,SPORTSCENTER 12AM  L,ESPN,11:59 PM,61,0.19,509,2019-03-30
23,KING OF QUEENS,NICK-AT-NITE,5:08 AM,25,0.19,442,2019-03-30
24,SPORTSCENTER MORNING    L,ESPN,2:00 AM,60,0.18,418,2019-03-30
25,VICTOR & VALENTINO,THE CARTOON NETWORK,10:00 AM,30,0.18,649,2019-03-30
26,SWORD ART OL:ALICIZATION,ADULT SWIM,12:30 AM,30,0.18,407,2019-03-30
27,GUYS RANCH KITCHEN,FOOD NETWORK,12:30 PM,30,0.18,869,2019-03-30
28,GAME SHAKERS,NICKELODEON,8:00 PM,32,0.18,730,2019-03-30
29,KING OF QUEENS,NICK-AT-NITE,5:33 AM,27,0.18,460,2019-03-30
