rank,program,network,time,duration,rating,viewers,date
1,LIVE PD: 196 LIVE PD,A&E NETWORK,9:00 PM,180,0.67,"2,068",2019-04-05
2,WMNS NCAA BKBL CHAMP L,ESPN2,9:20 PM,115,0.41,"2,139",2019-04-05
3,NBA REGULAR SEASON     L: PORTLAND/DENVER,ESPN,10:38 PM,141,0.39,952,2019-04-05
4,NBA REGULAR SEASON     L: BOSTON/INDIANA,ESPN,8:13 PM,145,0.38,979,2019-04-05
5,GOLD RUSH:PARKERS TRAIL,DISCOVERY CHANNEL,9:00 PM,61,0.36,"1,498",2019-04-05
6,NBA AFTER THE BUZZER  L,ESPN,12:59 AM,15,0.33,740,2019-04-05
7,MY LOTTERY DREAM HOME,HOME AND GARDEN TV,9:00 PM,30,0.32,"1,714",2019-04-05
8,LIVE PD AC,A&E NETWORK,8:06 PM,52,0.30,"1,073",2019-04-05
9,NCAA WBKBL CHAMP STUDIO L,ESPN2,8:57 PM,23,0.30,"1,664",2019-04-05
10,GOLD RUSH: DAVE TURIN,DISCOVERY CHANNEL,10:01 PM,64,0.30,"1,229",2019-04-05
11,NBA COURTSIDE  L,ESPN,8:00 PM,13,0.29,712,2019-04-05
12,GOLD RUSH:PARK TRAIL SPC,DISCOVERY CHANNEL,8:00 PM,60,0.29,"1,291",2019-04-05
13,SPORTSCENTER 12AM  L,ESPN,1:14 AM,46,0.28,614,2019-04-05
14,WMNS NCAA BKBL CHAMP L,ESPN2,6:59 PM,118,0.24,"1,485",2019-04-05
15,TUCKER CARLSON TONIGHT,FOX NEWS CHANNEL,8:00 PM,60,0.23,"2,565",2019-04-05
16,MAMA JUNE FROM NOT TO HOT,WETV,9:00 PM,60,0.23,752,2019-04-05
17,REAL TIME WITH BILL MAHER,HBO PRIME,10:00 PM,56,0.23,"1,447",2019-04-05
18,PARDON THE INTERRUPTION,ESPN,5:30 PM,30,0.23,638,2019-04-05
19,"DINERS, DRIVE INS & DIVES",FOOD NETWORK,9:00 PM,30,0.22,881,2019-04-05
20,SPORTSCENTER MORNING    L,ESPN,2:00 AM,60,0.22,463,2019-04-05
21,"FIVE, THE",FOX NEWS CHANNEL,5:00 PM,60,0.22,"2,293",2019-04-05
22,"DINERS, DRIVE INS & DIVES",FOOD NETWORK,9:30 PM,30,0.22,848,2019-04-05
23,RIDICULOUSNESS SSN13,MTV,8:00 PM,31,0.22,474,2019-04-05
24,"DINERS, DRIVE INS & DIVES",FOOD NETWORK,12:00 AM,30,0.20,546,2019-04-05
25,NBA PRE-GAME    L,ESPN,7:00 PM,60,0.19,417,2019-04-05
26,"DINERS, DRIVE INS & DIVES",FOOD NETWORK,12:30 AM,30,0.19,523,2019-04-05
27,SECRETS OF THE MORGUE,INVESTIGATION DISCOVERY,11:00 PM,60,0.19,811,2019-04-05
28,HIGHLY QUESTIONABLE,ESPN,4:30 PM,30,0.19,425,2019-04-05
29,AROUND THE HORN,ESPN,5:00 PM,30,0.19,441,2019-04-05
30,SPORTSCENTER EARLY      L,ESPN,6:00 PM,60,0.18,407,2019-04-05
31,SPORTSCENTER LATE       L,ESPN2,11:15 PM,45,0.18,702,2019-04-05
32,HANNITY,FOX NEWS CHANNEL,9:00 PM,60,0.18,"2,353",2019-04-05
33,SPECIAL RPT W/BRET BAIER,FOX NEWS CHANNEL,6:00 PM,60,0.17,"1,785",2019-04-05
34,FIRST TAKE   L: N/A,ESPN,10:00 AM,120,0.17,402,2019-04-05
35,COMEDY CENTRAL ROAST,COMEDY CENTRAL,9:30 PM,90,0.17,322,2019-04-05
36,DONT BE TARDY,BRAVO,9:00 PM,30,0.17,566,2019-04-05
37,CRASHLETES,NICKELODEON,7:00 PM,30,0.17,658,2019-04-05
38,SPORTSCENTER AM      L,ESPN,7:00 AM,60,0.17,339,2019-04-05
39,HIGH NOON (9AM PACIFIC),ESPN,4:00 PM,30,0.16,348,2019-04-05
40,RACHEL MADDOW SHOW,MSNBC,9:00 PM,60,0.16,"2,049",2019-04-05
41,THOMAS AND FRIENDS,NICKELODEON,12:30 PM,30,0.16,635,2019-04-05
42,GHOST ADV REPACK: TGA-13R1R01H,TRAVEL CHANNEL,9:00 PM,120,0.16,460,2019-04-05
43,SECRETS OF THE MORGUE,INVESTIGATION DISCOVERY,10:00 PM,60,0.15,688,2019-04-05
