rank,program,network,time,duration,rating,viewers,date
1,TBS NCAA BSKBL CHMP FR 1: AUBURN VS NORTH CAROLINA,TBS NETWORK,7:19 PM,143,1.65,"5,616",2019-03-29
2,TBS NCAA BK CHP-BRG-PRFR1,TBS NETWORK,9:42 PM,19,1.08,"3,621",2019-03-29
3,TBS NCAA BSKBL CHMP FR 2: HOUSTON VS KENTUCKY,TBS NETWORK,10:01 PM,135,1.03,"3,414",2019-03-29
4,TBS NCAA BSK POST GAME-FR,TBS NETWORK,12:23 AM,49,0.67,"1,725",2019-03-29
5,LIVE PD: 194 LIVE PD,A&E NETWORK,9:00 PM,180,0.67,"1,998",2019-03-29
6,MY LOTTERY DREAM HOME,HOME AND GARDEN TV,9:00 PM,30,0.28,"1,707",2019-03-29
7,TBS NCAA BK CHP-PRE-PRFR,TBS NETWORK,6:00 PM,79,0.27,716,2019-03-29
8,REAL TIME WITH BILL MAHER,HBO PRIME,10:00 PM,57,0.27,"1,521",2019-03-29
9,"DINERS, DRIVE INS & DIVES",FOOD NETWORK,9:00 PM,30,0.25,827,2019-03-29
10,RIDICULOUSNESS SSN13,MTV,8:00 PM,31,0.24,551,2019-03-29
11,PARDON THE INTERRUPTION,ESPN,5:30 PM,30,0.24,681,2019-03-29
12,MAMA JUNE FROM NOT TO HOT,WETV,9:00 PM,60,0.20,705,2019-03-29
13,TUCKER CARLSON TONIGHT,FOX NEWS CHANNEL,8:00 PM,60,0.20,"2,656",2019-03-29
14,HANNITY,FOX NEWS CHANNEL,9:00 PM,60,0.19,"2,939",2019-03-29
15,RACHEL MADDOW SHOW,MSNBC,9:00 PM,60,0.19,"2,349",2019-03-29
16,DONT BE TARDY,BRAVO,9:00 PM,30,0.19,500,2019-03-29
17,ELEAGUE,TBS NETWORK,1:42 AM,60,0.19,431,2019-03-29
18,CRASHLETES,NICKELODEON,7:00 PM,30,0.19,731,2019-03-29
19,"INGRAHAM ANGLE, THE",FOX NEWS CHANNEL,10:00 PM,60,0.18,"2,305",2019-03-29
20,SPORTSCENTER EARLY      L,ESPN,6:00 PM,60,0.18,416,2019-03-29
21,SECRETS OF THE MORGUE,INVESTIGATION DISCOVERY,11:00 PM,60,0.18,850,2019-03-29
22,SPORTSCENTER AM      L,ESPN,7:00 AM,60,0.17,412,2019-03-29
23,SPORTSCENTER 1AM        L,ESPN,1:00 AM,60,0.17,398,2019-03-29
24,HIGH NOON (9AM PACIFIC),ESPN,4:00 PM,30,0.17,366,2019-03-29
25,SPORTSCENTER MORNING    L,ESPN,2:00 AM,60,0.17,346,2019-03-29
26,AROUND THE HORN,ESPN,5:00 PM,30,0.16,452,2019-03-29
27,TOP WING,NICKELODEON,12:00 PM,30,0.16,698,2019-03-29
28,SECRETS OF THE MORGUE,INVESTIGATION DISCOVERY,10:00 PM,60,0.16,811,2019-03-29
29,ANCIENT ALIENS AC,HISTORY,1:05 AM,61,0.16,553,2019-03-29
30,ANCIENT ALIENS AC,HISTORY,9:02 PM,61,0.16,812,2019-03-29
31,NBA: THE JUMP L,ESPN,3:00 PM,60,0.15,341,2019-03-29
32,HIGHLY QUESTIONABLE,ESPN,4:30 PM,30,0.15,393,2019-03-29
33,"FIVE, THE",FOX NEWS CHANNEL,5:00 PM,60,0.15,"2,290",2019-03-29
34,"OFFICE, THE",NICK-AT-NITE,10:30 PM,30,0.15,380,2019-03-29
35,AMERICAS NEWSROOM,FOX NEWS CHANNEL,10:00 AM,60,0.14,"1,611",2019-03-29
36,AMERICAS NEWSROOM,FOX NEWS CHANNEL,9:00 AM,60,0.14,"1,846",2019-03-29
37,SPECIAL RPT W/BRET BAIER,FOX NEWS CHANNEL,6:00 PM,60,0.14,"1,994",2019-03-29
38,GHOST ADV REPACK: HAUNTINGS IN HOLLYWOOD,TRAVEL CHANNEL,9:00 PM,120,0.13,405,2019-03-29
39,FOX NEWS AT NIGHT,FOX NEWS CHANNEL,11:00 PM,60,0.13,"1,343",2019-03-29
40,"OFFICE, THE",NICK-AT-NITE,10:00 PM,30,0.13,436,2019-03-29
41,"STORY, THE",FOX NEWS CHANNEL,7:00 PM,60,0.13,"1,757",2019-03-29
42,SHEPARD SMITH REPORTING,FOX NEWS CHANNEL,3:00 PM,60,0.13,"1,422",2019-03-29
43,ANIMAL CRIBS,ANIMAL PLANET,9:00 PM,61,0.13,416,2019-03-29
44,GET UP   L: N/A,ESPN,8:00 AM,120,0.13,373,2019-03-29
45,MICKEY AND THE ROADSTER,DISNEY CHANNEL,8:30 AM,25,0.13,503,2019-03-29
46,FOX AND FRIENDS,FOX NEWS CHANNEL,7:00 AM,60,0.13,"1,592",2019-03-29
47,MSNBC TOWN HALL,MSNBC,8:00 PM,60,0.12,"1,568",2019-03-29
48,PUPPY DOG PALS,DISNEY CHANNEL,9:30 AM,25,0.12,540,2019-03-29
49,OUTNUMBERED OVERTIME,FOX NEWS CHANNEL,1:00 PM,60,0.12,"1,320",2019-03-29
50,FIRST TAKE   L: N/A,ESPN,10:00 AM,120,0.12,371,2019-03-29
51,FOX AND FRIENDS,FOX NEWS CHANNEL,8:00 AM,60,0.12,"1,880",2019-03-29
52,SPORTSCENTER AM      L,ESPN,12:00 PM,60,0.12,314,2019-03-29
53,DAILY BRIEFING W/D.PERINO,FOX NEWS CHANNEL,2:00 PM,60,0.12,"1,364",2019-03-29
54,SPORTSCENTER 12AM  L,ESPN,12:00 AM,60,0.12,310,2019-03-29
55,NFL LIVE                L,ESPN,1:30 PM,90,0.12,284,2019-03-29
56,DEADLINE:WHITE HOUSE,MSNBC,4:00 PM,60,0.12,"1,385",2019-03-29
57,LAST WORD W/ L. ODONNELL,MSNBC,10:00 PM,60,0.12,"1,407",2019-03-29
58,OUTNUMBERED,FOX NEWS CHANNEL,12:00 PM,60,0.12,"1,564",2019-03-29
59,WMNS NCAA BKBL CHAMP L: UCLA/CONNECTICUT,ESPN,7:00 PM,121,0.11,682,2019-03-29
60,CUOMO PRIME TIME,CNN,9:00 PM,60,0.11,751,2019-03-29
61,MOVIE- LMN ACQUIRED PREM: MOMMY WOULD NEVER HURT U,LIFETIME MOVIE NETWORK,8:00 PM,120,0.11,600,2019-03-29
62,SYDNEY TO THE MAX,DISNEY CHANNEL,8:30 PM,25,0.11,448,2019-03-29
63,CNN TONIGHT,CNN,10:00 PM,60,0.11,634,2019-03-29
64,GIGANTOSAURUS,DISNEY CHANNEL,9:00 AM,25,0.11,490,2019-03-29
65,AMERICAS NEWSROOM,FOX NEWS CHANNEL,11:00 AM,60,0.11,"1,501",2019-03-29
66,THIS IS NOT HAPPENING,COMEDY CENTRAL,11:00 PM,30,0.11,250,2019-03-29
67,LIGA MX L: MONARCAS / LEON,UNIVISION DEPORTES,8:30 PM,148,0.11,282,2019-03-29
68,FOX AND FRIENDS,FOX NEWS CHANNEL,6:00 AM,60,0.11,"1,190",2019-03-29
69,HARDBALL WITH C. MATTHEWS,MSNBC,7:00 PM,60,0.10,"1,194",2019-03-29
70,ANDERSON COOPER 360,CNN,8:00 PM,60,0.10,733,2019-03-29
71,MSNBC LIVE W/ H.JACKSON,MSNBC,10:00 AM,60,0.10,916,2019-03-29
72,BELLATOR MMA LIVE: 219,PARAMOUNT,9:00 PM,139,0.10,307,2019-03-29
73,MORNING JOE: N/A,MSNBC,6:00 AM,180,0.10,"1,053",2019-03-29
74,YOUR WORLD W/NEIL CAVUTO,FOX NEWS CHANNEL,4:00 PM,60,0.09,"1,448",2019-03-29
75,BEAT W/ARI MELBER,MSNBC,6:00 PM,60,0.09,"1,237",2019-03-29
76,LIGA MX L: ATLAS / SANTOS,UNIVISION DEPORTES,10:58 PM,123,0.09,243,2019-03-29
77,MSNBC LIVE W/ C.MELVIN,MSNBC,11:00 AM,60,0.09,844,2019-03-29
78,LEAD WITH JAKE TAPPER,CNN,4:00 PM,60,0.09,586,2019-03-29
79,CNN NEWSROOM,CNN,3:00 PM,60,0.09,627,2019-03-29
80,BRIDEZILLAS,WETV,10:00 PM,60,0.09,315,2019-03-29
81,VAMPIRINA,DISNEY CHANNEL,10:30 AM,25,0.09,359,2019-03-29
82,OTL – FIRST REPORT   L,ESPN,1:00 PM,30,0.09,248,2019-03-29
83,CNN TONIGHT,CNN,11:00 PM,60,0.09,482,2019-03-29
84,ERIN BURNETT OUTFRONT,CNN,7:00 PM,60,0.08,626,2019-03-29
85,SITUATION ROOM,CNN,6:00 PM,60,0.08,562,2019-03-29
86,CNN NEWSROOM,CNN,9:00 AM,60,0.08,496,2019-03-29
87,11TH HOUR W/B. WILLIAMS,MSNBC,11:00 PM,60,0.08,"1,231",2019-03-29
88,MTP DAILY,MSNBC,5:00 PM,60,0.08,"1,207",2019-03-29
89,MSNBC LIVE W/ S.RUHLE,MSNBC,9:00 AM,60,0.08,901,2019-03-29
90,JURASSIC WORLD:FALLEN KIN: JURASSIC WORLD:FALLEN KIN,HBO PRIME,2:10 PM,128,0.08,232,2019-03-29
91,AT THIS HOUR,CNN,11:00 AM,60,0.08,570,2019-03-29
92,CNN NEWSROOM,CNN,2:00 PM,60,0.08,608,2019-03-29
93,SITUATION ROOM,CNN,5:00 PM,60,0.08,597,2019-03-29
94,NASCAR M.E. CUP QUALIFY L,FOX SPORTS 1,7:30 PM,64,0.08,455,2019-03-29
