rank,program,network,time,duration,rating,viewers,date
1,REAL HOUSEWIVES ATLANTA,BRAVO,8:00 PM,60,0.87,"2,346",2019-04-07
2,WMNS NCAA BKBL CHAMP L: NOTRE DAME/BAYLOR,ESPN,6:15 PM,128,0.75,"3,689",2019-04-07
3,KEEPING UP KARDASHIANS,E!,9:00 PM,59,0.53,"1,125",2019-04-07
4,MLB SUNDAY NIGHT        L: LA DODGERS/COLORADO,ESPN,8:32 PM,238,0.48,"1,498",2019-04-07
5,BUDDY VS DUFF,FOOD NETWORK,9:00 PM,60,0.44,"1,452",2019-04-07
6,NASCAR M.E. CUP RACING L: BRISTOL,FOX SPORTS 1,1:46 PM,205,0.42,"2,806",2019-04-07
7,MARRIED TO MEDICINE LA,BRAVO,9:00 PM,60,0.35,"1,070",2019-04-07
8,SISTER WIVES,TLC,8:00 PM,61,0.35,"1,473",2019-04-07
9,EXP UNKNOWN: EGYPT LIVE: N/A,DISCOVERY CHANNEL,8:00 PM,128,0.34,"1,467",2019-04-07
10,EVIL LIVES HERE,INVESTIGATION DISCOVERY,8:00 PM,60,0.33,"1,333",2019-04-07
11,HOW CLOSE CAN I BEACH,HOME AND GARDEN TV,8:00 PM,30,0.33,"1,299",2019-04-07
12,NCAA STUDIO UPDATE  L,ESPN,6:00 PM,15,0.32,"1,674",2019-04-07
13,HOW CLOSE CAN I BEACH,HOME AND GARDEN TV,8:30 PM,30,0.31,"1,244",2019-04-07
14,MEDITERRANEAN LIFE,HOME AND GARDEN TV,10:00 PM,30,0.31,"1,293",2019-04-07
15,CARIBBEAN LIFE,HOME AND GARDEN TV,9:00 PM,30,0.30,"1,214",2019-04-07
16,MADELEINE MCCANN: AN ID M: N/A,INVESTIGATION DISCOVERY,9:00 PM,120,0.30,"1,213",2019-04-07
17,CARIBBEAN LIFE,HOME AND GARDEN TV,9:30 PM,30,0.29,"1,243",2019-04-07
18,NASCAR ME CUP POST L,FOX SPORTS 1,5:11 PM,19,0.29,"1,761",2019-04-07
19,LAST WEEK TONIGHT,HBO PRIME,11:02 PM,29,0.28,921,2019-04-07
20,SEEKING SISTER WIFE: N/A,TLC,9:01 PM,123,0.28,"1,062",2019-04-07
21,MEDITERRANEAN LIFE,HOME AND GARDEN TV,10:30 PM,30,0.27,"1,209",2019-04-07
22,VERY CAVALLARI,E!,10:00 PM,60,0.26,537,2019-04-07
23,WWE WRESTLEMANIA KICKOFF,USA NETWORK,6:00 PM,60,0.26,749,2019-04-07
24,BAR RESCUE,PARAMOUNT,10:00 PM,61,0.25,530,2019-04-07
25,WATCH WHAT HAPPENS LIVE,BRAVO,10:00 PM,30,0.25,743,2019-04-07
26,LAZOR WULF,ADULT SWIM,12:00 AM,15,0.25,550,2019-04-07
27,WICKED TUNA,NATIONAL GEOGRAPHIC,9:00 PM,60,0.23,908,2019-04-07
28,GIRL MEETS FARM,FOOD NETWORK,11:00 AM,30,0.22,988,2019-04-07
29,SPORTSCENTER LATE       L,ESPN,12:30 AM,90,0.22,496,2019-04-07
30,SPORTSCENTER WEEKEND-AM L,ESPN,12:00 PM,60,0.21,505,2019-04-07
31,LAZOR WULF,ADULT SWIM,12:15 AM,15,0.20,454,2019-04-07
32,SPORTSCENTER WEEKEND-AM L,ESPN,11:00 AM,60,0.20,492,2019-04-07
33,30 MINUTE MEALS,FOOD NETWORK,12:00 PM,30,0.19,906,2019-04-07
34,BILLIONS S4,SHOWTIME PRIME,9:01 PM,58,0.19,886,2019-04-07
35,AMERICAN PICKERS AC,HISTORY,10:05 PM,58,0.18,"1,029",2019-04-07
36,GIADA ENTERTAINS,FOOD NETWORK,11:30 AM,30,0.18,788,2019-04-07
37,"DISCOVERY OF WITCHES, A",AMC,9:00 PM,63,0.17,853,2019-04-07
38,SPORTSCENTER WEEKEND-AM L,ESPN,10:00 AM,60,0.17,425,2019-04-07
39,E:60                    L,ESPN,9:00 AM,60,0.17,435,2019-04-07
