rank,program,network,time,duration,rating,viewers,date
1,CHALLENGE: WAR OF WORLDS,MTV,9:00 PM,62,0.51,840,2019-04-03
2,BLACK INK CREW 7B,VH1,9:00 PM,61,0.49,"1,032",2019-04-03
3,REAL HOUSEWIVES OF NYC,BRAVO,9:00 PM,60,0.42,"1,347",2019-04-03
4,HOUSE HUNTERS INTL,HOME AND GARDEN TV,10:30 PM,30,0.34,"1,603",2019-04-03
5,FULL FRONTAL W/ SAM BEE,TBS NETWORK,10:30 PM,30,0.34,955,2019-04-03
6,HOUSE HUNTERS,HOME AND GARDEN TV,10:00 PM,30,0.33,"1,616",2019-04-03
7,PROP BROS BUY AND SELL,HOME AND GARDEN TV,9:00 PM,60,0.29,"1,614",2019-04-03
8,MARTHA & SNOOP POTLUCK 3,VH1,10:01 PM,30,0.29,710,2019-04-03
9,IN PURSUIT W/ JOHN WALSH,INVESTIGATION DISCOVERY,10:00 PM,60,0.28,"1,147",2019-04-03
10,DAILY SHOW,COMEDY CENTRAL,11:00 PM,36,0.28,829,2019-04-03
11,MOONSHINERS,DISCOVERY CHANNEL,9:00 PM,61,0.27,"1,194",2019-04-03
12,SEE NO EVIL,INVESTIGATION DISCOVERY,9:00 PM,60,0.27,"1,170",2019-04-03
13,WHAT WE DO IN THE SHADOWS,FX,10:00 PM,32,0.27,658,2019-04-03
14,MLB WEEKDAY  L: CHICAGO CUBS/ATLANTA,ESPN,7:19 PM,216,0.27,768,2019-04-03
15,MOONSHINERS: WHISKEY,DISCOVERY CHANNEL,10:01 PM,60,0.27,"1,019",2019-04-03
16,MY 600-LB LIFE: N/A,TLC,8:00 PM,120,0.26,"1,053",2019-04-03
17,TUCKER CARLSON TONIGHT,FOX NEWS CHANNEL,8:00 PM,60,0.26,"2,887",2019-04-03
18,HANNITY,FOX NEWS CHANNEL,9:00 PM,60,0.25,"3,154",2019-04-03
19,GUYS GROCERY GAMES,FOOD NETWORK,9:00 PM,60,0.25,663,2019-04-03
20,RACHEL MADDOW SHOW,MSNBC,9:00 PM,60,0.24,"2,915",2019-04-03
21,"INGRAHAM ANGLE, THE",FOX NEWS CHANNEL,10:00 PM,60,0.24,"2,633",2019-04-03
22,DR. PIMPLE POPPER: SUPERS,TLC,10:00 PM,60,0.23,961,2019-04-03
23,SPORTSCENTER LATE       L,ESPN,10:55 PM,65,0.22,486,2019-04-03
24,RIDICULOUSNESS SSN13,MTV,8:00 PM,30,0.22,538,2019-04-03
25,PARDON THE INTERRUPTION,ESPN,5:30 PM,30,0.21,649,2019-04-03
26,"FIVE, THE",FOX NEWS CHANNEL,5:00 PM,60,0.20,"2,437",2019-04-03
27,BASEBALL RAIN DELAY    L,ESPN,7:00 PM,19,0.19,483,2019-04-03
28,SPORTSCENTER 12AM  L,ESPN,12:00 AM,60,0.18,370,2019-04-03
29,MOONSHINERS: SHINERS,DISCOVERY CHANNEL,8:00 PM,60,0.18,832,2019-04-03
30,SPORTSCENTER EARLY      L,ESPN,6:00 PM,60,0.18,429,2019-04-03
31,LAST WORD W/ L. ODONNELL,MSNBC,10:00 PM,60,0.18,"2,434",2019-04-03
32,CUOMO PRIME TIME,CNN,9:00 PM,60,0.17,"1,078",2019-04-03
33,SPORTSCENTER 1AM        L,ESPN,1:00 AM,60,0.16,311,2019-04-03
34,AROUND THE HORN,ESPN,5:00 PM,30,0.16,426,2019-04-03
35,"MAGICIANS, THE",SYFY,9:00 PM,60,0.16,505,2019-04-03
36,"EXPENDABLES TRIPLE THREAT: EXPENDABLES 3, THE",AMC,8:00 PM,155,0.16,722,2019-04-03
37,SPECIAL RPT W/BRET BAIER,FOX NEWS CHANNEL,6:00 PM,60,0.16,"2,121",2019-04-03
38,SPORTSCENTER MORNING    L,ESPN,2:00 AM,60,0.16,294,2019-04-03
39,"OFFICE, THE",NICK-AT-NITE,10:30 PM,30,0.16,390,2019-04-03
40,CNN TONIGHT,CNN,10:00 PM,60,0.15,949,2019-04-03
41,SPORTSCENTER AM      L,ESPN,12:00 PM,60,0.15,320,2019-04-03
42,"STORY, THE",FOX NEWS CHANNEL,7:00 PM,60,0.15,"1,828",2019-04-03
43,FOX NEWS AT NIGHT,FOX NEWS CHANNEL,11:00 PM,60,0.15,"1,553",2019-04-03
44,NBA: THE JUMP L,ESPN,3:00 PM,60,0.15,287,2019-04-03
45,HIGHLY QUESTIONABLE,ESPN,4:30 PM,30,0.15,361,2019-04-03
46,FORGED IN FIRE,HISTORY,8:00 PM,58,0.14,561,2019-04-03
47,NBA GAMETIME LIVE,NBA-TV,10:07 PM,24,0.14,312,2019-04-03
48,FIRST TAKE   L: N/A,ESPN,10:00 AM,120,0.14,357,2019-04-03
49,PLL: THE PERFECTIONISTS,FREEFORM,8:00 PM,61,0.14,286,2019-04-03
50,PARANORMAL CAUGHT ON CAM,TRAVEL CHANNEL,10:00 PM,60,0.14,583,2019-04-03
51,"OFFICE, THE",NICK-AT-NITE,10:00 PM,30,0.13,379,2019-04-03
52,HIGH NOON (9AM PACIFIC),ESPN,4:00 PM,30,0.13,266,2019-04-03
53,FOX AND FRIENDS,FOX NEWS CHANNEL,7:00 AM,60,0.13,"1,552",2019-04-03
54,ALL IN W/ CHRIS HAYES,MSNBC,8:00 PM,60,0.13,"1,692",2019-04-03
55,ANDERSON COOPER 360,CNN,8:00 PM,60,0.13,880,2019-04-03
56,AMERICAS NEWSROOM,FOX NEWS CHANNEL,10:00 AM,60,0.13,"1,546",2019-04-03
57,NFL LIVE                L,ESPN,1:30 PM,90,0.13,292,2019-04-03
58,SPORTSCENTER AM      L,ESPN,7:00 AM,60,0.12,268,2019-04-03
59,GET UP   L: N/A,ESPN,8:00 AM,120,0.12,321,2019-04-03
60,CNN TONIGHT,CNN,11:00 PM,60,0.12,710,2019-04-03
61,CORN AND PEG,NICKELODEON,9:00 AM,30,0.12,429,2019-04-03
62,FOX AND FRIENDS,FOX NEWS CHANNEL,8:00 AM,60,0.12,"1,761",2019-04-03
63,IN SEARCH OF MONSTERS,TRAVEL CHANNEL,9:00 PM,60,0.12,659,2019-04-03
64,AMERICAS NEWSROOM,FOX NEWS CHANNEL,9:00 AM,60,0.12,"1,625",2019-04-03
65,11TH HOUR W/B. WILLIAMS,MSNBC,11:00 PM,60,0.12,"1,641",2019-04-03
66,RAMPAGE (2018),HBO PRIME,9:00 PM,107,0.12,279,2019-04-03
67,NHL REGULAR SEASON  L: ST. LOUIS/CHICAGO,NBC SPORTS NETWORK,8:02 PM,175,0.11,352,2019-04-03
68,ERIN BURNETT OUTFRONT,CNN,7:00 PM,60,0.11,723,2019-04-03
69,NBA REGULAR SEASON   L: HOUSTON/LA CLIPPERS,NBA-TV,10:31 PM,148,0.11,253,2019-04-03
70,HARDBALL WITH C. MATTHEWS,MSNBC,7:00 PM,60,0.11,"1,479",2019-04-03
71,OTL – FIRST REPORT   L,ESPN,1:00 PM,30,0.11,250,2019-04-03
72,SHEPARD SMITH REPORTING,FOX NEWS CHANNEL,3:00 PM,60,0.11,"1,288",2019-04-03
73,VICE NEWS TONIGHT,HBO PRIME,7:30 PM,26,0.11,324,2019-04-03
74,CONCACAF LC – L: SF: TIGRES / SANTOS,UNIVISION DEPORTES,10:00 PM,121,0.11,260,2019-04-03
75,MYSTERIES AT THE MUSEUM,TRAVEL CHANNEL,8:00 PM,60,0.11,650,2019-04-03
76,BOJACK HORSEMAN,COMEDY CENTRAL,12:36 AM,31,0.11,216,2019-04-03
77,NBA REGULAR SEASON   L: BOSTON/MIAMI,NBA-TV,7:31 PM,156,0.11,313,2019-04-03
78,BEAT W/ARI MELBER,MSNBC,6:00 PM,60,0.10,"1,359",2019-04-03
79,CORN AND PEG,NICK JR,8:00 PM,30,0.10,460,2019-04-03
80,OUTNUMBERED OVERTIME,FOX NEWS CHANNEL,1:00 PM,60,0.10,"1,285",2019-04-03
81,FOX AND FRIENDS,FOX NEWS CHANNEL,6:00 AM,60,0.10,"1,137",2019-04-03
82,BOJACK HORSEMAN,COMEDY CENTRAL,1:07 AM,31,0.10,189,2019-04-03
83,MTP DAILY,MSNBC,5:00 PM,60,0.10,"1,286",2019-04-03
84,SITUATION ROOM,CNN,6:00 PM,60,0.10,697,2019-04-03
85,YOUR WORLD W/NEIL CAVUTO,FOX NEWS CHANNEL,4:00 PM,60,0.10,"1,386",2019-04-03
86,DAILY BRIEFING W/D.PERINO,FOX NEWS CHANNEL,2:00 PM,60,0.09,"1,306",2019-04-03
87,AMERICAS NEWSROOM,FOX NEWS CHANNEL,11:00 AM,60,0.09,"1,373",2019-04-03
88,MORNING JOE: N/A,MSNBC,6:00 AM,180,0.09,"1,064",2019-04-03
89,OUTNUMBERED,FOX NEWS CHANNEL,12:00 PM,60,0.09,"1,480",2019-04-03
90,SP FIXER UPPER,HOME AND GARDEN TV,12:00 PM,60,0.09,443,2019-04-03
91,CNN NEWSROOM,CNN,9:00 AM,60,0.09,573,2019-04-03
92,LEAD WITH JAKE TAPPER,CNN,4:00 PM,60,0.09,705,2019-04-03
93,SITUATION ROOM,CNN,5:00 PM,60,0.09,712,2019-04-03
