rank,program,network,time,duration,rating,viewers,date
1,TBS NCAA BSKBL CHMP-MO-3,TBS NETWORK,5:00 PM,20,0.62,"2,064",2021-03-22
2,TNT NCAA BSKBL CHMP-MO-4: MARYLAND VS ALABAMA,TURNER NETWORK TELEVISION,8:39 PM,126,0.56,"1,976",2021-03-22
3,TBS NCAA BSKBL CHMP-MO-4: COLORADO VS FLORIDA ST,TBS NETWORK,7:38 PM,141,0.56,"1,748",2021-03-22
4,WWE ENTERTAINMENT,USA NETWORK,10:00 PM,61,0.53,"1,729",2021-03-22
5,WWE ENTERTAINMENT,USA NETWORK,9:00 PM,60,0.53,"1,841",2021-03-22
6,WWE ENTERTAINMENT,USA NETWORK,8:00 PM,60,0.52,"1,878",2021-03-22
7,TNT NCAA BSKBL CHMP-MO-3,TURNER NETWORK TELEVISION,6:00 PM,81,0.46,"1,483",2021-03-22
8,BELOW DECK SAILING YACHT,BRAVO,9:00 PM,60,0.32,"1,042",2021-03-22
9,TBS NCAA BSK CHP-BRG-PRMO,TBS NETWORK,7:20 PM,18,0.31,"1,110",2021-03-22
10,ANDERSON COOPER 360,CNN,8:00 PM,60,0.29,"1,935",2021-03-22
11,CNN TONIGHT,CNN,10:00 PM,60,0.27,"2,027",2021-03-22
12,ROCK THE BLOCK,HOME AND GARDEN TV,9:00 PM,60,0.26,"1,578",2021-03-22
13,ANDERSON COOPER 360,CNN,9:00 PM,60,0.26,"1,728",2021-03-22
14,STREET OUTLAWS,DISCOVERY CHANNEL,8:00 PM,61,0.25,834,2021-03-22
15,TUCKER CARLSON TONIGHT,FOX NEWS CHANNEL,8:00 PM,60,0.24,"3,096",2021-03-22
16,STREET OUTLAWS: MEGA CASH: N/A,DISCOVERY CHANNEL,9:01 PM,121,0.23,727,2021-03-22
17,ERIN BURNETT OUTFRONT,CNN,7:00 PM,60,0.22,"1,395",2021-03-22
18,RACHEL MADDOW SHOW,MSNBC,9:00 PM,60,0.21,"2,869",2021-03-22
19,HANNITY,FOX NEWS CHANNEL,9:00 PM,60,0.20,"2,734",2021-03-22
20,VH1 FAMILY REUNION: L&HH,VH1,8:00 PM,60,0.20,452,2021-03-22
21,TNT NCAA BSK CHP-BRG-PRMO,TURNER NETWORK TELEVISION,8:21 PM,18,0.20,768,2021-03-22
22,SEEKING SISTER WIFE,TLC,8:00 PM,63,0.19,686,2021-03-22
23,CNN TONIGHT,CNN,11:00 PM,60,0.18,"1,200",2021-03-22
24,SPRING BAKING CHAMPION,FOOD NETWORK,9:00 PM,60,0.18,928,2021-03-22
25,PEOPLE MAG INVESTIGATES,INVESTIGATION DISCOVERY,10:00 PM,60,0.18,752,2021-03-22
26,DAILY SHOW,COMEDY CENTRAL,11:00 PM,31,0.16,564,2021-03-22
27,"FIVE, THE",FOX NEWS CHANNEL,5:00 PM,60,0.16,"2,743",2021-03-22
28,"INGRAHAM ANGLE, THE",FOX NEWS CHANNEL,10:00 PM,60,0.16,"2,120",2021-03-22
29,EASTER BASKET CHALLENGE,FOOD NETWORK,10:00 PM,60,0.16,664,2021-03-22
30,WATCH WHAT HAPPENS LIVE,BRAVO,10:00 PM,30,0.16,636,2021-03-22
31,SITUATION ROOM,CNN,6:00 PM,60,0.15,887,2021-03-22
32,LAST WORD W/ L. ODONNELL,MSNBC,10:00 PM,60,0.14,"1,990",2021-03-22
33,FOX NEWS PRIMETIME,FOX NEWS CHANNEL,7:00 PM,60,0.14,"1,848",2021-03-22
34,INTERVENTION,A&E NETWORK,10:01 PM,63,0.14,402,2021-03-22
35,BREEDERS,FX,10:00 PM,34,0.13,364,2021-03-22
36,PAWN STARS,HISTORY,9:00 PM,63,0.13,925,2021-03-22
37,DAILY SHOW – SUS,COMEDY CENTRAL,11:31 PM,11,0.13,479,2021-03-22
38,BIC SECRETS UNLOCKED,VH1,9:00 PM,60,0.13,278,2021-03-22
39,RETURN TO AMISH,TLC,9:03 PM,64,0.13,583,2021-03-22
40,SITUATION ROOM,CNN,5:00 PM,60,0.12,845,2021-03-22
41,FAST FOODIES,TBS NETWORK,10:07 PM,32,0.12,330,2021-03-22
42,SPECIAL RPT W/BRET BAIER,FOX NEWS CHANNEL,6:00 PM,60,0.12,"1,958",2021-03-22
43,PAWN STARS: BEST OF,HISTORY,10:03 PM,62,0.12,720,2021-03-22
44,HOARDERS: ERIC 127,A&E NETWORK,8:00 PM,121,0.12,567,2021-03-22
45,PAWN STARS,HISTORY,8:00 PM,58,0.12,695,2021-03-22
46,FIRST TAKE   L: N/A,ESPN,10:00 AM,120,0.12,367,2021-03-22
47,CNN NEWSROOM,CNN,12:00 PM,60,0.11,838,2021-03-22
48,ALL IN W/ CHRIS HAYES,MSNBC,8:00 PM,60,0.11,"1,690",2021-03-22
49,CNN NEWSROOM,CNN,11:00 AM,60,0.11,745,2021-03-22
50,CNN TONIGHT,CNN,12:00 AM,60,0.11,832,2021-03-22
51,CNN NEWSROOM,CNN,9:00 AM,60,0.11,697,2021-03-22
52,CNN NEWSROOM,CNN,10:00 AM,60,0.11,734,2021-03-22
53,GENIUS,NATIONAL GEOGRAPHIC,10:00 PM,54,0.11,"1,071",2021-03-22
54,GENIUS,NATIONAL GEOGRAPHIC,9:00 PM,60,0.11,"1,041",2021-03-22
55,LEAD WITH JAKE TAPPER,CNN,4:00 PM,60,0.11,935,2021-03-22
56,BIG BAKE,FOOD NETWORK,11:00 PM,60,0.11,477,2021-03-22
57,11TH HOUR W/B. WILLIAMS,MSNBC,11:00 PM,60,0.11,"1,600",2021-03-22
58,AMERICA REPORTS,FOX NEWS CHANNEL,2:00 PM,60,0.11,"1,142",2021-03-22
59,SPORTSCENTER 12AM  L,ESPN,11:56 PM,64,0.11,343,2021-03-22
60,GET UP   L: N/A,ESPN,8:00 AM,120,0.10,345,2021-03-22
61,CNN NEWSROOM,CNN,2:00 PM,60,0.10,823,2021-03-22
62,CNN NEWSROOM,CNN,1:00 PM,60,0.10,847,2021-03-22
