rank,program,network,time,duration,rating,viewers,date
1,TBS NCAA BSKBL CHP-PRFR1,TBS NETWORK,6:28 PM,114,0.84,"2,677",2021-03-19
2,TNT NCAA BSKBL CHP-PRFR1: NORTH TEXAS VS PURDUE,TURNER NETWORK TELEVISION,7:17 PM,159,0.73,"2,347",2021-03-19
3,TNT NCAA BSKBL CHP-PRFR2: WINTHROP VS VILLANOVA,TURNER NETWORK TELEVISION,10:03 PM,146,0.68,"1,968",2021-03-19
4,TBS NCAA BSKBL CHP-PRFR2: RUTGERS VS CLEMSON,TBS NETWORK,9:12 PM,140,0.61,"1,983",2021-03-19
5,TBS NCAA BSKBL CHP-DYFR2: GA TECH VS LOYOLA-CHI,TBS NETWORK,4:09 PM,130,0.49,"1,703",2021-03-19
6,TNT NCAA BK CHP-PRE-PRFR,TURNER NETWORK TELEVISION,6:47 PM,17,0.42,"1,279",2021-03-19
7,TNT NCAA BSKBL CHP-DYFR2: OREGON ST VS TENNESSEE,TURNER NETWORK TELEVISION,4:27 PM,140,0.41,"1,470",2021-03-19
8,TBS NCAA BSK CHP-BRG-PRFR,TBS NETWORK,8:54 PM,18,0.40,"1,434",2021-03-19
9,GOLD RUSH,DISCOVERY CHANNEL,8:00 PM,108,0.32,"1,935",2021-03-19
10,TRU NCAA BSKBL CHP-PRFR2: MOREHEAD ST VS WEST VIRGINIA,TRUTV,10:22 PM,140,0.28,"1,006",2021-03-19
11,TRU NCAA BSKBL CHP-DYFR1: COLGATE VS ARKANSAS,TRUTV,12:30 PM,158,0.25,878,2021-03-19
12,RUPAULS DRAG RACE 13,VH1,8:00 PM,90,0.24,582,2021-03-19
13,TNT NCAA BSKBL CHP-DYFR1: UTAH ST VS TEXAS TECH,TURNER NETWORK TELEVISION,1:30 PM,145,0.24,729,2021-03-19
14,GOLD RUSH: DAVE TURIN,DISCOVERY CHANNEL,9:48 PM,67,0.23,"1,470",2021-03-19
15,MY LOTTERY DREAM H REPACK,HOME AND GARDEN TV,8:00 PM,30,0.22,"1,333",2021-03-19
16,EVERYTHING BUT THE HOUSE,HOME AND GARDEN TV,9:00 PM,30,0.21,"1,307",2021-03-19
17,TUCKER CARLSON TONIGHT,FOX NEWS CHANNEL,8:00 PM,60,0.20,"2,860",2021-03-19
18,EVERYTHING BUT THE HOUSE,HOME AND GARDEN TV,9:30 PM,30,0.20,"1,374",2021-03-19
19,TBS NCAA BSKBL CHP-DYFR1: DREXEL VS ILLINOIS,TBS NETWORK,1:00 PM,142,0.20,791,2021-03-19
20,TRU NCAA BSK POST GAME-FR,TRUTV,12:46 AM,53,0.19,550,2021-03-19
21,TRU NCAA BSKBL CHP-DYFR2: HARTFORD VS BAYLOR,TRUTV,3:24 PM,137,0.18,648,2021-03-19
22,HANNITY,FOX NEWS CHANNEL,9:00 PM,60,0.17,"2,549",2021-03-19
23,UNTUCKED 12,VH1,9:30 PM,30,0.17,391,2021-03-19
24,LIGA MX LF FRI: MAZATLAN / AMERICA,TUDN,10:57 PM,126,0.16,384,2021-03-19
25,TNT NCAA BSK CHP-BRG-DYFR,TURNER NETWORK TELEVISION,3:55 PM,32,0.16,639,2021-03-19
26,BLUEY,DISNEY CHANNEL,11:03 AM,22,0.16,587,2021-03-19
27,"FIVE, THE",FOX NEWS CHANNEL,5:00 PM,60,0.16,"2,540",2021-03-19
28,90 DAY FIANCE: 1ST LOOK,TLC,10:00 PM,30,0.16,971,2021-03-19
29,"DINERS, DRIVE INS & DIVES",FOOD NETWORK,9:00 PM,30,0.16,872,2021-03-19
30,ARE YOU AFRAID NEW,NICKELODEON,8:00 PM,60,0.15,487,2021-03-19
31,MAMA JUNE FROM NOT TO HOT,WETV,9:00 PM,61,0.15,670,2021-03-19
32,"INGRAHAM ANGLE, THE",FOX NEWS CHANNEL,10:00 PM,60,0.15,"1,818",2021-03-19
33,COLLEGE WRESTLING   L: N/A,ESPN,8:00 PM,180,0.14,436,2021-03-19
34,TBS NCAA BSK CHP-BRG-DYFR,TBS NETWORK,3:22 PM,47,0.13,562,2021-03-19
35,RESCUE CAM,A&E NETWORK,10:01 PM,31,0.13,550,2021-03-19
36,LEAD WITH JAKE TAPPER,CNN,4:00 PM,60,0.13,"1,072",2021-03-19
37,FIRST 48 AC,A&E NETWORK,9:00 PM,59,0.12,614,2021-03-19
38,FIRST TAKE   L: N/A,ESPN,10:00 AM,120,0.12,370,2021-03-19
39,RACHEL MADDOW SHOW,MSNBC,9:00 PM,60,0.12,"2,226",2021-03-19
40,ERIN BURNETT OUTFRONT,CNN,7:00 PM,60,0.12,991,2021-03-19
